train/learning_rate,time/time_elapsed,train/explained_variance,train/n_updates,train/value_loss,train/is_line_search_success,rollout/ep_len_mean,train/std,time/fps,train/kl_divergence_loss,time/total_timesteps,rollout/ep_rew_mean,train/policy_objective
0.001,1109,0.0,70,11126707521.6,1.0,7.45,0.7414483428001404,522,0.005908424034714699,580000,-154639.4207099,0.034449733793735504
0.001,1139,0.0,72,11009317577.6,1.0,7.36,0.738124430179596,517,0.005823660641908646,590000,-153944.27683042997,0.024589262902736664
0.001,1154,1.1920928955078125e-07,73,10959320316.8,1.0,7.43,0.7376551032066345,519,0.007383083458989859,600000,-154373.54834925,0.03474162146449089
0.001,1171,0.0,74,10934732940.8,1.0,7.45,0.7382939457893372,520,0.008661489933729172,610000,-154735.06672975,0.04057846963405609
0.001,1190,5.960464477539063e-08,75,10955787508.8,1.0,7.37,0.7381988167762756,520,0.006509937345981598,620000,-153679.74735926,0.03681228309869766
0.001,1209,0.0,76,10868428315.2,1.0,7.36,0.7364685535430908,520,0.009054559282958508,630000,-153623.11736008,0.03881899267435074
0.001,1242,1.7881393432617188e-07,78,10864492208.0,1.0,7.67,0.7300116419792175,515,0.006956694182008505,640000,-157164.77640575002,0.04400826618075371
0.001,1268,-1.1920928955078125e-07,79,10893344048.0,1.0,7.43,0.7276150584220886,512,0.006804967299103737,650000,-153832.54945549,0.0359797328710556
0.001,1280,0.0,80,10850430283.2,1.0,7.38,0.7266703248023987,515,0.009683266282081604,660000,-153387.4075237,0.04456343501806259
0.001,1295,0.0,81,10837742675.2,1.0,7.43,0.7260534167289734,517,0.00912147294729948,670000,-153660.68292113,0.02016591653227806
0.001,1328,0.0,83,10834417584.0,1.0,7.27,0.7219308018684387,512,0.006569704506546259,680000,-152700.53191716998,0.03141544759273529
0.001,1355,0.0,84,10784755267.2,1.0,7.28,0.7222566604614258,509,0.007528252899646759,690000,-152677.0845272,0.03560643643140793
0.001,1388,0.0,85,10795866187.2,1.0,7.28,0.723890483379364,504,0.0061952657997608185,700000,-152760.1771345,0.033363375812768936
0.001,1403,0.0,86,10790213600.0,1.0,7.36,0.7257128357887268,505,0.009428105317056179,710000,-153076.71590808002,0.035949237644672394
0.001,1429,0.0,87,10883097065.6,1.0,7.38,0.7216329574584961,503,0.008037542924284935,720000,-153454.1446779,0.0289076566696167
0.001,1450,0.0,89,10778210713.6,1.0,7.16,0.7160940170288086,503,0.0081369299441576,730000,-151753.44259194998,0.037184614688158035
0.001,1469,0.0,90,10757120502.4,1.0,7.15,0.7162525057792664,503,0.007587451487779617,740000,-151668.7710933,0.02888362668454647
0.001,1483,5.960464477539063e-08,91,10715331793.6,1.0,7.17,0.7142044901847839,505,0.009155620820820332,750000,-151899.16155444,0.03593892604112625
0.001,1498,0.0,92,10723100275.2,1.0,7.21,0.7143116593360901,507,0.009420041926205158,760000,-152129.66739984002,0.024047156795859337
0.001,1519,0.0,93,10735434454.4,1.0,7.25,0.7136698365211487,506,0.007345773279666901,770000,-152266.33912704003,0.03200371563434601
0.001,1581,0.0,95,10675630724.8,1.0,7.12,0.7143166065216064,493,0.007089758757501841,780000,-151455.8981904,0.027008917182683945
0.001,1605,0.0,96,10745967491.2,1.0,7.38,0.7148078083992004,492,0.0076897325925529,790000,-153630.02292761003,0.030338656157255173
0.001,1627,0.0,97,10670258953.6,1.0,7.23,0.7123525142669678,491,0.00919514149427414,800000,-152141.07869005,0.0382840596139431
0.001,1645,1.1920928955078125e-07,98,10856333078.4,1.0,7.13,0.7107110619544983,492,0.008083686232566833,810000,-151475.60111503,0.029795141890645027
0.001,1679,0.0,100,10717362641.6,1.0,7.15,0.7095230221748352,488,0.0070719788782298565,820000,-151633.57517348,0.030519206076860428
0.001,1702,0.0,101,10637778892.8,1.0,7.14,0.7097613215446472,487,0.007237995509058237,830000,-151509.50831229,0.03175501525402069
0.001,1732,0.0,102,10690903076.8,1.0,7.13,0.7089838981628418,484,0.006828140467405319,840000,-151380.67874903,0.01779281720519066
0.001,1755,1.1920928955078125e-07,103,10628136252.8,1.0,7.23,0.709011971950531,484,0.008895778097212315,850000,-151970.4533315,0.035689063370227814
0.001,1769,0.0,104,10598165212.8,1.0,7.29,0.7076196670532227,486,0.006722059100866318,860000,-152316.06111314,0.029206283390522003
0.001,1789,-1.1920928955078125e-07,106,10694285888.0,1.0,7.28,0.7030983567237854,486,0.007063768338412046,870000,-152468.58141178,0.04462302103638649
0.001,1806,0.0,107,10594624257.6,1.0,7.34,0.7039621472358704,487,0.00960556510835886,880000,-154893.96698617996,0.04440812021493912
0.001,1823,-2.384185791015625e-07,108,10985154579.2,1.0,7.25,0.7036635279655457,488,0.005323570221662521,890000,-152327.30774283,0.03139641508460045
0.001,1839,0.0,109,10604932030.4,1.0,7.34,0.7045464515686035,489,0.006362022366374731,900000,-152738.95959788,0.03214816004037857
0.001,1865,0.0,111,11331223275.2,1.0,7.44,0.7025641798973083,487,0.007531128358095884,910000,-153406.70932942998,0.04741285368800163
0.001,1877,-1.1920928955078125e-07,112,10653369408.0,1.0,7.47,0.7028853893280029,490,0.007885298691689968,920000,-153982.64483521003,0.030200492590665817
0.001,1894,-1.1920928955078125e-07,113,10916944460.8,1.0,7.6,0.702953040599823,490,0.006251442711800337,930000,-155540.74428254,0.03310541808605194
0.001,1908,0.0,114,11113707614.4,1.0,7.62,0.7024989724159241,492,0.008628693409264088,940000,-156402.82339997,0.043996620923280716
0.001,1922,0.0,115,10757283932.8,1.0,7.53,0.7028598785400391,494,0.006827132310718298,950000,-154059.36974996998,0.034089941531419754
0.001,1939,0.0,117,10542583876.8,1.0,7.47,0.6982767581939697,495,0.009698368608951569,960000,-154484.94642578,0.02726810984313488
0.001,1961,-1.1920928955078125e-07,118,11155222380.8,1.0,7.41,0.7012022137641907,494,0.006826624274253845,970000,-153194.27383562,0.04687938466668129
0.001,1978,0.0,119,10471666086.4,1.0,7.46,0.7004581093788147,495,0.007990648038685322,980000,-153553.23329044,0.029310442507267
0.001,1995,0.0,120,11177070115.2,1.0,7.38,0.6990967392921448,496,0.00768871558830142,990000,-153026.07229443,0.03840493783354759
0.001,2025,0.0,122,12640579868.8,1.0,7.32,0.6979793906211853,493,0.005493747536092997,1000000,-152682.70540983,0.06374924629926682
