time/total_timesteps,train/approx_kl,train/policy_gradient_loss,time/time_elapsed,rollout/ep_rew_mean,train/std,train/learning_rate,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,rollout/ep_len_mean,train/clip_range,time/fps,train/value_loss,train/entropy_loss
250000,0.0053728605,-0.003680754515880835,194,-220830.01211198003,1.539811134338379,0.0017,0.02451171875,300,-1.1920928955078125e-07,660069120.0,93.43,0.2,1283,1053502501.35,-16.58585221469402
260000,0.006444282,-0.0053873635300988095,202,-249505.39706425995,1.567160964012146,0.0017,0.03428955078125,310,0.0,624331904.0,115.06,0.2,1285,1010397535.775,-16.733837330341338
270000,0.006396954,-0.004978603465315245,209,-255929.24709706998,1.5918068885803223,0.0017,0.031201171875,320,0.0,461637120.0,120.24,0.2,1288,971686443.725,-16.880292269587517
280000,0.007188121,-0.0056091160395226325,220,-270131.97182219004,1.6483737230300903,0.0017,0.043359375,340,-1.1920928955078125e-07,505468224.0,131.2,0.2,1271,839795362.425,-17.18594737499952
290000,0.0059196954,-0.004335160814480332,227,-231542.28115110996,1.672609567642212,0.0017,0.0343505859375,350,0.0,619920704.0,102.24,0.2,1274,1051570695.85,-17.328902907669544
300000,0.0064003915,-0.005420010065063252,234,-219655.06362239004,1.7009673118591309,0.0017,0.0333984375,360,0.0,484102080.0,92.57,0.2,1278,1071809037.15,-17.471721355617046
310000,0.006623028,-0.004686585648778418,242,-229938.57180343996,1.728339672088623,0.0017,0.03656005859375,370,0.0,584573120.0,100.88,0.2,1279,1030277939.425,-17.61878918558359
320000,0.005354154,-0.0038006053318895283,253,-232828.73152342997,1.7841660976409912,0.0017,0.0271728515625,390,0.0,313757504.0,101.54,0.2,1264,1045020164.025,-17.90647068619728
330000,0.005456942,-0.003328067754409858,260,-232804.53320848002,1.8116555213928223,0.0017,0.02552490234375,400,0.0,537567552.0,103.72,0.2,1265,1004255048.15,-18.044055996835233
340000,0.0062779007,-0.004115940466181201,267,-261320.46030841005,1.8462409973144531,0.0017,0.02864990234375,410,0.0,560079360.0,120.41,0.2,1270,968738504.075,-18.20208120942116
350000,0.005806052,-0.003735779394992278,274,-231448.3116731,1.876882553100586,0.0017,0.02646484375,420,-1.1920928955078125e-07,384294016.0,99.21,0.2,1274,938190501.65,-18.359099665284155
360000,0.005207404,-0.0037901994757703504,281,-219866.53250073,1.9083319902420044,0.0017,0.023046875,430,0.0,739018624.0,102.03,0.2,1276,1021729105.65,-18.50570398569107
370000,0.006354251,-0.004068563043892937,292,-237112.91976863996,1.976889729499817,0.0017,0.030322265625,450,0.0,567612608.0,104.08,0.2,1265,998632285.575,-18.823890118300916
380000,0.0072730174,-0.004292094219817954,299,-249943.28013884998,2.017778158187866,0.0017,0.03929443359375,460,0.0,534270176.0,117.85,0.2,1269,785957121.575,-18.992293952405454
390000,0.005257096,-0.0028721663844407884,306,-228848.76291505006,2.05257511138916,0.0017,0.0201416015625,470,0.0,541164800.0,100.02,0.2,1270,952961770.55,-19.15836258381605
400000,0.0060639475,-0.0035985474391054596,314,-260139.55455884,2.0881643295288086,0.0017,0.03013916015625,480,1.1920928955078125e-07,557008128.0,118.73,0.2,1272,1005037676.425,-19.312832678854466
410000,0.0062908735,-0.0045934981693790174,325,-216636.34155881993,2.1631879806518555,0.0017,0.03336181640625,500,0.0,412450432.0,90.25,0.2,1260,995526937.375,-19.62141795158386
420000,0.0055931252,-0.0035839080313053275,332,-239260.10377712,2.1982054710388184,0.0017,0.02896728515625,510,0.0,555344256.0,102.17,0.2,1261,898835643.975,-19.778391137719154
430000,0.0047698645,-0.003438008860211994,340,-247612.48458410002,2.228076696395874,0.0017,0.022998046875,520,2.384185791015625e-07,416145920.0,105.73,0.2,1263,1201137738.925,-19.906507612764834
440000,0.006887765,-0.004508332285877259,348,-251084.98451588,2.270843982696533,0.0017,0.03717041015625,530,0.0,306440096.0,116.65,0.2,1263,753695927.475,-20.05751547962427
450000,0.006911636,-0.004982871419269941,356,-230807.88355912,2.3131320476531982,0.0017,0.0407958984375,540,-1.1920928955078125e-07,321552096.0,102.48,0.2,1263,878260952.925,-20.22315670698881
