time/total_timesteps,train/approx_kl,train/policy_gradient_loss,time/time_elapsed,rollout/ep_rew_mean,train/std,train/learning_rate,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,rollout/ep_len_mean,train/clip_range,time/fps,train/value_loss,train/entropy_loss
10000,0.0072436053,-0.00973205215523194,6,-455030.3643150145,1.009790301322937,0.0017,0.05491943359375,10,0.0,1194037120.0,132.7536231884058,0.2,1475,2394905236.5,-12.81830810829997
20000,0.0061213514,-0.007700501898034418,13,-468443.80136916996,1.021155834197998,0.0017,0.03675537109375,20,0.0,901627776.0,147.18,0.2,1471,1909143223.0,-12.914337895810604
30000,0.0063210316,-0.007648440590310201,20,-519949.5071712,1.0321576595306396,0.0017,0.04072265625,30,0.0,661864896.0,180.49,0.2,1471,1514973477.4,-13.011962346732616
40000,0.00639157,-0.007471905431884807,27,-462590.74953563005,1.0439108610153198,0.0017,0.0427490234375,40,-1.1920928955078125e-07,744202048.0,167.62,0.2,1470,1782145769.05,-13.110669775307178
50000,0.005083857,-0.004323845444559993,37,-356188.66241880006,1.0751941204071045,0.0017,0.01917724609375,60,-1.1920928955078125e-07,908668800.0,139.31,0.2,1338,1382007353.2,-13.351348344236612
60000,0.0052649286,-0.005085497537220362,44,-334592.1828051201,1.090301275253296,0.0017,0.024609375,70,5.960464477539063e-08,483277856.0,139.62,0.2,1358,1302343988.6,-13.493285941332578
70000,0.0048176446,-0.004301597290395876,50,-357890.19305308,1.102795124053955,0.0017,0.020361328125,80,0.0,655300160.0,151.66,0.2,1372,1180336540.15,-13.604796561598778
80000,0.005833052,-0.005653098114726163,57,-324864.93066778005,1.121816873550415,0.0017,0.02459716796875,90,1.7881393432617188e-07,585461312.0,140.04,0.2,1383,1235156352.7,-13.735513509809971
90000,0.0050949235,-0.004583049805478368,64,-302595.44384208997,1.1351985931396484,0.0017,0.02586669921875,100,-1.1920928955078125e-07,652302016.0,126.7,0.2,1391,1281532049.7,-13.862144895642995
100000,0.005715874,-0.005428416009090142,74,-290914.7815236,1.1663156747817993,0.0017,0.0296142578125,120,-1.1920928955078125e-07,461708704.0,120.46,0.2,1335,1247408594.55,-14.095712243765593
110000,0.004792891,-0.0045867727279983225,81,-258861.06866103,1.184289574623108,0.0017,0.0189697265625,130,5.960464477539063e-08,453348032.0,108.23,0.2,1345,1345207245.3,-14.22835292071104
120000,0.006752977,-0.006043594719449175,88,-279872.17598406,1.200718641281128,0.0017,0.038720703125,140,0.0,372912960.0,117.57,0.2,1354,1176345758.0,-14.360775754600763
130000,0.00491311,-0.004613407513352286,95,-254761.1241852,1.215954065322876,0.0017,0.029345703125,150,0.0,677080384.0,104.2,0.2,1357,1266552403.6,-14.477245363593102
140000,0.0060495995,-0.005079298402415588,106,-261557.64423704002,1.2543540000915527,0.0017,0.0269287109375,170,0.0,720247680.0,107.73,0.2,1312,1306824109.95,-14.736299704760313
150000,0.006424502,-0.0051654539443916295,113,-261719.56727390003,1.2768973112106323,0.0017,0.0314208984375,180,0.0,498785184.0,118.68,0.2,1317,1105607651.95,-14.894641519337892
160000,0.0060031363,-0.004199860996595817,121,-252263.66333704,1.2999378442764282,0.0017,0.02838134765625,190,0.0,572398464.0,115.98,0.2,1322,1070393970.15,-15.05540811419487
170000,0.0063955025,-0.005423805949067173,128,-258014.95481799,1.3201135396957397,0.0017,0.0310791015625,200,0.0,727826816.0,119.82,0.2,1326,1098482469.5,-15.205029254406691
180000,0.005266065,-0.0030824850027784123,135,-234394.80162736,1.3397955894470215,0.0017,0.0215087890625,210,0.0,613079168.0,106.24,0.2,1329,1053462644.5,-15.33743444904685
190000,0.0066324607,-0.004699143081779766,146,-241149.99858993,1.381644606590271,0.0017,0.0324951171875,230,0.0,722679872.0,105.13,0.2,1300,1110619273.55,-15.605632900446654
200000,0.0057266094,-0.004828798133348755,153,-237445.80396449994,1.4012665748596191,0.0017,0.0344482421875,240,5.960464477539063e-08,601804096.0,110.32,0.2,1302,1044641413.1,-15.744602996110917
210000,0.0061590993,-0.004752219377951406,160,-233699.73864606998,1.4201006889343262,0.0017,0.035400390625,250,1.1920928955078125e-07,492950880.0,102.06,0.2,1306,1068352132.925,-15.868700562417507
220000,0.0061303214,-0.004920067664352245,168,-230617.31890705,1.441832184791565,0.0017,0.029443359375,260,0.0,558582080.0,99.7,0.2,1306,1149294179.675,-15.997172636538744
230000,0.007038675,-0.005360803444636986,179,-217463.29815927002,1.4929968118667603,0.0017,0.03594970703125,280,1.1920928955078125e-07,513712576.0,94.46,0.2,1280,1063322674.175,-16.29275102466345
240000,0.006965781,-0.00602553115641058,187,-217479.07134311995,1.5166960954666138,0.0017,0.0414306640625,290,1.1920928955078125e-07,424604032.0,94.54,0.2,1282,1126278046.575,-16.447166408598424
