time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/iterations,train/learning_rate,train/step_size,train/delta_std,rollout/return_std
3978,917.25,-18193826.123288333,223,890000,,,,,
3979,929.0714285714286,-18401040.531733073,226,900000,,,,,
3979,1000.0,-19750492.283843,228,910000,15,0.0018,4.2019613483157414e-11,0.05,5354642.5
3979,1000.0,-19507468.724329665,231,920000,,,,,
3980,1000.0,-19705880.091638833,233,930000,,,,,
3980,1000.0,-19667051.524863,236,940000,,,,,
3980,1000.0,-19707574.919178274,238,950000,,,,,
3981,1000.0,-19730355.281307306,241,960000,,,,,
3981,,,243,970000,16,0.0018,7.296108162080372e-10,0.05,308383.5625
3981,1000.0,-19909053.941163,246,980000,,,,,
3981,805.4,-15902404.844837999,248,990000,,,,,
3981,781.5555555555555,-15433933.114209,251,1000000,,,,,
3981,821.2727272727273,-16230354.153962636,253,1010000,,,,,
3982,802.7333333333333,-15857824.354795067,256,1020000,,,,,
