train/actor_loss,train/ent_coef,time/total_timesteps,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/episodes,train/learning_rate,rollout/ep_len_mean,train/n_updates,time/fps,time/time_elapsed
7552.22509765625,17.42573356628418,10000,13486725.0,-573490.5694241667,-10.722190856933594,54,0.0055,181.64814814814815,2474,222,44
1632.259033203125,28.171100616455078,20000,34992872.0,-495901.173454652,-1.9211794137954712,69,0.0055,279.17391304347825,4974,222,89
-137.92520141601562,27.113956451416016,30000,4314738.0,-415827.70299796434,1.7004613876342773,84,0.0055,346.29761904761904,7474,223,134
-677.318359375,21.08549690246582,40000,2728010.5,-375065.1404977396,2.1376500129699707,96,0.0055,393.0520833333333,9974,223,178
1692.65380859375,26.5186824798584,50000,2314266.0,-225620.38707851004,9.80353832244873,112,0.0055,470.62,12474,223,223
3614.81884765625,33.053680419921875,60000,3117053.5,-186642.81946478997,6.232306957244873,127,0.0055,535.43,14974,223,268
713.2608642578125,5.712802886962891,70000,1311147.5,-183666.31124647,-0.8842215538024902,139,0.0055,629.75,17474,223,312
1741.84228515625,8.603084564208984,80000,2043812.625,-179384.09330083002,3.0064566135406494,148,0.0055,699.13,19974,223,357
789.7550048828125,6.402463436126709,90000,1081170.25,-160753.04424188,3.5255985260009766,159,0.0055,764.97,22474,223,402
-8927.478515625,22.359554290771484,100000,4812934.0,-180030.82097934998,-37.50103759765625,170,0.0055,783.04,24974,223,447
1335.8433837890625,5.250509262084961,110000,1244260.75,-383282.67933423,1.679985761642456,180,0.0055,803.6,27474,223,491
2706.385986328125,8.91930103302002,120000,1972304.5,-390639.5628635,4.0247979164123535,191,0.0055,847.58,29974,223,536
6575.576171875,6.08021879196167,130000,1802854.25,-378126.2706911,0.39946073293685913,201,0.0055,861.23,32474,223,581
-3962.8203125,7.5981245040893555,140000,656427.625,-414155.14216526004,3.331573009490967,216,0.0055,854.05,34974,223,626
2157.9794921875,10.410542488098145,150000,1310788.25,-378776.7618984599,-0.05432724952697754,231,0.0055,866.58,37474,223,671
-562.2637939453125,9.112594604492188,160000,627383.25,-381317.89284419996,-0.7999495267868042,241,0.0055,873.6,39974,223,716
13954.1533203125,14.58626937866211,170000,516036.03125,-393236.06080120004,-3.5363335609436035,255,0.0055,844.06,42474,223,760
3109.537353515625,8.98989486694336,180000,982309.1875,-497259.63619484,7.922830581665039,268,0.0055,800.47,44974,223,805
-437.4430847167969,7.873127460479736,190000,2052278.75,-276610.13738913997,-1.3619709014892578,279,0.0055,819.91,47474,223,850
-1313.974853515625,9.104676246643066,200000,1256547.75,-280103.76117565,-3.0814766883850098,288,0.0055,819.91,49974,223,895
-652.4644165039062,5.36714506149292,210000,213167.53125,-278915.03933368,2.551841974258423,299,0.0055,827.77,52474,223,940
196.02967834472656,6.41403865814209,220000,365736.3125,-354013.3891010599,0.9705575704574585,308,0.0055,841.85,54974,223,985
2371.223388671875,9.148741722106934,230000,1719858.0,-315934.30407178996,1.2184789180755615,333,0.0055,777.01,57474,223,1030
-4.4904632568359375,9.017159461975098,240000,3331720.5,-324460.09046890994,0.38037317991256714,345,0.0055,767.08,59974,223,1074
-167.0215301513672,10.00720500946045,250000,2631195.0,-312535.39268287,1.3730189800262451,354,0.0055,796.62,62474,223,1119
-1488.4404296875,7.834475040435791,260000,1218742.5,-220687.34031867998,1.7323224544525146,367,0.0055,820.91,64974,223,1164
-791.3902587890625,7.405632972717285,270000,839905.5,-258903.34437825,-0.9615341424942017,376,0.0055,820.59,67474,223,1208
-2457.135498046875,7.50860071182251,280000,1011403.875,-270964.40404222,-0.10254921764135361,387,0.0055,820.59,69974,223,1253
-58707.9453125,25.21375274658203,290000,2090800.875,-269715.83697954,-49.75368118286133,396,0.0055,820.59,72474,223,1298
8516.79296875,17.201555252075195,300000,2222096.75,-653804.78308423,12.354324340820312,416,0.0055,797.55,74974,223,1344
