time/total_timesteps,train/learning_rate,train/clip_fraction,train/std,train/clip_range,train/approx_kl,rollout/ep_len_mean,train/policy_gradient_loss,time/fps,train/entropy_loss,train/value_loss,train/loss,train/n_updates,time/time_elapsed,train/explained_variance,rollout/ep_rew_mean
10000,0.0003,0.0,1.0001810789108276,0.2,0.0012519769,174.58,-0.0016807507759949657,1074,-8.514217795431614,2308808598.2,1163619840.0,10,9,5.364418029785156e-07,-467456.05840346
20000,0.0003,0.0,0.9999544620513916,0.2,0.0005721255,185.67,-0.001081372974658734,1090,-8.514095553010701,2461107358.9,1300137728.0,20,18,0.0,-487299.69272549
30000,0.0003,0.0,0.9997115135192871,0.2,0.00087639573,184.92,-0.0012800214843082358,1096,-8.512717822939157,2001944812.3,965618176.0,30,27,0.0,-477520.03491986997
40000,0.0003,2.44140625e-05,1.0001152753829956,0.2,0.000845862,182.61,-0.0014836915275736827,1100,-8.513205114006997,2428889061.5,1165219200.0,40,36,0.0,-478494.45643769
50000,0.0003,0.0,1.0001697540283203,0.2,0.00062302884,175.25,-0.0013418387179626734,997,-8.514153636991978,2245368444.6,804670208.0,60,50,0.0,-448832.98727562005
60000,0.0003,0.0,0.9993745684623718,0.2,0.00080611685,152.62,-0.0009558574694892741,1013,-8.512214397639037,2214368685.8,1107862656.0,70,59,0.0,-383045.67675897
70000,0.0003,0.0,0.9991457462310791,0.2,0.00083173957,165.14,-0.0015746917575597762,1025,-8.509191777557135,1875162385.75,644142784.0,80,68,0.0,-400625.25297046005
80000,0.0003,0.00048828125,0.9981834292411804,0.2,0.002194832,146.39,-0.0020676239616477686,1034,-8.505597752332687,1985359888.05,1028386176.0,90,77,0.0,-353299.87809286005
90000,0.0003,0.0,0.9979961514472961,0.2,0.0006406498,150.67,-0.0009775915790669388,1042,-8.50204882249236,1951036100.5,804947200.0,100,86,-1.1920928955078125e-07,-360591.73406753
100000,0.0003,0.0,0.9977573752403259,0.2,0.00093661697,129.27,-0.0011261314579314786,997,-8.500110060721635,1989530111.9,687983872.0,120,100,-1.1920928955078125e-07,-320679.62796758
110000,0.0003,0.0,0.9966170191764832,0.2,0.0006775813,151.91,-0.001141674568862072,1006,-8.496686125546693,1997809858.1,1058483136.0,130,109,1.1920928955078125e-07,-358573.4041448901
120000,0.0003,0.00020751953125,0.9967050552368164,0.2,0.0017339152,174.44,-0.0017841310981566495,1014,-8.493547880649567,1936709677.3,1084893568.0,140,118,0.0,-388248.64327661996
130000,0.0003,0.0001708984375,0.9957433342933655,0.2,0.0015756635,144.68,-0.0017701628044051176,1020,-8.490897488594054,1805592620.15,930432256.0,150,127,0.0,-323547.2151018
140000,0.0003,8.544921875e-05,0.9943248629570007,0.2,0.0015135955,133.78,-0.0015575990160868968,991,-8.480580638349057,1811325087.45,855279872.0,170,141,0.0,-300577.86145786004
150000,0.0003,0.0,0.9938671588897705,0.2,0.0006712545,136.28,-0.0009411599540726457,998,-8.478010525554419,1697032022.4,895709952.0,180,150,0.0,-297202.16705802997
160000,0.0003,2.44140625e-05,0.9931996464729309,0.2,0.001153915,138.88,-0.0012802055547581404,1004,-8.4745116494596,1779334450.5,914281664.0,190,159,0.0,-313400.4511057701
170000,0.0003,0.00035400390625,0.992455005645752,0.2,0.002075169,132.66,-0.0018661502006580121,1009,-8.470215272158384,1627765970.45,869831040.0,200,168,5.960464477539063e-08,-291672.07369421
180000,0.0003,0.0,0.992276668548584,0.2,0.00016942291,134.23,-0.0006422108026526985,1014,-8.467404125630855,1771687605.0,717411968.0,210,177,0.0,-293262.97650257003
190000,0.0003,0.0,0.9911726117134094,0.2,0.00086659205,149.05,-0.0009106795438128757,993,-8.460290199518203,1522863196.05,664799296.0,230,191,0.0,-309133.03715112
200000,0.0003,0.00015869140625,0.9906029105186462,0.2,0.0015642042,141.37,-0.0013502554769729614,997,-8.45850817412138,1651956559.1,644972992.0,240,200,0.0,-287371.80296439
210000,0.0003,0.0,0.9900147318840027,0.2,0.00049561425,154.22,-0.000772074145879742,1002,-8.454784354567527,1583152915.85,709530496.0,250,209,0.0,-305665.2907575501
220000,0.0003,0.001123046875,0.990224301815033,0.2,0.002364778,149.44,-0.0018376352192717605,1006,-8.453723783791066,1607957384.95,700746048.0,260,218,0.0,-307769.53179016
230000,0.0003,0.00384521484375,0.989776611328125,0.2,0.0034355475,139.35,-0.0028165832822196536,989,-8.45028899461031,1647405421.1,925671808.0,280,232,0.0,-286815.38895528996
240000,0.0003,0.0,0.9893589019775391,0.2,0.00077716104,135.2,-0.0009278805561734771,993,-8.450360708683728,1524769235.15,757273280.0,290,241,0.0,-271178.82836772
250000,0.0003,0.0,0.9887112975120544,0.2,0.000738393,130.55,-0.0008587256759710726,997,-8.447041972726584,1791286147.4,874991744.0,300,250,0.0,-281869.35436520004
260000,0.0003,0.0,0.9882580637931824,0.2,0.00091373053,140.36,-0.0010093296694321907,1001,-8.443733897060156,1570058375.0,710283648.0,310,259,0.0,-283729.94128846
270000,0.0003,0.0017333984375,0.9881413578987122,0.2,0.0027749555,139.89,-0.002465040702372789,1004,-8.442153272032737,1479644935.3,869081280.0,320,268,-1.1920928955078125e-07,-287549.04614008
280000,0.0003,0.0011962890625,0.986760139465332,0.2,0.0024522895,138.86,-0.001518579602088721,990,-8.434403464198112,1435209966.0,693893760.0,340,282,0.0,-274276.96184343996
290000,0.0003,0.00018310546875,0.9865637421607971,0.2,0.0016935924,118.37,-0.0013585287715613958,994,-8.432531315088273,1668589961.15,737205568.0,350,291,0.0,-238056.29331286997
300000,0.0003,1.220703125e-05,0.9865455627441406,0.2,0.001076624,136.04,-0.001011259339065873,997,-8.431825445592404,1355484022.35,638003776.0,360,300,0.0,-262261.47558368
310000,0.0003,0.00025634765625,0.9864416718482971,0.2,0.0015156466,121.47,-0.0011972778069321067,1000,-8.43148605823517,1525660593.65,845100416.0,370,309,0.0,-231971.33642423002
320000,0.0003,1.220703125e-05,0.9852123856544495,0.2,0.0012512936,141.88,-0.001210054437706276,988,-8.424995600432158,1399113999.85,645833792.0,390,323,0.0,-272444.39399185
330000,0.0003,2.44140625e-05,0.984951913356781,0.2,0.0014012583,125.23,-0.0013344606370083057,991,-8.422504752874374,1466045498.0,632702784.0,400,332,0.0,-249229.54868316
340000,0.0003,0.0002197265625,0.9844775795936584,0.2,0.0017459127,125.97,-0.001385444791867485,994,-8.420236629247665,1483793920.4,710229888.0,410,342,0.0,-249322.68381596997
350000,0.0003,0.0034912109375,0.9841310381889343,0.2,0.0031670593,133.72,-0.0021883044824789976,996,-8.418113397806883,1340329551.55,741331968.0,420,351,-1.1920928955078125e-07,-248555.03678725005
360000,0.0003,0.0016845703125,0.9840111136436462,0.2,0.0028503672,125.55,-0.002042444682592759,999,-8.416538711637259,1451960005.1,755468800.0,430,360,0.0,-239089.42762802006
370000,0.0003,0.00078125,0.9832842946052551,0.2,0.0021321278,115.37,-0.0015355839096628187,989,-8.412437798827886,1335135751.05,552024320.0,450,374,-2.384185791015625e-07,-218603.78012856992
380000,0.0003,0.00067138671875,0.9831624627113342,0.2,0.001988451,126.36,-0.0013028351539105642,991,-8.411136384308339,1426175110.35,664392320.0,460,383,0.0,-235357.24695312005
390000,0.0003,0.0,0.9833710789680481,0.2,0.0013973982,129.61,-0.0010131699582416331,994,-8.41125538572669,1226350824.0,567584128.0,470,392,5.960464477539063e-08,-241073.54195163999
400000,0.0003,0.00152587890625,0.9831030368804932,0.2,0.0026568677,122.19,-0.0019767759777096217,996,-8.411293958127498,1499452710.55,609309760.0,480,401,-1.1920928955078125e-07,-228896.64418183998
410000,0.0003,0.00018310546875,0.9813643097877502,0.2,0.0014609885,119.79,-0.0011137042183690937,987,-8.40461135879159,1284749692.05,733540544.0,500,415,5.960464477539063e-08,-220023.0976302
420000,0.0003,4.8828125e-05,0.9805874824523926,0.2,0.0014508774,119.2,-0.000991309669734619,989,-8.397266683727503,1318879798.65,671817024.0,510,424,1.1920928955078125e-07,-219696.05203539997
430000,0.0003,0.0,0.9809562563896179,0.2,0.0010453034,120.85,-0.0009276514279918047,992,-8.395876563340426,1547448815.5,634516544.0,520,433,0.0,-226094.97143389995
440000,0.0003,2.44140625e-05,0.9807608127593994,0.2,0.00092666567,147.43,-0.0009666721083704033,994,-8.396541245281696,1147883622.2,677598080.0,530,442,0.0,-238999.95038661998
450000,0.0003,0.00013427734375,0.9803017973899841,0.2,0.0015758352,123.75,-0.0011671505908452673,996,-8.394472739845515,1316041735.7,638222336.0,540,451,0.0,-224505.52693249995
460000,0.0003,2.44140625e-05,0.9796757102012634,0.2,0.001338457,130.48,-0.0011103578877737163,988,-8.3890050470829,1171789127.6,798214464.0,560,465,0.0,-228614.40243719
470000,0.0003,0.00535888671875,0.9795365333557129,0.2,0.0037094026,148.18,-0.0026159880524573966,990,-8.388978800922633,1332093275.15,565595584.0,570,474,0.0,-238346.00606245
480000,0.0003,0.00062255859375,0.9778162837028503,0.2,0.0023302874,137.46,-0.0016851602491897212,992,-8.38293190598488,1160114567.45,321317344.0,580,483,0.0,-235814.30019540002
490000,0.0003,0.00064697265625,0.9776475429534912,0.2,0.0021736994,127.99,-0.0013842215913427935,994,-8.377004425227643,1403607880.5,599108992.0,590,492,0.0,-231126.86659996
500000,0.0003,0.00311279296875,0.9755964279174805,0.2,0.00343482,119.06,-0.002311254511732841,986,-8.367273531109095,1284329796.0,803424576.0,610,506,-2.384185791015625e-07,-207887.19509392002
510000,0.0003,0.00068359375,0.9758920669555664,0.2,0.0020122677,112.13,-0.0013584729387730477,988,-8.364766862988471,1398752049.85,643309056.0,620,515,0.0,-209312.40279533004
520000,0.0003,0.0049072265625,0.9751482605934143,0.2,0.0037450758,113.5,-0.0021323979892258647,990,-8.36326610967517,1255107573.95,526760032.0,630,525,0.0,-188160.80520594004
530000,0.0003,0.00206298828125,0.9738380312919617,0.2,0.0028262602,120.59,-0.0017962221170819248,992,-8.356632033735513,1210017820.05,699332736.0,640,534,0.0,-203096.88510767
540000,0.0003,0.00025634765625,0.9724119305610657,0.2,0.001973569,121.77,-0.0015033856357149489,993,-8.348027608543635,1352249163.35,790592192.0,650,543,0.0,-208150.72960323
550000,0.0003,0.002392578125,0.9700413346290588,0.2,0.0027814019,120.73,-0.0016388815356549458,986,-8.333320231735707,1208607654.75,577658816.0,670,557,1.1920928955078125e-07,-204514.99102281
560000,0.0003,3.662109375e-05,0.9691462516784668,0.2,0.0011951136,119.57,-0.0008832499397612992,988,-8.325804444402456,1297783669.2,450677440.0,680,566,0.0,-207552.66010707003
570000,0.0003,0.00023193359375,0.968855082988739,0.2,0.0016144521,129.76,-0.0010587778577246354,990,-8.32186868339777,1170139174.85,465431680.0,690,575,1.1920928955078125e-07,-205032.05603954
580000,0.0003,0.00545654296875,0.9675021767616272,0.2,0.0033657886,121.94,-0.0019723512677956023,991,-8.316856154799462,1238248533.975,624075712.0,700,584,0.0,-206987.09042853
590000,0.0003,0.00184326171875,0.9678487777709961,0.2,0.0026928117,125.69,-0.0014351584321047994,985,-8.314823365956546,1247301381.85,637259520.0,720,598,0.0,-204520.01794562998
600000,0.0003,0.00211181640625,0.9670405983924866,0.2,0.0024733762,113.26,-0.0018022048869170248,986,-8.31188302487135,1329986350.9,648957120.0,730,607,0.0,-185392.53433993005
610000,0.0003,0.00037841796875,0.96670001745224,0.2,0.002147981,120.22,-0.0014120106350674177,988,-8.308207537978888,1169977949.7,471256448.0,740,617,0.0,-178288.20341847997
620000,0.0003,3.662109375e-05,0.9664966464042664,0.2,0.0012773424,100.88,-0.0008832822308249888,989,-8.306261197477578,1298661174.45,509470112.0,750,626,0.0,-175958.41797930002
630000,0.0003,0.00389404296875,0.9659200310707092,0.2,0.0029215121,129.21,-0.0014774597986615845,991,-8.303586264699698,1221436655.8,561670784.0,760,635,0.0,-190689.22315297005
640000,0.0003,0.0286376953125,0.965403139591217,0.2,0.0053974623,122.89,-0.004290081413546432,985,-8.298893630504608,1296707428.55,611416576.0,780,649,-1.1920928955078125e-07,-191780.45528653997
650000,0.0003,0.0042724609375,0.9662057757377625,0.2,0.003458885,114.18,-0.0021681325577446843,986,-8.30099804699421,1231235896.15,568127104.0,790,658,0.0,-193465.88457107
660000,0.0003,0.0068359375,0.9648755192756653,0.2,0.0037155217,113.31,-0.00195731063522544,988,-8.29923737347126,1263192648.0,655034880.0,800,667,0.0,-185453.80270757995
670000,0.0003,0.0148681640625,0.9639049172401428,0.2,0.004648408,115.38,-0.0028617114996450253,989,-8.291886780411005,1339501959.25,616581760.0,810,677,1.1920928955078125e-07,-187334.08618795
680000,0.0003,0.0039306640625,0.9619888663291931,0.2,0.0034421666,136.42,-0.0019657381488286775,984,-8.279135844856501,1159939623.75,747227200.0,830,690,0.0,-206082.68805033003
690000,0.0003,0.00767822265625,0.9623631834983826,0.2,0.0041648815,122.15,-0.0026037531678412052,985,-8.278144717961549,1171189810.325,446246080.0,840,700,0.0,-181555.57865842
700000,0.0003,0.00589599609375,0.9616193175315857,0.2,0.0034149946,129.19,-0.00187646612912431,986,-8.277033039927483,1035590795.25,612645952.0,850,709,0.0,-179053.96772742
710000,0.0003,0.0048828125,0.9613222479820251,0.2,0.0032579047,115.92,-0.002389189534005709,988,-8.273597154021264,1199495964.2,658428480.0,860,718,1.1920928955078125e-07,-191670.55274638
720000,0.0003,0.00048828125,0.9596714973449707,0.2,0.0019823718,121.03,-0.001262593112005561,989,-8.267142429947853,1188931845.65,470327744.0,870,727,0.0,-188439.58437380998
730000,0.0003,0.00050048828125,0.9585995674133301,0.2,0.0021074577,129.98,-0.0014040350812138057,984,-8.257083506882191,1179817906.6,530036416.0,890,741,0.0,-207454.03917052
740000,0.0003,0.00953369140625,0.9578254222869873,0.2,0.0032092724,136.47,-0.0020261292076611424,985,-8.253142226487398,1050428079.275,504101120.0,900,750,0.0,-189415.6452725
750000,0.0003,0.00267333984375,0.957133948802948,0.2,0.0029424897,122.78,-0.0015546517908660463,986,-8.248184073716402,1085678475.875,593396480.0,910,759,-1.1920928955078125e-07,-181676.84534593995
760000,0.0003,0.00042724609375,0.9576241374015808,0.2,0.0013966146,113.49,-0.0008510954681696603,988,-8.247304797172546,1214783435.3,400418144.0,920,769,0.0,-179321.78633631003
770000,0.0003,0.011376953125,0.9574875235557556,0.2,0.0036873927,122.09,-0.002736207913585531,989,-8.248639243841172,1227292776.0,421102720.0,930,778,-1.1920928955078125e-07,-184118.00160124002
780000,0.0003,0.0003662109375,0.9564597606658936,0.2,0.0019489608,120.04,-0.0014578756250557489,984,-8.244425032287836,1130033320.025,478174304.0,950,792,0.0,-188230.92731481002
790000,0.0003,0.00596923828125,0.9555628299713135,0.2,0.0027392372,119.49,-0.0017519110929242743,985,-8.238372972607612,1118079981.85,437588384.0,960,801,0.0,-175811.73685231002
800000,0.0003,0.01348876953125,0.9553806185722351,0.2,0.004105971,119.48,-0.002534336091230216,986,-8.235294269025326,1103617143.9,479807680.0,970,810,0.0,-169367.41727730996
810000,0.0003,0.00162353515625,0.9546139240264893,0.2,0.0025021462,126.83,-0.0009420020563084108,987,-8.23229522779584,1240526839.85,660188544.0,980,819,0.0,-178662.20877235
820000,0.0003,0.00020751953125,0.9529192447662354,0.2,0.0016244624,125.25,-0.00112869356680676,983,-8.22356532216072,1073693445.0,489708960.0,1000,833,0.0,-172700.49800601002
830000,0.0003,0.01285400390625,0.9526834487915039,0.2,0.0037687388,123.86,-0.002755254914973193,984,-8.218343740701675,1093408788.475,595265664.0,1010,843,-1.1920928955078125e-07,-169321.2431577
840000,0.0003,0.01116943359375,0.951723575592041,0.2,0.003822306,119.67,-0.0025196243143000173,985,-8.213965388387441,1162598310.275,454488512.0,1020,852,-1.1920928955078125e-07,-172646.24421894003
850000,0.0003,0.00145263671875,0.9507223963737488,0.2,0.0026865057,124.38,-0.0016991461115139828,986,-8.207398283481599,939576542.6,408209472.0,1030,861,0.0,-177797.52990683005
860000,0.0003,0.00238037109375,0.949806272983551,0.2,0.002456803,99.61,-0.0014355581093695945,987,-8.201497396081686,1169598137.825,579534016.0,1040,870,0.0,-162890.56097658
870000,0.0003,0.00035400390625,0.9500120282173157,0.2,0.0015255449,122.59,-0.0006875450793813797,983,-8.19851832166314,1097252387.875,744878592.0,1060,884,0.0,-178942.94002237002
880000,0.0003,0.00103759765625,0.9486086964607239,0.2,0.0020026574,111.44,-0.001546185069673811,984,-8.19504986256361,1105788239.85,580748288.0,1070,893,0.0,-151745.33827424998
890000,0.0003,0.00714111328125,0.9475365281105042,0.2,0.0035002972,109.75,-0.00225132194791513,985,-8.187516606599093,1130898061.95,626343488.0,1080,903,0.0,-147843.96712753
900000,0.0003,0.00648193359375,0.946806013584137,0.2,0.0031062688,107.24,-0.0017006531317747431,986,-8.18169662281871,1188817654.85,520577024.0,1090,912,0.0,-148482.97554398997
910000,0.0003,0.0004638671875,0.9452423453330994,0.2,0.001571524,114.08,-0.0011753942699215258,982,-8.170686943084002,1079299470.825,368144384.0,1110,926,0.0,-160624.10323896
920000,0.0003,0.0052978515625,0.94427490234375,0.2,0.0034161166,126.39,-0.0021425290525257878,983,-8.165930935740471,1035463398.525,441298656.0,1120,935,0.0,-181642.9223079
930000,0.0003,0.002294921875,0.944983959197998,0.2,0.0029717202,130.95,-0.0018430366882967065,984,-8.165262969583273,999072972.975,400318304.0,1130,944,0.0,-168335.00357108001
940000,0.0003,0.0034912109375,0.943642795085907,0.2,0.002372526,129.24,-0.0014485534245068266,985,-8.163131327927113,1005179686.525,658108416.0,1140,953,0.0,-171659.40046661
950000,0.0003,0.0017333984375,0.942747175693512,0.2,0.0023969517,125.0,-0.0014396229475096335,986,-8.15596807077527,1056841332.075,352240864.0,1150,963,-1.1920928955078125e-07,-175641.68761932998
960000,0.0003,0.01004638671875,0.9417679905891418,0.2,0.0040128147,120.43,-0.0027004049135939566,982,-8.150130188465118,963457519.3,595252544.0,1170,977,0.0,-163259.73470139
970000,0.0003,0.00230712890625,0.9408478736877441,0.2,0.002793027,111.96,-0.0016338366405761918,983,-8.143978511542082,1172175862.225,411837728.0,1180,986,0.0,-157599.54242927
980000,0.0003,0.0134521484375,0.9385991096496582,0.2,0.004744118,130.87,-0.0028062373072316404,984,-8.133645295351744,1020129700.25,538750976.0,1190,995,0.0,-159859.58190626
990000,0.0003,0.011669921875,0.9375718235969543,0.2,0.0037033267,121.08,-0.002211406280184747,985,-8.123206048458815,928626771.7,564314048.0,1200,1004,0.0,-150242.17860296
1000000,0.0003,0.01143798828125,0.9348337054252625,0.2,0.0038244682,107.4,-0.0023745844086988654,981,-8.10684197768569,1109873086.4,440971840.0,1220,1018,0.0,-147318.89228868
