time/fps,rollout/ep_rew_mean,time/total_timesteps,train/std,train/learning_rate,train/clip_range,time/time_elapsed,train/entropy_loss,rollout/ep_len_mean,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/approx_kl,train/n_updates,train/clip_fraction
722,-165167.14421992,490000,0.9956602454185486,0.0003,0.2,678,-21.218598729372026,26.38,6934881431.2,-0.0013527024420909584,-2.384185791015625e-07,3513131008.0,0.0006039354,590,0.0
718,-180610.64464259002,500000,0.9958617091178894,0.0003,0.2,695,-21.220668086409567,28.57,6791474285.6,-0.000794375503937772,1.7881393432617188e-07,3374629120.0,0.00028303827,610,0.0
720,-162013.58163369,510000,0.9957988858222961,0.0003,0.2,707,-21.22105336934328,25.02,6897114984.8,-0.0016388679463489098,0.0,3722788864.0,0.0008958349,620,1.220703125e-05
722,-148986.96262445,520000,0.9957392811775208,0.0003,0.2,719,-21.220078648626803,22.8,6560293194.0,-0.0012861083081588732,2.384185791015625e-07,3240489984.0,0.0006829701,630,0.0
724,-175561.70582923,530000,0.9955302476882935,0.0003,0.2,731,-21.21803758889437,29.43,6315756504.0,-0.0011559539476365898,0.0,3338681088.0,0.00056623213,640,0.0
726,-144558.41465822,540000,0.9956079721450806,0.0003,0.2,743,-21.21709176003933,21.37,6380867638.0,-0.000868696185079898,0.0,3297823488.0,0.0004199718,650,0.0
723,-160338.87572422,550000,0.9954268932342529,0.0003,0.2,760,-21.21698064804077,25.01,6595943003.6,-0.0008040155509661418,0.0,3670852608.0,0.00029872838,670,0.0
725,-167367.74219279,560000,0.9953911900520325,0.0003,0.2,772,-21.214666604995728,25.19,6420740654.0,-0.0010906896217420582,-1.1920928955078125e-07,3205619968.0,0.0005161159,680,0.0
726,-158525.13486849997,570000,0.995242714881897,0.0003,0.2,784,-21.213338263332844,24.39,6735394355.2,-0.0011264531425695169,0.0,3581085440.0,0.000504881,690,0.0
728,-150652.12732474,580000,0.9951483607292175,0.0003,0.2,796,-21.211520156264307,22.26,6257349446.4,-0.0008507802351232386,5.960464477539063e-08,3331757056.0,0.00040075535,700,0.0
725,-163896.6435063,590000,0.994821310043335,0.0003,0.2,813,-21.20708034038544,25.17,6274089372.0,-0.0012591073398652952,-1.1920928955078125e-07,2913630976.0,0.00066558213,720,0.0
726,-190430.57607426,600000,0.9947059750556946,0.0003,0.2,825,-21.2048903003335,31.02,6422878452.8,-0.0008474146356093115,-1.1920928955078125e-07,2989408512.0,0.0002978684,730,0.0
