Logging to training_default_logs/5_robots/logs/PPO_set2
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.1        |
|    ep_rew_mean          | -2.37e+05   |
| time/                   |             |
|    fps                  | 670         |
|    time_elapsed         | 14          |
|    total_timesteps      | 10000       |
| train/                  |             |
|    approx_kl            | 0.003120529 |
|    clip_fraction        | 0.00255     |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.3       |
|    explained_variance   | 9.6e-06     |
|    learning_rate        | 0.0003      |
|    loss                 | 3.69e+09    |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00502    |
|    std                  | 1           |
|    value_loss           | 8.32e+09    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 30.9         |
|    ep_rew_mean          | -2.14e+05    |
| time/                   |              |
|    fps                  | 668          |
|    time_elapsed         | 29           |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0021411208 |
|    clip_fraction        | 0.000342     |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.3        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 3.54e+09     |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00352     |
|    std                  | 1            |
|    value_loss           | 8.05e+09     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 32.1         |
|    ep_rew_mean          | -2.18e+05    |
| time/                   |              |
|    fps                  | 668          |
|    time_elapsed         | 44           |
|    total_timesteps      | 30000        |
| train/                  |              |
|    approx_kl            | 0.0016849127 |
|    clip_fraction        | 0.000256     |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.3        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 4.05e+09     |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00292     |
|    std                  | 1            |
|    value_loss           | 8.05e+09     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 30.1        |
|    ep_rew_mean          | -2.18e+05   |
| time/                   |             |
|    fps                  | 670         |
|    time_elapsed         | 59          |
|    total_timesteps      | 40000       |
| train/                  |             |
|    approx_kl            | 0.000947833 |
|    clip_fraction        | 0           |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.3       |
|    explained_variance   | -1.19e-07   |
|    learning_rate        | 0.0003      |
|    loss                 | 3.84e+09    |
