time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/is_line_search_success,train/std,time/fps,train/explained_variance,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,train/value_loss,train/kl_divergence_loss,train/policy_objective
490000,0.001,870.82,1.0,0.763205349445343,2587,0.0,59,-13621.367144720003,189,31349852.38105469,0.008692306466400623,0.03947117179632187
500000,0.001,891.33,1.0,0.7601343989372253,2575,-1.1920928955078125e-07,61,-13480.343566890002,194,3771654.3794921874,0.008319525048136711,0.03240928426384926
510000,0.001,916.15,1.0,0.7610461115837097,2577,1.1920928955078125e-07,62,-16024.880675000004,197,2080601.5966308594,0.006286080926656723,0.027423931285738945
520000,0.001,916.15,1.0,0.7621236443519592,2580,0.0,63,-14038.68351417,201,1966302.4665039063,0.008769409731030464,0.030141564086079597
530000,0.001,922.32,1.0,0.7651439309120178,2581,0.0,64,-11658.199924630002,205,2458765.053515625,0.006494924426078796,0.03076152317225933
540000,0.001,930.85,1.0,0.7634854316711426,2584,-2.384185791015625e-07,65,-9734.48325836,208,1893033.5385253907,0.008992280811071396,0.029033701866865158
550000,0.001,924.69,1.0,0.7554215788841248,2574,0.0,67,-13034.497930680001,213,17589178.71206055,0.007778672035783529,0.01640688255429268
560000,0.001,933.99,1.0,0.7534783482551575,2577,-1.1920928955078125e-07,68,-17920.554491370003,217,30114673.96171875,0.009090096689760685,0.03516398370265961
570000,0.001,934.92,1.0,0.7518184185028076,2580,0.0,69,-15600.461210759999,220,13833549.140527343,0.006404019892215729,0.03428737074136734
580000,0.001,957.1,1.0,0.7536099553108215,2582,5.960464477539063e-08,70,-12251.64588523,224,2828115.8557128906,0.008724267594516277,0.029462741687893867
590000,0.001,957.1,1.0,0.7509313225746155,2574,0.0,72,-11876.928668359998,229,2434197.319482422,0.00847600493580103,0.03344510495662689
600000,0.001,957.1,1.0,0.7468076348304749,2576,-1.1920928955078125e-07,73,-10479.559300449999,232,2140431.2964599608,0.006886769086122513,0.028871921822428703
610000,0.001,955.86,1.0,0.7463588714599609,2579,0.0,74,-19604.98939431,236,61409354.3859375,0.009952778927981853,0.045777834951877594
620000,0.001,935.66,1.0,0.7429695725440979,2581,0.0,75,-19402.690740870003,240,23636331.43095703,0.008436947129666805,0.0181730929762125
630000,0.001,926.03,1.0,0.7460217475891113,2584,-1.1920928955078125e-07,76,-20428.60833324,243,41610437.7171875,0.008275867439806461,0.02293994091451168
640000,0.001,947.84,1.0,0.7450535893440247,2575,-1.1920928955078125e-07,78,-21040.81784256,248,14095243.052539062,0.009301760233938694,0.028943147510290146
650000,0.001,940.41,1.0,0.7464283108711243,2578,-1.1920928955078125e-07,79,-18813.88651926,252,43007043.29804687,0.007156938314437866,0.03022126294672489
660000,0.001,946.58,1.0,0.7452552318572998,2580,0.0,80,-16935.41428094,255,5952935.5203125,0.009431709535419941,0.04188484326004982
670000,0.001,917.35,1.0,0.7460012435913086,2581,0.0,81,-19129.56157715,259,55311325.630664065,0.005133540835231543,0.024144195020198822
680000,0.001,910.77,1.0,0.7625679969787598,2572,5.960464477539063e-08,83,-18970.60449847,264,14036013.404833984,0.008291631005704403,0.03088958188891411
690000,0.001,893.68,1.0,0.7620543837547302,2574,-1.1920928955078125e-07,84,-16518.68696086,268,39404692.20839844,0.006078118924051523,0.025058383122086525
700000,0.001,882.44,1.0,0.7583119869232178,2576,5.960464477539063e-08,85,-6146.419920800003,271,28010276.102148436,0.006701028440147638,0.018717573955655098
710000,0.001,891.68,1.0,0.7607464790344238,2578,5.960464477539063e-08,86,-1461.6355147099996,275,13712760.879077148,0.009204286150634289,0.038731757551431656
720000,0.001,874.3,1.0,0.7649863362312317,2580,1.1920928955078125e-07,87,2214.57012405,278,37065869.89677735,0.006822375115007162,0.045393988490104675
730000,0.001,854.04,1.0,0.758460521697998,2573,0.0,89,10555.44707099,283,53820394.51660156,0.007707137614488602,0.030708059668540955
740000,0.001,850.47,1.0,0.7541829943656921,2574,0.0,90,11971.603775549998,287,4227080.53046875,0.008931107819080353,0.03814832866191864
750000,0.001,847.22,1.0,0.743731677532196,2576,0.0,91,19214.135864620002,291,48686293.83886719,0.0068646990694105625,0.024042300879955292
760000,0.001,830.9,1.0,0.7426461577415466,2578,0.0,92,22285.21545263,294,36761307.01694336,0.00774662010371685,0.02057303674519062
770000,0.001,811.08,1.0,0.7379451394081116,2579,0.0,93,22840.355869139996,298,29333341.066796876,0.008318300358951092,0.029588131234049797
780000,0.001,790.72,1.0,0.73324054479599,2571,0.0,95,27172.013225769995,303,48935079.96777344,0.008859976194798946,0.032961901277303696
790000,0.001,729.65,1.0,0.7267597317695618,2573,-1.1920928955078125e-07,96,29314.209543070003,307,38340287.55097656,0.008721417747437954,0.034431733191013336
800000,0.001,745.44,1.0,0.7238661646842957,2574,0.0,97,23757.566389279993,310,128167773.7875,0.009437651373445988,0.03495725244283676
810000,0.001,716.45,1.0,0.7274369597434998,2575,-1.1920928955078125e-07,98,31840.792411529997,314,25447506.007617187,0.00703298719599843,0.02601085603237152
820000,0.001,728.15,1.0,0.7336723208427429,2567,1.7881393432617188e-07,100,30219.31374237,319,25540859.82675781,0.006794026121497154,0.028447149321436882
830000,0.001,686.06,1.0,0.7323279976844788,2568,0.0,101,38496.08426458,323,93096943.803125,0.006192013155668974,0.028697367757558823
840000,0.001,648.42,1.0,0.7254323959350586,2570,0.0,102,42948.77673750001,326,58718898.650390625,0.008158755488693714,0.02580387517809868
850000,0.001,658.87,1.0,0.7305601239204407,2571,1.1920928955078125e-07,103,41847.11053735,330,128641978.5984375,0.007388358470052481,0.03258441388607025
860000,0.001,687.16,1.0,0.7348557114601135,2572,-1.1920928955078125e-07,104,41134.169797630006,334,25037892.739257812,0.008236539550125599,0.07892822474241257
870000,0.001,643.8,1.0,0.7381803393363953,2566,-1.1920928955078125e-07,106,46775.57118224,339,119796202.8375,0.006600763648748398,0.028414426371455193
880000,0.001,618.89,1.0,0.7389207482337952,2567,0.0,107,48042.63723711,342,72708015.93125,0.007652549538761377,0.033298131078481674
890000,0.001,593.28,1.0,0.7427232265472412,2569,-1.1920928955078125e-07,108,51367.845658599996,346,139279106.1203125,0.009194009937345982,0.01979740709066391
900000,0.001,576.98,1.0,0.7451515793800354,2570,0.0,109,52774.16310347001,350,137724806.52265626,0.009271301329135895,0.02996053360402584
910000,0.001,544.91,1.0,0.7406673431396484,2564,0.0,111,56833.602177869994,354,83118546.74765626,0.009935341775417328,0.029892439022660255
920000,0.001,523.59,1.0,0.7438092231750488,2565,0.0,112,57535.85297564999,358,126000615.0640625,0.00773773854598403,0.03017847239971161
930000,0.001,502.9,1.0,0.746307909488678,2566,1.1920928955078125e-07,113,54702.9602284,362,218935340.575,0.006898770574480295,0.02533116564154625
940000,0.001,516.32,1.0,0.743112325668335,2568,0.0,114,52255.99747531,366,106602680.2296875,0.008496592752635479,0.0312759093940258
950000,0.001,552.22,1.0,0.7448472380638123,2569,0.0,115,47301.597812089996,369,36778719.89023437,0.008927881717681885,0.05201449617743492
960000,0.001,560.89,1.0,0.7383389472961426,2563,0.0,117,48636.90219882,374,95245143.03046875,0.006754770874977112,0.02811962552368641
970000,0.001,563.9,1.0,0.7365885376930237,2564,0.0,118,52330.029338479995,378,117508216.56875,0.008334670215845108,0.02960108034312725
980000,0.001,559.62,1.0,0.7361887097358704,2565,0.0,119,58464.449890799995,382,197513247.3875,0.008936288766562939,0.035766974091529846
990000,0.001,576.3,1.0,0.7340336441993713,2566,1.1920928955078125e-07,120,63018.18128699999,385,18861403.59111328,0.00735536590218544,0.02752752974629402
1000000,0.001,488.57,1.0,0.740807831287384,2560,5.960464477539063e-08,122,80073.01369685,390,265275176.9375,0.00848737359046936,0.03443305566906929
