time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/is_line_search_success,train/std,time/fps,train/explained_variance,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,train/value_loss,train/kl_divergence_loss,train/policy_objective
10000,0.001,331.8076923076923,1.0,1.0066426992416382,2707,-1.5497207641601562e-06,1,-647103.5698818078,3,1413821088.5,0.005633510649204254,0.03959713503718376
20000,0.001,331.5344827586207,1.0,1.0090415477752686,2740,-1.1920928955078125e-07,2,-565044.6911236552,7,960186088.4,0.00653531588613987,0.037858981639146805
30000,0.001,341.6279069767442,1.0,1.0062116384506226,2755,0.0,3,-522753.20896476734,10,761457364.65,0.00650164857506752,0.03592434525489807
40000,0.001,333.78,1.0,1.001383900642395,2758,-1.1920928955078125e-07,4,-430811.40921391005,14,598804524.2,0.005988687742501497,0.03632059693336487
50000,0.001,322.98,1.0,0.9963181614875793,2609,0.0,6,-362651.18873927,19,533318356.225,0.004114564508199692,0.025605617091059685
60000,0.001,278.85,1.0,0.9867026209831238,2634,0.0,7,-289293.87907321,22,561828664.6,0.0070609524846076965,0.029548337683081627
70000,0.001,281.02,1.0,0.9805922508239746,2653,5.960464477539063e-08,8,-275316.39466097,26,503741694.6,0.005550816655158997,0.029328323900699615
80000,0.001,254.48,1.0,0.9822418093681335,2650,0.0,9,-238220.44070834,30,491429368.15,0.005405257921665907,0.027681466192007065
90000,0.001,292.41,1.0,0.9614556431770325,2659,0.0,10,-248047.37216374997,33,494121608.25,0.005875319242477417,0.032546453177928925
100000,0.001,294.29,1.0,0.9644975662231445,2551,0.0,12,-247644.10198640998,39,513543027.05,0.006758803967386484,0.03982996195554733
110000,0.001,315.0,1.0,0.9569873809814453,2568,0.0,13,-248710.40213927,42,343869606.3,0.005309147294610739,0.023817241191864014
120000,0.001,324.58,1.0,0.9461459517478943,2584,0.0,14,-246087.9215908,46,326017343.625,0.007123226765543222,0.03629429265856743
130000,0.001,346.54,1.0,0.9366411566734314,2598,0.0,15,-244784.55473824998,50,467712080.8,0.006768515333533287,0.03852607309818268
140000,0.001,340.21,1.0,0.9238459467887878,2558,0.0,17,-232658.83010537998,54,387699007.0625,0.008317258208990097,0.02941807731986046
150000,0.001,331.42,1.0,0.9200747013092041,2572,0.0,18,-218609.59871924,58,327610199.5,0.00651961425319314,0.03412194177508354
160000,0.001,369.12,1.0,0.9251329898834229,2583,0.0,19,-224656.78153607005,61,303787501.6375,0.006709763314574957,0.033094361424446106
170000,0.001,381.85,1.0,0.8978050351142883,2592,0.0,20,-219495.43954584998,65,269615489.75,0.007675069849938154,0.03751373291015625
180000,0.001,416.15,1.0,0.9024195075035095,2605,0.0,21,-222725.19055074002,69,228136194.7125,0.0076906271278858185,0.029323989525437355
190000,0.001,430.42,1.0,0.8778986930847168,2577,0.0,23,-211007.03895380002,73,204207880.2625,0.007461298257112503,0.026368973776698112
200000,0.001,435.91,1.0,0.869365930557251,2586,0.0,24,-188095.37446421,77,181119958.33125,0.00807296670973301,0.0361311212182045
210000,0.001,482.34,1.0,0.8618636727333069,2594,-1.1920928955078125e-07,25,-175672.04204564999,80,133943642.653125,0.007448319345712662,0.03189786523580551
220000,0.001,523.88,1.0,0.8590018153190613,2604,0.0,26,-161859.26261173998,84,77663341.040625,0.006720960605889559,0.02948334626853466
230000,0.001,577.27,1.0,0.8477013111114502,2580,0.0,28,-146159.05505444997,89,20180579.73300781,0.006726736668497324,0.011125357821583748
240000,0.001,628.24,1.0,0.8455418944358826,2587,0.0,29,-137460.54037293995,92,24963366.3984375,0.00871339626610279,0.050588540732860565
250000,0.001,650.2,1.0,0.835615336894989,2593,-1.1920928955078125e-07,30,-116264.92692559,96,40099413.04384766,0.006513036787509918,0.0242923516780138
260000,0.001,653.24,1.0,0.8306747078895569,2599,1.1920928955078125e-07,31,-100812.18043543,100,184993477.1609375,0.007881411351263523,0.03574933856725693
270000,0.001,710.88,1.0,0.8256363868713379,2604,0.0,32,-86798.41654166,103,27223589.61464844,0.007347768172621727,0.034696608781814575
280000,0.001,744.1,1.0,0.8234865069389343,2584,1.1920928955078125e-07,34,-78852.16910329,108,56050059.871875,0.006179825868457556,0.022033095359802246
290000,0.001,767.35,1.0,0.8153257369995117,2589,0.0,35,-71305.78651439,111,5125608.230273438,0.0067548989318311214,0.03228660300374031
300000,0.001,750.31,1.0,0.8021497130393982,2594,0.0,36,-65266.50750125,115,71131699.46269532,0.0073710097931325436,0.031267501413822174
310000,0.001,750.07,1.0,0.7946470379829407,2602,0.0,37,-58331.167104509994,119,1758446.7253417969,0.007423173636198044,0.033415429294109344
320000,0.001,759.8,1.0,0.7929480671882629,2584,-1.1920928955078125e-07,39,-54085.22348665,123,8564589.51015625,0.005083362106233835,0.026487063616514206
330000,0.001,807.77,1.0,0.7974767088890076,2587,0.0,40,-48432.41841476,127,18489813.4734375,0.007843178696930408,0.05161041021347046
340000,0.001,887.6,1.0,0.7941098213195801,2591,0.0,41,-43298.519435379996,131,6357015.753125,0.008764821104705334,0.03352990373969078
350000,0.001,923.75,1.0,0.7942952513694763,2594,-1.1920928955078125e-07,42,-38949.234703509996,134,8241018.745068359,0.008625210262835026,0.029310863465070724
360000,0.001,913.79,1.0,0.7925618290901184,2598,-1.1920928955078125e-07,43,-40777.335787289994,138,11614043.462695312,0.009260734543204308,0.031072450801730156
370000,0.001,939.72,1.0,0.7871932983398438,2583,0.0,45,-36919.588725350004,143,2910680.2033447265,0.006369676440954208,0.029600251466035843
380000,0.001,939.72,1.0,0.7866330742835999,2586,0.0,46,-35415.43472849,146,2374388.870996094,0.007000776473432779,0.04788684472441673
390000,0.001,960.55,1.0,0.7913000583648682,2591,0.0,47,-31118.385303339994,150,6219902.221435547,0.008414429612457752,0.026327824220061302
400000,0.001,976.57,1.0,0.792596161365509,2594,0.0,48,-29066.73328512,154,2806656.89284668,0.007888196967542171,0.038204580545425415
410000,0.001,956.3,1.0,0.7814287543296814,2580,0.0,50,-25877.7602546,158,49897148.55351563,0.009787888266146183,0.021732546389102936
420000,0.001,934.63,1.0,0.7759954333305359,2584,0.0,51,-20702.006492959998,162,12643170.716870118,0.00888882577419281,0.025058850646018982
430000,0.001,934.75,1.0,0.7776719927787781,2587,5.960464477539063e-08,52,-18830.977664460006,166,22704603.460742187,0.008247957564890385,0.028284328058362007
440000,0.001,930.01,1.0,0.77916020154953,2589,0.0,53,-18500.89477833,169,4452100.882421875,0.0061126588843762875,0.02783864364027977
450000,0.001,923.24,1.0,0.7819162011146545,2592,5.960464477539063e-08,54,-13265.17618403,173,23836111.8453125,0.008441229350864887,0.024939794093370438
460000,0.001,909.68,1.0,0.7685196399688721,2580,-1.1920928955078125e-07,56,-9610.79144697,178,23299800.80214844,0.007383990567177534,0.021297069266438484
470000,0.001,902.95,1.0,0.7653123736381531,2582,-1.1920928955078125e-07,57,-10101.69114687,182,26819105.354394533,0.006551279220730066,0.0065039475448429585
480000,0.001,879.84,1.0,0.7648507952690125,2585,0.0,58,-13544.50292106,185,5243341.232421875,0.009773805737495422,0.04121693968772888
