time/total_timesteps,train/n_updates,train/critic_loss,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,train/actor_loss,time/fps,train/learning_rate,time/episodes,rollout/ep_rew_mean,train/ent_coef
460000,114974,27664942.0,2667,24.584747314453125,6.06,-50592.7578125,172,0.0055,69551,72689.41068552001,140.81927490234375
470000,117474,37037692.0,2735,-6.10015869140625,6.0,-59528.9140625,171,0.0055,71208,73309.1,53.99942398071289
480000,119974,10179274.0,2801,6.4053544998168945,6.0,-63376.44921875,171,0.0055,72863,73303.7,45.09945297241211
490000,122474,108942960.0,2859,-63.95635223388672,9.49,-72475.703125,171,0.0055,74448,-162057.72965265,267.8951721191406
500000,124974,74141664.0,2917,3.668468475341797,6.02,-61607.6640625,171,0.0055,76035,72991.2,51.13616943359375
510000,127474,12417560.0,2976,-8.648826599121094,6.3,-57442.0078125,171,0.0055,77692,70063.8,39.135841369628906
520000,129974,13246764.0,3034,3.0782105922698975,6.07,-63279.7265625,171,0.0055,79332,72599.1,43.23991012573242
530000,132474,270958848.0,3094,16.083162307739258,8.36,-40969.43359375,171,0.0055,80708,-243391.19049095002,1360.7447509765625
540000,134974,110397440.0,3152,70.04849243164062,6.29,-36215.1640625,171,0.0055,82111,67843.29955572,669.1240844726562
550000,137474,39889920.0,3213,1.583556890487671,6.0,-53345.0234375,171,0.0055,83561,73198.27926685,124.77877044677734
560000,139974,55748972.0,3276,-19.084938049316406,6.79,-36090.296875,170,0.0055,85199,49045.046694510005,234.65773010253906
570000,142474,28309228.0,3339,12.221628189086914,8.81,-54648.32421875,170,0.0055,86791,19683.51901457,167.6910400390625
580000,144974,708189568.0,3402,11.005495071411133,12.03,-3944.85302734375,170,0.0055,88019,-68986.10619699,805.9024658203125
590000,147474,121444384.0,3461,-11.563606262207031,6.9,-26644.578125,170,0.0055,89481,43126.26855814001,566.9177856445312
600000,149974,185882400.0,3523,9.634506225585938,7.1,-10204.6826171875,170,0.0055,90920,51832.91776348001,920.1057739257812
