time/fps,train/std,train/entropy_loss,train/value_loss,train/explained_variance,rollout/ep_len_mean,train/policy_loss,train/learning_rate,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates
1093,1.3203538656234741,-20.303607940673828,5157304832.0,0.0,29.9,-1128041.375,0.0007,360000,329,-125129.75500861001,17999
1099,1.3219150304794312,-20.30531120300293,967460736.0,0.0,22.57,-207262.890625,0.0007,370000,336,-94557.52464208,18499
1104,1.3284707069396973,-20.363832473754883,969564864.0,0.0,28.67,-199723.34375,0.0007,380000,343,-117722.54294818001,18999
1109,1.334272861480713,-20.408796310424805,20341660.0,1.1920928955078125e-07,22.27,-36289.5390625,0.0007,390000,351,-114124.39094196001,19499
1114,1.339877724647522,-20.452152252197266,4853515264.0,0.0,19.91,-972099.0,0.0007,400000,358,-111773.10713722002,19999
1119,1.355846881866455,-20.595165252685547,2686794752.0,0.0,22.16,-660653.0,0.0007,410000,366,-106927.06942598002,20499
1123,1.3610378503799438,-20.64311408996582,72212464.0,0.0,31.16,-101207.6875,0.0007,420000,373,-131936.99272841,20999
1127,1.366538405418396,-20.679014205932617,4018216448.0,1.1920928955078125e-07,23.66,-823540.125,0.0007,430000,381,-112218.68561045,21499
1131,1.371953010559082,-20.7340145111084,26215396.0,0.0,22.72,-24028.103515625,0.0007,440000,388,-97043.49505277,21999
1136,1.3852776288986206,-20.85918617248535,2452074496.0,5.960464477539063e-08,23.74,-640222.625,0.0007,450000,396,-116000.27920114998,22499
1140,1.391452431678772,-20.902647018432617,1458925824.0,0.0,25.4,-305258.0625,0.0007,460000,403,-129304.26973437,22999
1145,1.4056010246276855,-21.029191970825195,131221392.0,-1.1920928955078125e-07,25.72,-125660.671875,0.0007,470000,410,-128330.19905532,23499
1148,1.427575707435608,-21.203083038330078,40726676.0,0.0,30.47,-37297.25,0.0007,480000,417,-112897.50199697999,23999
1153,1.4319515228271484,-21.23809242248535,1512829184.0,0.0,21.24,-448981.65625,0.0007,490000,424,-108989.54999084,24499
1156,1.4468032121658325,-21.353992462158203,19063022.0,0.0,24.34,-12641.396484375,0.0007,500000,432,-108535.07045662001,24999
1160,1.459357738494873,-21.444568634033203,1922145280.0,5.960464477539063e-08,20.81,-408543.84375,0.0007,510000,439,-102626.43050305,25499
1164,1.46650230884552,-21.506656646728516,1474892800.0,0.0,17.65,-319739.875,0.0007,520000,446,-103610.43694348,25999
1168,1.4764927625656128,-21.580015182495117,4895353344.0,0.0,22.08,-942505.8125,0.0007,530000,453,-122582.14548122,26499
1171,1.488600254058838,-21.69452476501465,8131888.0,0.0,34.83,42757.5234375,0.0007,540000,460,-147534.56625630998,26999
1175,1.498862862586975,-21.77374267578125,2348781056.0,0.0,28.58,-622098.8125,0.0007,550000,467,-114523.63227939,27499
1178,1.5123357772827148,-21.882139205932617,110410008.0,0.0,30.27,-156706.53125,0.0007,560000,475,-126869.74160769001,27999
1182,1.545672059059143,-22.132753372192383,19463428.0,0.0,33.92,-7528.77197265625,0.0007,570000,482,-134111.30435327004,28499
1185,1.5623713731765747,-22.26376724243164,2158355712.0,0.0,24.3,-483196.90625,0.0007,580000,489,-121213.98901720998,28999
1188,1.5590382814407349,-22.2265625,3740201472.0,-1.1920928955078125e-07,15.56,-856326.625,0.0007,590000,496,-96177.88408983,29499
1192,1.576741337776184,-22.3516845703125,2355860736.0,-1.1920928955078125e-07,24.96,-558991.875,0.0007,600000,503,-106272.73784799002,29999
1196,1.5826066732406616,-22.38945198059082,262865824.0,1.1920928955078125e-07,25.08,-249764.84375,0.0007,610000,510,-105894.41080213,30499
1199,1.5888314247131348,-22.426349639892578,2370498304.0,-1.1920928955078125e-07,32.21,-556862.9375,0.0007,620000,517,-125091.26048076001,30999
1201,1.600818157196045,-22.519838333129883,2255498240.0,-2.384185791015625e-07,41.19,-413752.5625,0.0007,630000,524,-104169.52543087996,31499
1204,1.624282956123352,-22.69601058959961,1885057664.0,-1.1920928955078125e-07,25.0,-376827.15625,0.0007,640000,531,-112784.07653914,31999
1206,1.6279807090759277,-22.728418350219727,123834392.0,0.0,44.63,-119597.328125,0.0007,650000,538,-112011.24139745002,32499
1208,1.6470080614089966,-22.851499557495117,990150784.0,0.0,27.72,-159604.703125,0.0007,660000,545,-101021.36402400998,32999
1210,1.656342625617981,-22.90782356262207,4559874560.0,1.1920928955078125e-07,27.01,-989545.8125,0.0007,670000,553,-85257.00278511,33499
1212,1.659965991973877,-22.957311630249023,992222400.0,-1.1920928955078125e-07,22.63,-291316.59375,0.0007,680000,560,-110623.51844923999,33999
1214,1.6571660041809082,-22.94775390625,40348312.0,0.0,20.2,-101173.328125,0.0007,690000,568,-96600.08778850001,34499
1216,1.6661847829818726,-23.003816604614258,592630912.0,-2.384185791015625e-07,23.33,-258198.578125,0.0007,700000,575,-100298.02976276999,34999
1217,1.6908559799194336,-23.176294326782227,2386060288.0,0.0,20.52,-545527.1875,0.0007,710000,582,-94390.13176361001,35499
1219,1.695851445198059,-23.205785751342773,2353593344.0,-1.1920928955078125e-07,32.06,-507470.9375,0.0007,720000,590,-111481.96167274998,35999
1221,1.69368314743042,-23.186355590820312,346805440.0,-1.1920928955078125e-07,28.16,-162403.40625,0.0007,730000,597,-106224.6378172,36499
1223,1.700080394744873,-23.221172332763672,27811008.0,0.0,28.51,-14734.4609375,0.0007,740000,605,-111394.31124242001,36999
1224,1.7097821235656738,-23.30072593688965,976633152.0,-1.1920928955078125e-07,18.74,-235951.296875,0.0007,750000,612,-94139.93792291,37499
1225,1.7172163724899292,-23.364437103271484,2326675200.0,0.0,26.51,-659203.125,0.0007,760000,620,-109308.52053034001,37999
1226,1.7295441627502441,-23.432003021240234,1916884608.0,0.0,19.47,-342632.75,0.0007,770000,627,-93510.30763509,38499
1228,1.7495530843734741,-23.573530197143555,8776001.0,0.0,18.44,35225.734375,0.0007,780000,634,-104866.31994305998,38999
1229,1.7690380811691284,-23.688247680664062,133758232.0,0.0,19.4,-42186.4609375,0.0007,790000,642,-101476.19660685997,39499
1230,1.7746740579605103,-23.739521026611328,1467324672.0,-1.1920928955078125e-07,25.76,-425967.3125,0.0007,800000,649,-108631.48959025998,39999
1232,1.7887554168701172,-23.838836669921875,6331960.5,0.0,39.29,38724.77734375,0.0007,810000,657,-94867.99332534001,40499
1233,1.7799619436264038,-23.790971755981445,3732986368.0,1.1920928955078125e-07,20.72,-898960.1875,0.0007,820000,664,-105836.75956087999,40999
1234,1.79570734500885,-23.902631759643555,1386421248.0,0.0,23.99,-363832.75,0.0007,830000,672,-115563.67669617,41499
1236,1.8002405166625977,-23.941667556762695,22232810.0,1.1920928955078125e-07,18.54,-21981.521484375,0.0007,840000,679,-107146.59345320001,41999
1237,1.8216228485107422,-24.069597244262695,6593734.0,0.0,27.2,-2226.666748046875,0.0007,850000,686,-103470.99750113001,42499
1239,1.8188467025756836,-24.042585372924805,9066518.0,-1.1920928955078125e-07,27.24,-26654.34765625,0.0007,860000,694,-104144.56981557001,42999
1240,1.8311518430709839,-24.13287925720215,18911380.0,0.0,16.62,-6835.56787109375,0.0007,870000,701,-102981.51681333002,43499
1242,1.849439263343811,-24.255002975463867,7078781952.0,0.0,23.24,-809243.125,0.0007,880000,708,-137921.56000886002,43999
1244,1.8733296394348145,-24.417247772216797,2348265984.0,-1.1920928955078125e-07,18.81,-545312.5,0.0007,890000,715,-102570.58042852,44499
1246,1.8666424751281738,-24.380874633789062,129620120.0,5.960464477539063e-08,28.22,-71285.0,0.0007,900000,722,-98852.87760116998,44999
1247,1.8805629014968872,-24.4604549407959,8555013.0,-1.1920928955078125e-07,28.78,5557.60693359375,0.0007,910000,729,-83287.84661324,45499
1249,1.877928614616394,-24.4322509765625,1779365632.0,0.0,32.11,-450835.8125,0.0007,920000,736,-124762.93565565998,45999
1251,1.882481575012207,-24.467395782470703,2369431552.0,1.1920928955078125e-07,31.53,-551427.9375,0.0007,930000,743,-118148.16085895002,46499
1253,1.8857855796813965,-24.477811813354492,1886328192.0,0.0,29.85,-447300.3125,0.0007,940000,749,-105328.81089902,46999
1255,1.9162098169326782,-24.691545486450195,1580748672.0,0.0,45.82,-530786.6875,0.0007,950000,756,-153322.96817228,47499
1257,1.917941927909851,-24.688968658447266,163207392.0,1.1920928955078125e-07,27.71,-109674.7890625,0.0007,960000,763,-109809.67144331001,47999
1259,1.938111424446106,-24.802579879760742,68445400.0,0.0,35.75,-117330.8984375,0.0007,970000,770,-131076.99746072,48499
1261,1.9704567193984985,-24.987565994262695,271650048.0,0.0,42.26,-228348.90625,0.0007,980000,777,-97845.04257839,48999
1262,1.9690651893615723,-24.970733642578125,971084096.0,0.0,22.73,-194543.59375,0.0007,990000,783,-110553.77701478997,49499
1264,1.9774850606918335,-25.019243240356445,3375668.75,-1.1920928955078125e-07,34.86,27583.59375,0.0007,1000000,790,-132996.44662778,49999
