time/fps,train/std,train/entropy_loss,train/value_loss,train/explained_variance,rollout/ep_len_mean,train/policy_loss,train/learning_rate,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates
506,1.0135581493377686,-17.186870574951172,520095072.0,0.0,36.21,-127045.953125,0.0007,10000,19,-219857.02523729004,499
504,1.0157784223556519,-17.207759857177734,248282912.0,0.0,28.16,-130916.1015625,0.0007,20000,39,-161905.99482876997,999
503,1.0277353525161743,-17.350675582885742,1579817984.0,-1.1920928955078125e-07,27.36,-366791.59375,0.0007,30000,59,-170593.50174115004,1499
500,1.0339714288711548,-17.41669273376465,29845948.0,0.0,27.66,4846.046875,0.0007,40000,79,-166600.40820405,1999
498,1.0444012880325317,-17.541706085205078,95204624.0,0.0,27.46,-87810.3984375,0.0007,50000,100,-135567.44059674998,2499
535,1.049999713897705,-17.608182907104492,15445699.0,-1.1920928955078125e-07,28.12,-4001.98681640625,0.0007,60000,112,-123425.64677206999,2999
587,1.052321195602417,-17.630979537963867,69784432.0,0.0,25.74,-31687.693359375,0.0007,70000,119,-122758.92877623,3499
632,1.0641189813613892,-17.760210037231445,1567582976.0,-1.1920928955078125e-07,25.4,-348298.84375,0.0007,80000,126,-139253.66524444,3999
673,1.0672729015350342,-17.801454544067383,1113239808.0,-1.1920928955078125e-07,23.17,-315732.75,0.0007,90000,133,-118057.35172736,4499
709,1.0723626613616943,-17.85782241821289,1491200384.0,0.0,24.62,-319990.8125,0.0007,100000,141,-134555.79396190998,4999
743,1.0838452577590942,-17.99012565612793,598473088.0,0.0,30.42,-220157.171875,0.0007,110000,148,-142688.30971583,5499
773,1.093570590019226,-18.088287353515625,142118368.0,1.7881393432617188e-07,23.29,-167905.46875,0.0007,120000,155,-119966.49464075,5999
801,1.1070462465286255,-18.231603622436523,530923680.0,0.0,25.5,-60148.5234375,0.0007,130000,162,-120615.51793304,6499
825,1.1069194078445435,-18.23341178894043,992461632.0,0.0,28.7,-191637.453125,0.0007,140000,169,-120482.81429096998,6999
848,1.1091296672821045,-18.253055572509766,3496155648.0,0.0,34.73,228826.5,0.0007,150000,176,-126964.40315325999,7499
869,1.116064429283142,-18.325042724609375,573310976.0,1.1920928955078125e-07,24.93,-182850.15625,0.0007,160000,184,-120176.21551118999,7999
886,1.1296182870864868,-18.47407341003418,1123177216.0,-1.1920928955078125e-07,33.94,-279785.46875,0.0007,170000,191,-162552.88578431003,8499
905,1.1409938335418701,-18.591827392578125,25409834.0,1.1920928955078125e-07,20.99,-47825.95703125,0.0007,180000,198,-131194.15304972001,8999
923,1.151253342628479,-18.6871280670166,283344320.0,1.7881393432617188e-07,23.63,-243206.5,0.0007,190000,205,-126074.39878300001,9499
939,1.1586970090866089,-18.761629104614258,178673744.0,1.1920928955078125e-07,23.59,-138764.59375,0.0007,200000,212,-115007.30026030999,9999
954,1.170735239982605,-18.89236831665039,3884457216.0,1.1920928955078125e-07,24.07,-804532.625,0.0007,210000,219,-114446.29958759001,10499
968,1.1702427864074707,-18.884550094604492,1633806592.0,1.7881393432617188e-07,24.67,-348465.0,0.0007,220000,227,-141524.48395942998,10999
982,1.1780893802642822,-18.968141555786133,2578382080.0,0.0,30.49,-525523.6875,0.0007,230000,234,-152489.62590256002,11499
993,1.1920404434204102,-19.102685928344727,1864290048.0,0.0,28.79,-326982.875,0.0007,240000,241,-141854.90247282002,11999
1005,1.2088738679885864,-19.274564743041992,2408541696.0,0.0,23.05,-559943.125,0.0007,250000,248,-120462.31091310998,12499
1015,1.2115041017532349,-19.294706344604492,524313760.0,0.0,25.32,-113317.9375,0.0007,260000,256,-125769.06770824,12999
1024,1.219918131828308,-19.380231857299805,292966336.0,0.0,26.71,-250345.75,0.0007,270000,263,-131230.06500759,13499
1033,1.2349915504455566,-19.512025833129883,1413248384.0,1.1920928955078125e-07,21.37,-268182.4375,0.0007,280000,270,-111183.36959634999,13999
1041,1.2508130073547363,-19.663251876831055,2404862464.0,0.0,30.1,-529008.75,0.0007,290000,278,-142570.39685149002,14499
1051,1.259385585784912,-19.739362716674805,60174944.0,0.0,31.17,-66529.125,0.0007,300000,285,-175888.80819661997,14999
1060,1.2785159349441528,-19.92076301574707,68318912.0,0.0,35.94,-94154.3359375,0.0007,310000,292,-156716.94155324998,15499
1068,1.273513674736023,-19.870519638061523,502124704.0,0.0,35.53,-39990.43359375,0.0007,320000,299,-158159.83153909002,15999
1075,1.288104772567749,-20.01495933532715,1255366528.0,0.0,28.53,-345634.59375,0.0007,330000,306,-160386.28114943,16499
1081,1.3028980493545532,-20.148441314697266,108322280.0,0.0,37.72,-78223.421875,0.0007,340000,314,-175932.90683297,16999
1087,1.3179113864898682,-20.287195205688477,2897340416.0,-2.384185791015625e-07,28.34,-613612.6875,0.0007,350000,321,-100881.16243809,17499
