time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/delta_std,train/iterations,train/learning_rate,rollout/return_std,train/step_size
177,300000,292.2857142857143,1687,-14591595.189328428,,,,,
183,310000,459.90909090909093,1687,-23036903.673037183,,,,,
189,320000,504.7142857142857,1687,-25296344.893731926,,,,,
195,330000,404.0,1686,-20226946.1856352,0.05,7,0.0018,25773734.0,8.729817216335256e-12
201,340000,574.2857142857143,1686,-28795220.89964543,,,,,
207,350000,702.0,1686,-35238801.382233806,,,,,
213,360000,,1686,,0.05,8,0.0018,25594744.0,8.790867339625308e-12
219,370000,603.8,1686,-30255511.872989,,,,,
225,380000,717.0,1686,-35948676.69176871,,,,,
231,390000,730.0,1686,-36606236.03799627,,,,,
237,400000,771.5384615384615,1686,-38695386.37475015,,,,,
243,410000,,1686,,0.05,9,0.0018,20098680.0,1.1194764733268858e-11
249,420000,671.0,1686,-33548388.533156663,,,,,
255,430000,575.2857142857143,1686,-28821740.985463716,,,,,
260,440000,542.9230769230769,1686,-27193853.611679845,,,,,
266,450000,,1685,,0.05,10,0.0018,25580494.0,8.795763596636252e-12
272,460000,1000.0,1685,-49985915.106294,,,,,
278,470000,1000.0,1685,-50088072.0121936,,,,,
284,480000,889.6666666666666,1685,-44576871.72625445,,,,,
290,490000,771.4615384615385,1685,-38641153.895395234,,,,,
296,500000,505.0,1685,-25321550.861828998,0.05,11,0.0018,22307616.0,1.0086240870288421e-11
302,510000,603.8,1685,-30279045.832365,,,,,
308,520000,603.7,1685,-30256639.556028098,,,,,
314,530000,669.75,1685,-33576773.593310244,,,,,
320,540000,735.8,1685,-36896712.2967468,,,,,
326,550000,207.8,1685,-10286054.7263662,0.05,12,0.0018,22280064.0,1.0098713532080694e-11
332,560000,504.875,1685,-25236807.157960754,,,,,
338,570000,549.4545454545455,1684,-27509830.43066164,,,,,
344,580000,1000.0,1684,-50357432.693531,0.05,13,0.0018,25801020.0,8.720585885357846e-12
350,590000,1000.0,1684,-50295470.975129,,,,,
356,600000,465.0769230769231,1684,-23292809.74194269,,,,,
362,610000,505.5,1684,-25221789.4796945,0.05,14,0.0018,25615336.0,8.783800076184178e-12
367,620000,669.6666666666666,1685,-33550868.02893817,,,,,
373,630000,669.1111111111111,1685,-33549947.857376114,,,,,
379,640000,694.6153846153846,1685,-34798606.47771454,,,,,
385,650000,,1685,,0.05,15,0.0018,23914376.0,9.408566807589391e-12
391,660000,751.0,1685,-37677430.089054495,,,,,
397,670000,628.125,1685,-31499369.793488245,,,,,
403,680000,619.0,1685,-31023465.123981155,,,,,
409,690000,4.333333333333333,1685,-170959.511909,0.05,16,0.0018,24958670.0,9.01490340710076e-12
415,700000,378.875,1685,-18950661.017105374,,,,,
421,710000,503.1,1685,-25175093.2585419,,,,,
427,720000,503.5,1685,-25212485.6053055,0.05,17,0.0018,25555518.0,8.804360018821455e-12
433,730000,504.3333333333333,1685,-25242696.020023003,,,,,
439,740000,466.3076923076923,1685,-23337279.181158382,,,,,
444,750000,537.4666666666667,1685,-26902243.48313393,,,,,
450,760000,337.6666666666667,1685,-16833691.65141033,0.05,18,0.0018,25545656.0,8.80776007683437e-12
456,770000,574.8571428571429,1685,-28780259.18160357,,,,,
462,780000,603.1,1685,-30204121.0149862,,,,,
468,790000,5.0,1685,-175962.637358,0.05,19,0.0018,25530430.0,8.813012819519628e-12
474,800000,503.25,1685,-25218746.25465975,,,,,
480,810000,627.5,1685,-31457277.442816626,,,,,
486,820000,702.0,1685,-35217568.6014142,,,,,
492,830000,669.8,1685,-33545018.62592467,,,,,
498,840000,1000.0,1685,-50060574.239064,0.05,20,0.0018,23873344.0,9.424737899832447e-12
504,850000,801.6,1685,-40142027.2188292,,,,,
510,860000,603.3,1685,-30190538.553558,,,,,
516,870000,646.0,1685,-32345915.730726928,,,,,
522,880000,,1685,,0.05,21,0.0018,23880272.0,9.42200310827257e-12
528,890000,753.5,1685,-37830883.598555,,,,,
534,900000,628.0,1685,-31510659.801645998,,,,,
539,910000,729.4545454545455,1685,-36586685.42484564,,,,,
545,920000,716.3571428571429,1685,-35948168.23281465,,,,,
551,930000,1000.0,1685,-50046266.266373,0.05,22,0.0018,22337274.0,1.0072849672415618e-11
557,940000,603.0,1685,-30196713.686258208,,,,,
563,950000,669.2222222222222,1685,-33546556.88067478,,,,,
569,960000,669.25,1685,-33523699.06654592,,,,,
575,970000,,1686,,0.05,23,0.0018,23881304.0,9.421596315617453e-12
580,980000,508.25,1686,-25380745.568893503,,,,,
586,990000,630.5,1687,-31590052.748852875,,,,,
592,1000000,704.4,1687,-35308480.2199118,,,,,
598,1010000,717.9285714285714,1688,-35999986.9661705,,,,,
