time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/iterations,train/delta_std,rollout/return_std,train/step_size,train/learning_rate
10000,-40164667.930358,4,2230,1000.0,,,,,
20000,-26881739.923972666,8,2358,670.1666666666666,,,,,
30000,-25621576.46146809,12,2400,639.7272727272727,,,,,
40000,-24149456.415000066,16,2433,603.3333333333334,,,,,
50000,-26894963.064633336,20,2454,670.6666666666666,0,0.05,19940098.0,1.2537551552505022e-10,0.02
60000,-32213019.2189322,24,2471,802.4,,,,,
70000,-23647803.30035308,28,2484,590.9166666666666,,,,,
80000,-26017088.325201567,32,2468,649.3571428571429,,,,,
90000,-26796692.59943,36,2445,668.3333333333334,1,0.05,19853838.0,1.2592023257429474e-10,0.02
100000,-32118657.755179197,40,2450,801.0,,,,,
110000,-28096292.478142597,44,2452,701.5,,,,,
120000,-25830514.04576821,48,2458,645.1428571428571,,,,,
130000,-20124738.092353,52,2465,503.0,2,0.05,19123044.0,1.3073231386329098e-10,0.02
140000,-30147798.827931,56,2471,751.5,,,,,
150000,-20145997.992160335,60,2478,504.1666666666667,,,,,
160000,-22997087.532713216,64,2482,575.0,,,,,
170000,-20206156.422638003,68,2483,504.5,3,0.05,19954566.0,1.2528460213712123e-10,0.02
180000,-24197607.1664552,72,2485,602.8,,,,,
190000,-24191715.0860471,76,2487,603.0,,,,,
200000,-26859462.355295002,80,2491,669.1666666666666,,,,,
210000,-29516947.456755605,84,2493,735.3333333333334,,,,,
220000,-39999208.898301,88,2495,1000.0,4,0.05,17892962.0,1.3971973578108532e-10,0.02
230000,-40102265.5132435,92,2488,1000.0,,,,,
240000,-26817614.295040444,96,2490,668.2222222222222,,,,,
250000,-24179959.939730667,100,2493,603.4,,,,,
260000,-10206694.9994955,104,2494,259.0,5,0.05,19981348.0,1.2511668090464667e-10,0.02
270000,-17977150.46475689,108,2495,450.55555555555554,,,,,
280000,-20160520.59750925,112,2497,505.0833333333333,,,,,
290000,-24153923.877158202,115,2500,604.0666666666667,,,,,
300000,-40209524.548387,119,2502,1000.0,6,0.05,19933188.0,1.2541896687867649e-10,0.02
310000,-23050375.445331715,123,2503,576.7142857142857,,,,,
320000,-26839029.164579667,127,2504,670.7777777777778,,,,,
330000,-25869002.236320924,131,2505,646.0,,,,,
340000,,135,2505,,7,0.05,19089512.0,1.309619634959347e-10,0.02
350000,-20156375.138296667,139,2507,504.6666666666667,,,,,
360000,-22386896.38018489,143,2509,559.8888888888889,,,,,
370000,-26804698.294765253,147,2511,669.9166666666666,,,,,
380000,-26808904.60802734,151,2512,669.6,,,,,
390000,-40148473.100057,155,2513,1000.0,8,0.05,19091298.0,1.309497094093004e-10,0.02
400000,-26807892.95462783,159,2514,669.3333333333334,,,,,
410000,-28124118.6116468,162,2515,702.4,,,,,
420000,-25836817.380647928,166,2516,645.5,,,,,
430000,-40254740.0,170,2518,1000.0,9,0.05,19107038.0,1.3084183736467025e-10,0.02
440000,-40189406.895389,174,2520,1000.0,,,,,
450000,-28718172.994760286,178,2521,716.2857142857143,,,,,
460000,-26800434.89290717,182,2522,668.8333333333334,,,,,
470000,-26783646.621139336,186,2522,668.8,,,,,
480000,-7382878.061693636,190,2523,186.0909090909091,10,0.05,19125906.0,1.3071276006026977e-10,0.02
490000,-10786573.686029665,194,2523,270.46666666666664,,,,,
500000,-40190777.112573996,198,2524,1000.0,11,0.05,19119850.0,1.3075415750130048e-10,0.02
510000,-32203494.2081136,201,2525,801.8,,,,,
520000,-28179125.6784046,205,2526,701.9,,,,,
530000,-27867536.12734777,209,2526,694.0769230769231,,,,,
540000,-128646.782199,213,2524,4.0,12,0.05,17881790.0,1.3980702706639647e-10,0.02
550000,-16143307.925789401,217,2525,402.2,,,,,
560000,-15550871.348688541,221,2526,388.2307692307692,,,,,
570000,,225,2526,,13,0.05,20466674.0,1.2214979028257744e-10,0.02
580000,-30130335.2948575,229,2528,751.25,,,,,
590000,-33459863.588217836,233,2529,834.1666666666666,,,,,
600000,-32161534.0159974,237,2530,801.9,,,,,
610000,-33502560.401323333,240,2531,834.9166666666666,,,,,
620000,-138583.720881,244,2532,5.0,14,0.05,16089848.0,1.5537746089755444e-10,0.02
630000,-16130272.381569201,248,2534,402.6,,,,,
640000,-13482993.025892798,252,2535,336.26666666666665,,,,,
650000,-13435465.026457667,256,2536,336.0,15,0.05,20022760.0,1.2485790179539435e-10,0.02
660000,-17913816.32338266,260,2537,446.77777777777777,,,,,
