time/episodes,train/learning_rate,rollout/ep_len_mean,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/ent_coef,train/ent_coef_loss,train/n_updates,train/actor_loss
12367,0.0003,71.79,27605.0390625,4762,-953917.55112552,174,830000,184.9031982421875,-0.26963692903518677,207474,1690646.875
12517,0.0003,77.51,16060.794921875,4819,-836301.5383978601,174,840000,184.41036987304688,-0.6775771975517273,209974,1666684.5
12595,0.0003,123.06,18749.224609375,4876,-1169374.24670443,174,850000,187.18887329101562,3.2494826316833496,212474,1603355.25
12676,0.0003,129.09,21284.646484375,4933,-1101325.25726919,174,860000,179.91033935546875,-3.031583786010742,214974,1601553.625
12840,0.0003,54.95,20284.06640625,4991,-420128.93435004994,174,870000,187.74838256835938,0.12038981914520264,217474,1570751.0
13129,0.0003,33.62,18773.837890625,5047,-323123.04914544994,174,880000,186.56546020507812,-3.7458767890930176,219974,1563490.625
13487,0.0003,23.12,15577.556640625,5105,-251459.93283121,174,890000,192.0537567138672,3.0091352462768555,222474,1507365.125
13928,0.0003,18.51,14924.1845703125,5162,-217718.87350135998,174,900000,197.43763732910156,-4.12346076965332,224974,1484015.0
14373,0.0003,20.42,22931.484375,5219,-239175.00789600998,174,910000,195.59454345703125,3.081636905670166,227474,1473403.0
14857,0.0003,22.44,20240.84765625,5276,-246609.64430223004,174,920000,193.57398986816406,1.057182788848877,229974,1432868.375
15143,0.0003,50.08,11497.658203125,5334,-469115.18226189003,174,930000,189.6520538330078,2.554370403289795,232474,1395655.75
15382,0.0003,41.07,31005.5859375,5390,-386831.37143128,174,940000,189.58514404296875,-0.027228593826293945,234974,1358024.625
15548,0.0003,50.59,21837.8671875,5448,-431526.76191700005,174,950000,186.57347106933594,2.9600725173950195,237474,1356447.125
15712,0.0003,53.33,17508.443359375,5505,-458643.0918631401,174,960000,188.50001525878906,0.3085663616657257,239974,1316114.875
15886,0.0003,47.23,14196.9775390625,5561,-414573.39314517,174,970000,183.33055114746094,0.47658151388168335,242474,1332173.375
16013,0.0003,68.2,25599.833984375,5619,-548832.52981453,174,980000,182.39486694335938,0.014998674392700195,244974,1279070.75
16125,0.0003,85.38,17741.283203125,5675,-603191.82302546,174,990000,183.23887634277344,-3.0834784507751465,247474,1278547.5
16215,0.0003,116.3,15619.3564453125,5733,-789165.5914628699,174,1000000,183.9982452392578,4.513617515563965,249974,1271461.0
