time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/delta_std,train/iterations,train/learning_rate,rollout/return_std
1743,-24957340.2529365,880000,502.5,504,9.495114763891088e-12,0.05,17,0.0018,23696396.0
1743,-28567534.575246144,890000,575.0,510,,,,,
1743,-27319265.25471791,900000,550.5454545454545,516,,,,,
1743,-32138076.634071432,910000,646.8571428571429,521,,,,,
1743,,920000,,527,9.457546724933596e-12,0.05,18,0.0018,23790524.0
1743,-18883692.921841875,930000,387.125,533,,,,,
1743,-25114979.5976053,940000,509.7,539,,,,,
1743,-28615101.25932271,950000,578.8571428571429,544,,,,,
1743,,960000,,550,9.10469703102601e-12,0.05,19,0.0018,24712520.0
1743,-30102466.4449004,970000,606.2,556,,,,,
1743,-35715652.25016071,980000,718.7142857142857,562,,,,,
1743,-39886804.8973304,990000,803.1,567,,,,,
1743,-41559947.113406666,1000000,835.9166666666666,573,,,,,
