time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/policy_objective,train/kl_divergence_loss,train/std,train/is_line_search_success,train/learning_rate,train/explained_variance,time/time_elapsed,train/value_loss,train/n_updates
1439,-356996.99659152003,10000,84.53,0.06594041734933853,0.005044690798968077,1.0007779598236084,1.0,0.0013,3.874301910400391e-06,6,4915959718.4,1
1453,-304431.14865188,20000,79.56,0.05308818072080612,0.003673556260764599,1.0038872957229614,1.0,0.0013,-1.1920928955078125e-07,13,4666866338.8,2
1485,-311554.19913865,30000,89.52,0.04870286211371422,0.0043990411795675755,1.0036344528198242,1.0,0.0013,-1.1920928955078125e-07,20,3930044842.8,3
1502,-231432.49768338996,40000,65.43,0.06084044650197029,0.004654600750654936,1.002219557762146,1.0,0.0013,0.0,26,3431384958.0,4
1451,-197368.44229679997,50000,57.57,0.050630249083042145,0.004428129643201828,0.9867959022521973,1.0,0.0013,0.0,34,3158872396.8,6
1462,-202906.96299001004,60000,67.12,0.058904051780700684,0.004560850095003843,0.9818277359008789,1.0,0.0013,0.0,41,2644477531.0,7
1462,-194206.13994593,70000,65.43,0.06313639879226685,0.004906163085252047,0.9723901748657227,1.0,0.0013,0.0,47,2960076696.0,8
1455,-166612.22138415003,80000,59.65,0.05507563427090645,0.004794573411345482,0.9666773676872253,1.0,0.0013,-1.1920928955078125e-07,54,2476876719.6,9
1450,-177567.54072972998,90000,63.17,0.06565210223197937,0.0046488153748214245,0.967414379119873,1.0,0.0013,0.0,62,2392798020.2,10
1422,-155974.81472247,100000,54.35,0.06281023472547531,0.00510050356388092,0.9526230692863464,1.0,0.0013,-2.384185791015625e-07,70,2392507905.6,12
1427,-164551.20819206,110000,65.02,0.0611528605222702,0.004655900876969099,0.9498299956321716,1.0,0.0013,0.0,77,2383822657.0,13
1425,-177175.56151974,120000,65.71,0.06514130532741547,0.005483832210302353,0.9528076648712158,1.0,0.0013,0.0,84,2361641356.0,14
1425,-167275.83766001,130000,70.32,0.05993780493736267,0.00483468733727932,0.951486349105835,1.0,0.0013,1.1920928955078125e-07,91,2270256333.8,15
1407,-196330.94386496,140000,79.86,0.06404465436935425,0.00589345395565033,0.9402391910552979,1.0,0.0013,2.384185791015625e-07,99,2129936446.4,17
1407,-162002.22819989,150000,67.56,0.06605193018913269,0.005560159217566252,0.9288458824157715,1.0,0.0013,0.0,106,2217458266.2,18
1406,-143634.05730697003,160000,61.2,0.06710291653871536,0.005137127358466387,0.9267143607139587,1.0,0.0013,0.0,113,2003922890.6,19
1406,-157556.62094731999,170000,69.48,0.06480803340673447,0.005883173551410437,0.9208651185035706,1.0,0.0013,-1.1920928955078125e-07,120,2014353875.2,20
1405,-159048.03131016003,180000,75.43,0.06594598293304443,0.005612803623080254,0.9210581183433533,1.0,0.0013,0.0,128,1868082741.8,21
1396,-141037.07311939,190000,60.65,0.06835191696882248,0.006132662761956453,0.9160711765289307,1.0,0.0013,1.1920928955078125e-07,136,1883057875.2,23
1401,-143141.17574571,200000,67.03,0.062269583344459534,0.005695898085832596,0.906815767288208,1.0,0.0013,0.0,142,1796558197.2,24
1404,-137558.11697492,210000,63.17,0.06788884103298187,0.005887303501367569,0.9084434509277344,1.0,0.0013,0.0,149,1858131971.2,25
1404,-141019.27984737002,220000,64.39,0.06103299558162689,0.005976503249257803,0.9078871607780457,1.0,0.0013,0.0,156,1763488951.8,26
1392,-142919.81701456997,230000,67.02,0.06278776377439499,0.006922937463968992,0.9150020480155945,1.0,0.0013,1.1920928955078125e-07,165,1795960272.2,28
1394,-142002.48876241,240000,65.84,0.06651553511619568,0.00630544638261199,0.9188849329948425,1.0,0.0013,1.1920928955078125e-07,172,1706706755.0,29
1394,-142798.53233239998,250000,75.45,0.06760815531015396,0.0061904978938400745,0.9194493293762207,1.0,0.0013,0.0,179,1833447327.8,30
1394,-144888.34400411998,260000,75.11,0.07057630270719528,0.0062103732489049435,0.9207451343536377,1.0,0.0013,0.0,186,1631974319.0,31
1393,-129921.55840201002,270000,64.59,0.06868645548820496,0.0061125257052481174,0.9220972657203674,1.0,0.0013,1.1920928955078125e-07,193,1696027811.0,32
1388,-146738.29564069,280000,80.43,0.06353690475225449,0.0059077381156384945,0.9215269088745117,1.0,0.0013,0.0,201,1492707575.5,34
1391,-138344.54498014,290000,79.67,0.07034318149089813,0.0068877036683261395,0.914964497089386,1.0,0.0013,0.0,208,1462187840.5,35
1394,-144602.68119372,300000,83.9,0.06710383296012878,0.006481541320681572,0.9151994585990906,1.0,0.0013,0.0,215,1481790042.3,36
1394,-147345.82764114,310000,82.91,0.07297583669424057,0.0063071902841329575,0.9166491627693176,1.0,0.0013,0.0,222,1457607407.2,37
1385,-169335.44360172,320000,98.32,0.06642385572195053,0.0067418781109154224,0.9128180146217346,1.0,0.0013,-1.1920928955078125e-07,230,1333557642.3,39
1387,-153054.02708613002,330000,90.87,0.0646505281329155,0.00638646399602294,0.9070937633514404,1.0,0.0013,0.0,237,1376575445.8,40
1386,-156682.34975676,340000,96.51,0.0737803503870964,0.007436112966388464,0.8987913131713867,1.0,0.0013,0.0,245,1324261181.1,41
1386,-146656.67114072,350000,87.2,0.07311593741178513,0.006932953838258982,0.8952426910400391,1.0,0.0013,-1.1920928955078125e-07,252,1376046847.9,42
1387,-146050.00308422,360000,92.08,0.064255490899086,0.005796594079583883,0.8965135216712952,1.0,0.0013,0.0,259,1320723780.0,43
1383,-138594.25189704,370000,98.87,0.06847217679023743,0.007218509446829557,0.8963900208473206,1.0,0.0013,-2.384185791015625e-07,267,1200754575.5,45
1384,-152831.64398734,380000,107.63,0.06723464280366898,0.007062321063131094,0.8940436244010925,1.0,0.0013,0.0,274,1067025469.3,46
1384,-164623.56214240997,390000,107.6,0.062160663306713104,0.0071474891155958176,0.8914573788642883,1.0,0.0013,0.0,281,1195341463.8,47
1384,-136419.53519176002,400000,92.56,0.07907576113939285,0.007679978851228952,0.8947319388389587,1.0,0.0013,0.0,288,1272670329.8,48
1380,-135190.72266956,410000,91.4,0.06773794442415237,0.007615056354552507,0.8892040848731995,1.0,0.0013,0.0,296,1247805427.0,50
1382,-140813.99049097,420000,109.34,0.06681101024150848,0.00778361177071929,0.8853082060813904,1.0,0.0013,0.0,303,1080179085.3,51
1382,-153675.50003335997,430000,112.64,0.06507831811904907,0.007848142646253109,0.884219229221344,1.0,0.0013,1.1920928955078125e-07,311,1175675236.6,52
1382,-176731.41770863,440000,130.72,0.06840825825929642,0.007954639382660389,0.8779377937316895,1.0,0.0013,0.0,318,990421315.8,53
1383,-159889.24055296998,450000,130.93,0.06629456579685211,0.00829359795898199,0.877875030040741,1.0,0.0013,0.0,325,1050952808.6,54
1378,-147049.42834645,460000,119.8,0.06630915403366089,0.007938859052956104,0.8751925826072693,1.0,0.0013,1.1920928955078125e-07,333,916254064.0,56
1378,-170175.82990956,470000,139.16,0.06158681586384773,0.008173287846148014,0.8729115128517151,1.0,0.0013,0.0,340,918882122.05,57
1379,-171805.36525270995,480000,149.46,0.0680338442325592,0.00824116449803114,0.8700882792472839,1.0,0.0013,0.0,347,823135766.8,58
1379,-161834.49789021,490000,152.74,0.06723380088806152,0.008039836771786213,0.8679206967353821,1.0,0.0013,0.0,355,848029188.15,59
1374,-154038.27090707,500000,151.39,0.0698610469698906,0.008116157725453377,0.8630190491676331,1.0,0.0013,0.0,363,875081646.45,61
1376,-152746.51990835,510000,146.29,0.06490936875343323,0.007896285504102707,0.8597755432128906,1.0,0.0013,0.0,370,759822497.8,62
1378,-137477.67698717,520000,145.06,0.06594008207321167,0.007677840534597635,0.8589088320732117,1.0,0.0013,0.0,377,783466497.65,63
1380,-116174.73503815001,530000,139.99,0.07117104530334473,0.007786796893924475,0.8602427840232849,1.0,0.0013,0.0,383,779224899.5,64
1381,-122689.86328725997,540000,136.01,0.06318774819374084,0.007862134836614132,0.8595809936523438,1.0,0.0013,0.0,390,762894569.7,65
1376,-117299.00124317998,550000,139.71,0.06924381852149963,0.008376920595765114,0.8583483099937439,1.0,0.0013,0.0,399,717742916.65,67
1377,-104839.34655477,560000,135.1,0.06300786137580872,0.008162358775734901,0.8558877110481262,1.0,0.0013,0.0,406,711556116.8,68
1379,-92900.21780584998,570000,160.17,0.07719801366329193,0.00785475317388773,0.8568148612976074,1.0,0.0013,0.0,413,655108855.2,69
1379,-80596.6913764,580000,163.31,0.07105915993452072,0.00823906809091568,0.855095386505127,1.0,0.0013,0.0,420,620223396.2,70
1374,-87603.26909282999,590000,158.74,0.06382175534963608,0.008447696454823017,0.8488360047340393,1.0,0.0013,0.0,429,563452870.05,72
1375,-112554.99194578001,600000,173.99,0.0734684020280838,0.008207415230572224,0.8484250903129578,1.0,0.0013,0.0,436,702563131.3,73
1377,-120896.32253944002,610000,191.99,0.05320049449801445,0.007340393960475922,0.8485739827156067,1.0,0.0013,0.0,442,552650446.2,74
1379,-141146.85269697,620000,231.05,0.06143374741077423,0.008643670938909054,0.848046064376831,1.0,0.0013,0.0,449,431188783.125,75
1379,-147663.62676284,630000,265.53,0.06733642518520355,0.008782042190432549,0.8454914689064026,1.0,0.0013,0.0,456,389407037.7875,76
1375,-135522.2496331,640000,258.77,0.06971900910139084,0.008509761653840542,0.8420615196228027,1.0,0.0013,0.0,465,427104137.075,78
1375,-105204.65133753998,650000,215.7,0.06813755631446838,0.008803647942841053,0.8400707840919495,1.0,0.0013,0.0,472,557515549.875,79
1376,-103838.54666420001,660000,222.05,0.06008593738079071,0.008693884126842022,0.8388869762420654,1.0,0.0013,0.0,479,434879441.425,80
1376,-80226.71100797,670000,240.8,0.06674803048372269,0.008348408155143261,0.8383617997169495,1.0,0.0013,0.0,486,385776905.0625,81
1373,-84950.50715339002,680000,273.06,0.05799708142876625,0.008504343219101429,0.83258455991745,1.0,0.0013,0.0,495,327002980.26875,83
1373,-93165.49404813003,690000,294.67,0.073177270591259,0.00822161603718996,0.8343384861946106,1.0,0.0013,5.960464477539063e-08,502,269197322.65625,84
1373,-95310.07451421,700000,304.57,0.05973035469651222,0.008244489319622517,0.8339481353759766,1.0,0.0013,0.0,509,337294388.5125,85
1374,-96852.04684501,710000,316.03,0.06804383546113968,0.00841112807393074,0.8330981135368347,1.0,0.0013,0.0,516,331736254.2625,86
1374,-83052.55104967,720000,321.64,0.07620704919099808,0.008633287623524666,0.8313234448432922,1.0,0.0013,0.0,523,298217573.9375,87
1372,-63324.43673519001,730000,326.7,0.06387298554182053,0.008354609832167625,0.8301728367805481,1.0,0.0013,0.0,531,336364527.025,89
1373,-49743.55814129001,740000,320.4,0.06621940433979034,0.008793138898909092,0.8298704028129578,1.0,0.0013,-1.1920928955078125e-07,538,285906283.41875,90
1373,-42912.12271884001,750000,333.45,0.0676402598619461,0.0085626021027565,0.8282270431518555,1.0,0.0013,0.0,546,293256646.65,91
1373,-8658.921643630003,760000,276.23,0.06665632128715515,0.00848300289362669,0.8291382789611816,1.0,0.0013,0.0,553,318478695.6625,92
1374,34542.95626287,770000,221.14,0.07349667698144913,0.00845808070152998,0.8315868973731995,1.0,0.0013,0.0,560,529739019.625,93
1372,26721.646353410004,780000,201.5,0.07303327322006226,0.008191359229385853,0.8280503749847412,1.0,0.0013,0.0,568,498461671.6,95
1373,18433.276876289998,790000,191.96,0.066590815782547,0.00856215413659811,0.8281192779541016,1.0,0.0013,5.960464477539063e-08,575,490441741.65,96
1374,27900.55423289,800000,174.98,0.056170228868722916,0.009049181826412678,0.8259759545326233,1.0,0.0013,0.0,582,613310567.3,97
1374,30272.092308210005,810000,176.34,0.0670914575457573,0.009272892028093338,0.8251418471336365,1.0,0.0013,0.0,589,638217638.45,98
1372,42095.70213640001,820000,184.3,0.06431824713945389,0.008562630042433739,0.8274879455566406,1.0,0.0013,0.0,597,536265752.35,100
1373,48880.491178410004,830000,192.51,0.06671620905399323,0.008783356286585331,0.8270421624183655,1.0,0.0013,0.0,604,493045960.05,101
1373,62261.36628865999,840000,164.68,0.054381728172302246,0.008688464760780334,0.8261519074440002,1.0,0.0013,0.0,611,637488919.125,102
1373,61363.74078036999,850000,142.05,0.058882150799036026,0.00866847112774849,0.8206019401550293,1.0,0.0013,0.0,618,664416454.95,103
1374,41957.593984110004,860000,145.87,0.068267822265625,0.00906063336879015,0.8233048319816589,1.0,0.0013,1.1920928955078125e-07,625,720966198.35,104
1372,28158.88189363,870000,181.28,0.06177545338869095,0.00827816966921091,0.8218717575073242,1.0,0.0013,0.0,634,496823652.25,106
1372,54082.99976592001,880000,171.35,0.0654023289680481,0.008544385433197021,0.8212180137634277,1.0,0.0013,0.0,641,594526330.325,107
1373,56445.2508732,890000,175.03,0.0545104444026947,0.008829205296933651,0.8198330402374268,1.0,0.0013,0.0,647,586980089.275,108
1374,58239.582906560005,900000,190.76,0.06271672993898392,0.008489144034683704,0.8175804018974304,1.0,0.0013,0.0,654,473168092.275,109
1372,50015.89190059001,910000,186.69,0.05378503352403641,0.00634771166369319,0.8196393847465515,1.0,0.0013,0.0,662,605508899.45,111
1373,51132.465502499996,920000,181.76,0.06492149829864502,0.008716807700693607,0.8199943900108337,1.0,0.0013,-1.1920928955078125e-07,669,482695488.825,112
1374,52173.80059154001,930000,158.68,0.059012044221162796,0.008717580698430538,0.8235329985618591,1.0,0.0013,-1.1920928955078125e-07,676,675995217.5,113
