rollout/ep_len_mean,train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef,train/n_updates,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/ent_coef_loss
83.7741935483871,6063.0927734375,239389.921875,0.0003,1.5729109048843384,2474,10000,93,71,-2046733.9843860646,140,-4.477396011352539
156.12,8612.8076171875,516050.625,0.0003,3.042935848236084,4974,20000,169,144,-4345704.257142621,138,-5.838746547698975
175.32,8799.509765625,796026.6875,0.0003,5.448306560516357,7474,30000,210,217,-4825427.09690813,138,-8.743569374084473
191.94,11932.634765625,1044391.375,0.0003,10.802529335021973,9974,40000,274,290,-5293067.74434302,137,-8.643305778503418
101.13,10153.826171875,1252917.0,0.0003,22.11635398864746,12474,50000,365,363,-2680169.22497774,137,-12.249221801757812
26.6,18316.3515625,1412585.125,0.0003,50.987247467041016,14974,60000,647,437,-648762.2049032401,137,-29.2137508392334
5.92,35272.40234375,1404602.125,0.0003,111.86729431152344,17474,70000,1590,510,-110021.21647062,137,-32.50834274291992
63.23,30691.07421875,1536777.25,0.0003,124.2351303100586,19974,80000,1837,584,-1660107.9239930704,136,5.3048577308654785
139.64,36756.515625,1701156.875,0.0003,84.28714752197266,22474,90000,1912,658,-3659685.26081985,136,6.650106906890869
168.52,25604.44140625,1731332.75,0.0003,64.84213256835938,24974,100000,1936,731,-4505481.43780201,136,-3.146178722381592
242.79,38879.06640625,1842612.0,0.0003,61.09809112548828,27474,110000,1978,804,-6553022.394243458,136,2.434328079223633
155.14,14230.8701171875,1963573.75,0.0003,41.756839752197266,29974,120000,2061,877,-3953206.21733171,136,-2.796510934829712
159.14,12565.015625,1989550.625,0.0003,57.88654708862305,32474,130000,2092,950,-3951135.5970309796,136,-2.00538969039917
110.66,28100.03515625,2078693.5,0.0003,68.03084564208984,34974,140000,2193,1023,-2815375.1902227206,136,0.08301699161529541
59.61,18464.1015625,2125795.75,0.0003,70.40815734863281,37474,150000,2372,1096,-1558451.58338865,136,-1.7656584978103638
85.01,29530.404296875,2169967.25,0.0003,67.4661865234375,39974,160000,2465,1170,-2346215.06902031,136,-0.23973014950752258
140.82,27550.8828125,2226548.25,0.0003,58.84971237182617,42474,170000,2538,1244,-4035914.09802177,136,1.3164305686950684
11.01,24336.4375,2298770.0,0.0003,45.52183151245117,44974,180000,2803,1318,-258346.41821930997,136,-0.8668763637542725
25.69,21394.365234375,2359665.0,0.0003,49.732357025146484,47474,190000,2952,1391,-462659.38623243995,136,-4.386796951293945
109.94,50320.59375,2395651.75,0.0003,87.6461410522461,49974,200000,3009,1465,-2427232.25389519,136,-0.5105956792831421
196.36,20972.02734375,2381071.25,0.0003,82.92137908935547,52474,210000,3018,1539,-4697493.82942778,136,2.0034003257751465
304.81,16807.119140625,2381053.5,0.0003,80.58885955810547,54974,220000,3029,1613,-7862578.454135341,136,-1.6116816997528076
390.69,35944.0078125,2388814.25,0.0003,76.37396240234375,57474,230000,3041,1688,-10264965.76401182,136,-2.354935884475708
14.25,21821.55859375,2438095.0,0.0003,88.35845947265625,59974,240000,3423,1762,-331210.12322858,136,-0.411462664604187
32.48,32022.1328125,2453360.5,0.0003,98.2601318359375,62474,250000,3702,1838,-887471.5719471299,135,0.1599254608154297
58.02,18524.314453125,2486341.5,0.0003,94.80875396728516,64974,260000,3981,1914,-1615003.5779053997,135,-2.7827162742614746
54.22,24957.740234375,2509913.75,0.0003,105.70574951171875,67474,270000,4095,1990,-1262412.1519073104,135,1.278064250946045
45.32,27289.427734375,2494274.0,0.0003,138.21878051757812,69974,280000,4322,2066,-906250.5555246399,135,-0.32871124148368835
122.23,31657.251953125,2504308.5,0.0003,118.67363739013672,72474,290000,4366,2143,-2838690.1890119193,135,-2.0603127479553223
104.34,29255.76953125,2527963.5,0.0003,124.4167709350586,74974,300000,4465,2220,-2421786.87560334,135,-0.5977616906166077
81.24,27729.626953125,2507562.25,0.0003,134.6468048095703,77474,310000,4590,2298,-1846948.57919003,134,-2.531796932220459
98.42,32853.0078125,2501928.25,0.0003,130.7892303466797,79974,320000,4704,2376,-2436271.03268229,134,-1.444836139678955
90.88,34238.7734375,2519599.5,0.0003,125.01145935058594,82474,330000,4800,2453,-1911479.7274971101,134,-0.15389040112495422
10.09,28884.5,2529027.0,0.0003,122.09012603759766,84974,340000,5202,2532,-200072.67518571005,134,-2.271230936050415
18.13,29739.78515625,2494365.75,0.0003,143.1873321533203,87474,350000,5877,2611,-446727.1119194799,134,-2.105001926422119
8.75,37065.54296875,2504059.75,0.0003,149.9302215576172,89974,360000,6742,2689,-173542.6801663,133,-1.132899284362793
7.88,29788.591796875,2488682.0,0.0003,177.0358123779297,92474,370000,8003,2769,-158923.18179771,133,-1.848299503326416
10.57,47979.55859375,2467380.0,0.0003,190.3572998046875,94974,380000,9151,2848,-216652.88750886003,133,0.3266496956348419
34.72,53884.9375,2405697.5,0.0003,185.17698669433594,97474,390000,9573,2926,-815272.25293758,133,-4.632509231567383
62.07,32066.12109375,2417080.0,0.0003,166.770263671875,99974,400000,9765,3006,-1513563.55798562,133,-0.8798744678497314
36.59,62693.30859375,2431813.5,0.0003,160.8050994873047,102474,410000,9997,3085,-724613.00162172,132,1.558563470840454
22.28,42715.62890625,2390463.75,0.0003,154.94427490234375,104974,420000,10370,3164,-393754.23490582994,132,-2.0419270992279053
27.94,33207.48828125,2393043.5,0.0003,149.7318878173828,107474,430000,10726,3244,-576068.6700035401,132,2.4591312408447266
104.32,41593.79296875,2374084.75,0.0003,143.21395874023438,109974,440000,10786,3323,-2093347.9514438098,132,2.6738715171813965
165.47,52214.25390625,2383416.0,0.0003,137.53732299804688,112474,450000,10852,3404,-3365670.62912807,132,0.4720205068588257
217.46,58381.3828125,2382079.75,0.0003,139.43382263183594,114974,460000,10880,3483,-4806622.85599024,132,-2.3894834518432617
206.87,30096.6015625,2394895.25,0.0003,144.2002410888672,117474,470000,10946,3563,-4618525.631069469,131,-1.3056145906448364
124.03,27261.341796875,2382808.75,0.0003,148.8474578857422,119974,480000,11040,3643,-2515149.4573888998,131,0.25401267409324646
54.98,48701.203125,2423945.5,0.0003,153.61839294433594,122474,490000,11205,3724,-1106057.40889301,131,2.1149559020996094
35.49,30778.212890625,2382629.25,0.0003,159.22787475585938,124974,500000,11514,3804,-718902.6597808502,131,-1.4406079053878784
28.75,51338.21875,2380765.75,0.0003,180.89547729492188,127474,510000,11936,3884,-545952.42914945,131,-1.3320589065551758
89.67,32691.955078125,2340676.5,0.0003,193.525634765625,129974,520000,12042,3965,-1925638.5774799502,131,0.6282345056533813
61.12,65228.1796875,2310421.0,0.0003,180.14013671875,132474,530000,12165,4046,-1530042.3359515807,130,0.26040852069854736
78.12,29138.080078125,2299337.0,0.0003,163.75775146484375,134974,540000,12264,4127,-1731258.7948697296,130,-0.01449662446975708
114.77,48149.484375,2355111.0,0.0003,159.5400848388672,137474,550000,12350,4207,-2558965.8960094596,130,-1.3783948421478271
148.55,30195.625,2349398.0,0.0003,156.83905029296875,139974,560000,12398,4287,-3129519.7815822796,130,3.2384378910064697
239.66,36622.36328125,2330225.75,0.0003,130.72813415527344,142474,570000,12419,4368,-5342185.37792053,130,-4.351624965667725
321.79,40576.5703125,2390180.25,0.0003,141.38970947265625,144974,580000,12431,4448,-7571420.665901611,130,0.9975751638412476
411.76,31680.115234375,2356952.0,0.0003,136.28713989257812,147474,590000,12448,4529,-9619892.87012513,130,-2.330397129058838
460.04,34278.45703125,2443386.25,0.0003,126.70411682128906,149974,600000,12466,4610,-10557807.99020312,130,3.6544506549835205
525.88,57129.25390625,2433168.0,0.0003,127.50273895263672,152474,610000,12495,4691,-12339249.283350281,130,0.3381662964820862
334.8,76013.2578125,2417503.25,0.0003,140.8695068359375,154974,620000,12543,4772,-7534605.4024920715,129,-1.2893794775009155
81.02,59233.29296875,2483226.5,0.0003,152.39857482910156,157474,630000,12664,4854,-1550693.2707583,129,-2.1215310096740723
150.71,48107.3359375,2553625.5,0.0003,157.8109130859375,159974,640000,12712,4935,-3038198.5935528595,129,1.782843828201294
238.72,32032.556640625,2498279.25,0.0003,156.0658721923828,162474,650000,12735,5016,-5139502.237788499,129,-3.1931920051574707
315.49,33089.75390625,2529054.25,0.0003,159.2473907470703,164974,660000,12756,5098,-7440385.009405821,129,0.5312726497650146
370.58,29861.357421875,2578436.0,0.0003,171.01197814941406,167474,670000,12768,5180,-9377601.28689034,129,-0.34373989701271057
459.63,34250.6796875,2576476.75,0.0003,174.30657958984375,169974,680000,12791,5261,-12199124.161901576,129,0.2387503981590271
490.8,34465.9765625,2610900.0,0.0003,174.27159118652344,172474,690000,12812,5343,-13536180.392732289,129,-3.251985788345337
326.32,45873.9765625,2591356.0,0.0003,167.8615264892578,174974,700000,12864,5423,-9216791.92134124,129,-4.916824817657471
87.56,32613.83984375,2630598.5,0.0003,167.45692443847656,177474,710000,12969,5505,-2141823.5107064596,128,-0.7331069707870483
81.92,38550.12109375,2633828.75,0.0003,169.94610595703125,179974,720000,13074,5587,-2005470.62693788,128,0.43515998125076294
18.56,32129.53125,2582140.25,0.0003,192.5779266357422,182474,730000,13452,5669,-372464.27736422,128,0.4992842972278595
38.06,27518.892578125,2561386.25,0.0003,212.35374450683594,184974,740000,13854,5750,-943802.8737173501,128,-0.08005322515964508
31.91,24800.095703125,2441975.75,0.0003,220.5652313232422,187474,750000,14343,5831,-790225.3608340699,128,-1.5877799987792969
15.55,48391.15625,2386721.0,0.0003,209.79879760742188,189974,760000,14823,5913,-300552.38152779,128,-0.7470839023590088
13.95,40600.921875,2434289.25,0.0003,202.89097595214844,192474,770000,15442,5994,-256622.94359575,128,0.5395328998565674
32.82,54197.1484375,2400037.5,0.0003,185.8209228515625,194974,780000,15776,6076,-811689.96730381,128,0.3227593004703522
74.71,40425.671875,2366248.25,0.0003,179.4647979736328,197474,790000,15901,6157,-2029996.2352794397,128,-0.4390302300453186
120.65,42608.01953125,2423052.0,0.0003,159.5570526123047,199974,800000,15949,6238,-2882860.7383862697,128,0.14763027429580688
216.58,42371.1796875,2385031.0,0.0003,161.6992645263672,202474,810000,15961,6319,-4742077.427527571,128,0.8995962738990784
293.35,25272.419921875,2381379.75,0.0003,166.868896484375,204974,820000,15972,6401,-6171006.736192879,128,-0.34539830684661865
391.76,44119.20703125,2367048.5,0.0003,182.00164794921875,207474,830000,15982,6482,-8486275.219488818,128,-0.8231154680252075
492.11,41458.37109375,2426885.0,0.0003,174.8876953125,209974,840000,15994,6563,-10817664.26438776,127,0.036073923110961914
