train/critic_loss,time/episodes,rollout/ep_rew_mean,train/ent_coef,train/actor_loss,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,time/fps,train/learning_rate,train/n_updates,eval/mean_ep_length,eval/mean_reward
10767.40625,4,-1531.1452654999998,0.9889776110649109,-4.206155776977539,14.5,392,1,-0.15682575106620789,313,0.001,36,,
21232.490234375,8,-2539.496608375,0.9769967794418335,19.288455963134766,27.75,664,2,-0.3151645064353943,322,0.001,70,,
23106.8828125,12,-2615.3352893333335,0.9740265607833862,27.201133728027344,30.083333333333332,736,2,-0.36489734053611755,324,0.001,79,,
16420.037109375,16,-2467.004071625,0.9710586667060852,34.759578704833984,29.6875,808,2,-0.40631553530693054,322,0.001,88,,
13278.685546875,20,-2658.4410952000003,0.9643098711967468,43.702598571777344,31.7,984,2,-0.39870861172676086,329,0.001,110,,
7999.94189453125,24,-2433.258038375,0.9496779441833496,10.264803886413574,28.625,1408,4,-0.1296083927154541,334,0.001,163,,
14740.06640625,28,-2730.6229309285713,0.947304904460907,27.41501235961914,34.5,1536,4,-0.0725494921207428,337,0.001,179,,
9355.0595703125,32,-2693.1544851875,0.9456766843795776,-7.674075126647949,34.40625,1648,4,0.029569512233138084,335,0.001,193,,
15208.052734375,36,-2516.2691703055557,0.9450262784957886,-4.351470947265625,31.555555555555557,1744,5,0.16323578357696533,336,0.001,205,,
14373.962890625,40,-3055.93883435,0.9486486911773682,-184.02655029296875,38.075,2168,6,0.23627540469169617,337,0.001,258,,
17261.568359375,44,-3307.3647891363635,0.950219988822937,-270.07733154296875,42.90909090909091,2264,6,0.18422061204910278,339,0.001,270,,
10361.873046875,48,-3422.2192508958337,0.951799213886261,-283.007080078125,44.708333333333336,2360,6,0.2264401614665985,340,0.001,282,,
12481.5078125,52,-3263.2879525000003,0.9557006359100342,-164.70108032226562,42.69230769230769,2576,7,0.27405795454978943,341,0.001,309,,
5976.55224609375,56,-3260.2770694107144,0.9624863266944885,-56.886573791503906,42.75,2848,8,0.23148706555366516,344,0.001,343,,
7204.40625,60,-3184.680609566667,0.9649970531463623,-63.557769775390625,42.083333333333336,2960,8,0.26091498136520386,345,0.001,357,,
9834.583984375,64,-3371.307559609375,0.9724260568618774,-4.0477471351623535,44.625,3216,9,0.10286262631416321,345,0.001,389,,
13026.3115234375,68,-3440.1311864264703,0.9754167795181274,0.05743885040283203,46.75,3344,9,0.10082326829433441,345,0.001,405,,
4183.99072265625,72,-3376.0019736805552,0.9839006662368774,51.79518127441406,46.583333333333336,3808,11,0.048143334686756134,345,0.001,463,,
5608.1201171875,76,-3421.8056631842105,0.990504801273346,86.2918930053711,50.10526315789474,4240,12,0.018446844071149826,343,0.001,517,,
7867.81982421875,80,-3386.4933716625005,1.0002020597457886,131.7769775390625,52.575,4992,14,0.00015293050091713667,346,0.001,611,,
6331.8994140625,84,-3414.027624511905,1.0033677816390991,169.2791290283203,54.773809523809526,5424,15,0.0001517956843599677,346,0.001,665,,
6031.8271484375,88,-3409.5258254090904,1.0065670013427734,147.23423767089844,56.42045454545455,6032,17,-0.007342597469687462,345,0.001,741,,
5043.01171875,92,-3367.228678902174,1.0111194849014282,165.42138671875,56.26086956521739,6536,18,-0.01063981931656599,344,0.001,804,,
3590.794677734375,96,-3576.126863395833,1.0167392492294312,225.57379150390625,61.708333333333336,7224,20,-0.009652610868215561,345,0.001,890,,
4260.50341796875,100,-3599.2029745799996,1.0191702842712402,256.59063720703125,63.96,7520,21,-0.002719263546168804,345,0.001,927,,
3562.25244140625,104,-3726.1768500999997,1.0219786167144775,231.8272247314453,68.68,7888,22,-0.006062764208763838,345,0.001,973,,
4981.904296875,108,-3746.7143265399995,1.023366093635559,209.48089599609375,72.15,8328,24,0.010904200375080109,345,0.001,1028,,
4163.1162109375,112,-3712.5412641600005,1.0231107473373413,258.6819763183594,72.41,8504,24,0.01550091989338398,345,0.001,1050,,
4386.04150390625,116,-3697.38261554,1.0228618383407593,284.74810791015625,72.92,8560,24,0.013015014119446278,346,0.001,1057,,
10497.9501953125,120,-3588.65375533,1.022664189338684,262.49993896484375,71.58,8624,24,-0.0013725110329687595,346,0.001,1065,,
8694.5693359375,124,-3561.6902754099992,1.022416114807129,256.9123840332031,71.28,8696,25,-0.004653358832001686,345,0.001,1074,,
5121.28125,128,-3666.21563039,1.0222347974777222,264.7673645019531,74.4,8760,25,0.011801878921687603,346,0.001,1082,,
6445.19873046875,132,-3603.09616309,1.0221171379089355,225.45260620117188,73.19,8816,25,0.007918737828731537,346,0.001,1089,,
11902.4140625,136,-3631.61449778,1.0217671394348145,245.63018798828125,73.71,8944,25,-0.0006634098826907575,345,0.001,1105,,
7186.880859375,140,-3367.30882578,1.0229527950286865,215.52557373046875,71.3,9264,26,-0.051271092146635056,346,0.001,1145,,
3217.57421875,143,-3370.5453219100004,1.0333774089813232,249.960693359375,72.6,10000,29,-0.02098079025745392,344,0.001,1237,,
,,,,,,10000,,,,,,4.2,-1001.3456985999999
4879.763671875,144,-3445.6953608400004,1.0333774089813232,,74.38,10008,29,,341,0.001,1238,,
4633.998046875,148,-3351.9883027300007,1.0354926586151123,275.369384765625,73.32,10248,30,-0.022274576127529144,341,0.001,1268,,
4660.5400390625,152,-3435.78224676,1.0412694215774536,239.22084045410156,76.52,10712,31,-0.14762325584888458,339,0.001,1326,,
9071.8515625,156,-3416.3789784,1.05243718624115,262.79864501953125,77.68,11136,32,-0.029008131474256516,337,0.001,1379,,
3876.78662109375,160,-3367.7527959899994,1.0543725490570068,301.1005859375,76.76,11256,33,-0.0335371233522892,337,0.001,1394,,
5739.3154296875,164,-3214.3749511099995,1.056426763534546,364.48077392578125,74.99,11480,34,0.03498895466327667,336,0.001,1422,,
13243.544921875,168,-3228.0930607399996,1.0569379329681396,317.7464599609375,75.82,11664,34,0.02826831303536892,335,0.001,1445,,
3734.539306640625,172,-3198.57243359,1.0570985078811646,273.2279052734375,75.51,11936,35,0.03134499490261078,334,0.001,1479,,
4274.73046875,176,-3235.2087513300003,1.0569432973861694,314.49267578125,74.68,12032,35,0.07529038935899734,334,0.001,1491,,
6633.4736328125,180,-3171.2368585300005,1.0566227436065674,323.61297607421875,71.52,12088,36,0.05410169064998627,334,0.001,1498,,
