time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,rollout/return_std,train/learning_rate,train/delta_std,train/step_size,train/iterations
460000,2612,-31999168.182081547,176,640.0909090909091,,,,,
470000,2613,-32362037.170411643,179,647.1428571428571,,,,,
480000,2614,-50050490.445335,183,1000.0,23820010.0,0.02,0.05,1.0495377483765722e-10,10
490000,2614,-49889008.646441005,187,1000.0,,,,,
500000,2614,-42935710.304539435,191,857.7142857142857,,,,,
510000,2615,-44544641.91103511,195,889.3333333333334,,,,,
520000,2615,-255933.6643,198,8.0,23881606.0,0.02,0.05,1.0468307470867799e-10,11
530000,2615,-33570780.10152667,202,669.3333333333334,,,,,
540000,2616,-35912297.20813257,206,716.2857142857143,,,,,
550000,2618,,210,,25572424.0,0.02,0.05,9.776155579510615e-11,12
560000,2619,-37760890.9667145,213,754.0,,,,,
570000,2621,-31497757.130264625,217,629.75,,,,,
580000,2623,-25202396.303901285,221,504.35714285714283,,,,,
590000,2624,-25170832.876061004,224,502.0,25572556.0,0.02,0.05,9.776104925585116e-11,13
600000,2625,-37652512.95990451,228,751.0,,,,,
610000,2626,-30175335.0683461,232,603.0,,,,,
620000,2627,-33507435.4442895,235,669.1666666666666,,,,,
630000,2627,-289533.1401805,239,9.5,23916366.0,0.02,0.05,1.0453093252094092e-10,14
640000,2627,-16920881.802535,243,340.1666666666667,,,,,
650000,2628,-22982329.24163036,247,460.0,,,,,
660000,2628,,251,,25582070.0,0.02,0.05,9.772469639068859e-11,15
670000,2629,-25196483.862433165,254,504.0,,,,,
680000,2630,-22929324.64698682,258,459.0,,,,,
690000,2630,,262,,25804562.0,0.02,0.05,9.688209262614933e-11,16
700000,2631,-25251412.1676955,266,504.75,,,,,
710000,2632,-35942904.54667786,269,717.0,,,,,
720000,2632,,273,,25604968.0,0.02,0.05,9.763730102196888e-11,17
730000,2633,-30197781.820363395,277,602.2,,,,,
740000,2633,-31402293.412701875,280,627.25,,,,,
750000,2634,-26819799.481713135,284,535.8666666666667,,,,,
760000,2635,-12697820.39560925,288,254.25,25617000.0,0.02,0.05,9.759144187215796e-11,18
770000,2635,-20232151.9564346,292,404.0,,,,,
780000,2636,-151548.0178945,295,5.5,25033684.0,0.02,0.05,9.986544924345253e-11,19
790000,2637,-11713468.651126232,299,235.53846153846155,,,,,
800000,2637,-50147755.922735,303,1000.0,22361130.0,0.02,0.05,1.1180114473097191e-10,20
810000,2638,-40166720.72762419,307,802.2,,,,,
820000,2638,-43017901.53987742,310,858.7142857142857,,,,,
830000,2639,-33519871.95310925,314,669.6666666666666,,,,,
840000,2639,-25284811.187163,318,504.5,24933368.0,0.02,0.05,1.0026723895606438e-10,21
850000,2639,-21665368.317174144,322,432.14285714285717,,,,,
860000,2639,-23296197.15354208,325,465.0769230769231,,,,,
870000,2639,-12718150.357454,329,254.75,25608788.0,0.02,0.05,9.762273628366458e-11,22
880000,2639,-20168870.859689303,333,403.9,,,,,
890000,2638,-20186851.05430373,337,404.1333333333333,,,,,
900000,2638,-11397690.886957444,341,229.44444444444446,25586570.0,0.02,0.05,9.770750181159471e-11,23
910000,2638,-16924960.879323248,344,339.3333333333333,,,,,
920000,2638,-167263.683136,348,6.0,25603120.0,0.02,0.05,9.764434399928135e-11,24
930000,2639,-33520235.047316,352,668.6666666666666,,,,,
940000,2639,-27984896.343001336,356,558.5555555555555,,,,,
950000,2639,-27147409.726216692,359,542.0769230769231,,,,,
960000,2640,-50275772.957943,363,1000.0,25563520.0,0.02,0.05,9.779561188638652e-11,25
970000,2640,-16820274.96138378,367,337.22222222222223,,,,,
980000,2641,-23247747.223672077,370,464.6923076923077,,,,,
990000,2641,-186028.65491166667,374,7.333333333333333,25829872.0,0.02,0.05,9.678716161864998e-11,26
1000000,2642,-15169891.117731605,378,305.4,,,,,
