train/n_updates,train/policy_loss,train/learning_rate,time/time_elapsed,train/explained_variance,train/std,train/value_loss,time/total_timesteps,time/fps,rollout/ep_len_mean,train/entropy_loss,rollout/ep_rew_mean
499,-454935.65625,0.0007,8,0.0,1.0090605020523071,1832430848.0,10000,1118,20.22,-21.416810989379883,-149857.86397659997
999,-499990.5625,0.0007,17,0.0,1.0200930833816528,2404339200.0,20000,1118,20.08,-21.576414108276367,-155812.78164323998
1499,-339257.0625,0.0007,26,-1.1920928955078125e-07,1.0232832431793213,622281152.0,30000,1119,19.73,-21.624555587768555,-187492.05601816007
1999,-485224.5625,0.0007,35,5.960464477539063e-08,1.0269211530685425,1953720064.0,40000,1115,21.05,-21.67735481262207,-202978.02844313002
2499,-633856.375,0.0007,44,-1.1920928955078125e-07,1.032165288925171,1451100800.0,50000,1113,27.57,-21.74979019165039,-212417.67531773
2999,-481944.0,0.0007,54,0.0,1.0437694787979126,2563944960.0,60000,1109,21.64,-21.91189193725586,-158262.15476889999
3499,-1035345.8125,0.0007,62,-1.1920928955078125e-07,1.0506221055984497,4079453440.0,70000,1113,19.98,-22.015256881713867,-151330.50786507002
3999,-2501.98583984375,0.0007,71,0.0,1.0640963315963745,37654812.0,80000,1115,20.69,-22.200504302978516,-150100.40533814998
4499,-165961.1875,0.0007,80,0.0,1.0666478872299194,108833896.0,90000,1115,19.46,-22.23253059387207,-146427.70869792002
4999,-568237.8125,0.0007,89,0.0,1.0727311372756958,2568156672.0,100000,1115,22.12,-22.313156127929688,-153215.12098505
5499,-269125.375,0.0007,98,1.1920928955078125e-07,1.0811445713043213,276482496.0,110000,1117,19.71,-22.43085289001465,-169929.83043869
5999,-241059.40625,0.0007,107,0.0,1.0826771259307861,263617232.0,120000,1117,18.79,-22.453567504882812,-128401.3221654
6499,-214896.828125,0.0007,116,-1.1920928955078125e-07,1.0867862701416016,189984800.0,130000,1115,25.91,-22.499116897583008,-197375.11901553997
6999,-430967.5,0.0007,125,0.0,1.0943447351455688,2396048384.0,140000,1115,24.48,-22.6063289642334,-157085.61966394002
7499,-253191.03125,0.0007,134,0.0,1.1018128395080566,1035039360.0,150000,1115,18.37,-22.7098388671875,-130709.26593780001
7999,-10877.8154296875,0.0007,143,1.7881393432617188e-07,1.101818323135376,62180744.0,160000,1113,21.0,-22.711185455322266,-153860.51717576003
