train/approx_kl,train/value_loss,train/std,time/time_elapsed,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate,time/fps,train/entropy_loss,train/loss,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/policy_gradient_loss
0.0035173744,4015070844.2,1.009333610534668,8,-1.1920928955078125e-07,0.2,0.01617431640625,0.0017,1126,-8.543403555452823,1739712768.0,-228147.42302349006,10,43.87,10000,-0.0019447424085228704
0.0032324274,4050728379.4,1.016471028327942,17,0.0,0.2,0.00614013671875,0.0017,1132,-8.591428035497666,2255978240.0,-200990.09253175993,20,40.49,20000,-0.001137664784255321
0.004235835,4363527992.8,1.0249103307724,26,0.0,0.2,0.01822509765625,0.0017,1134,-8.63825967758894,2206537984.0,-228009.74773502,30,47.03,30000,-0.002471905539823638
0.0047362447,3841697446.4,1.0323761701583862,35,0.0,0.2,0.02513427734375,0.0017,1130,-8.684553057700395,1787966080.0,-225415.02468106002,40,41.15,40000,-0.002897707543161232
0.00470616,3856728030.6,1.0493792295455933,49,0.0,0.2,0.02442626953125,0.0017,1015,-8.781946220248937,1807264128.0,-186954.30009872,60,40.64,50000,-0.0029557590794865975
0.0053193015,4013916846.8,1.0562387704849243,58,-1.1920928955078125e-07,0.2,0.03232421875,0.0017,1022,-8.824084387719632,1825716480.0,-214139.79412094,70,40.06,60000,-0.0038933840947720454
0.004347289,4186721825.2,1.0655583143234253,70,0.0,0.2,0.02005615234375,0.0017,990,-8.869718220829963,2214487552.0,-195713.27407806995,80,37.8,70000,-0.0026278550238203026
0.0062596286,3677516202.6,1.0726499557495117,82,0.0,0.2,0.046630859375,0.0017,966,-8.91522499024868,1988277888.0,-166659.47123016,90,39.49,80000,-0.0039327852600763435
0.0030959258,3466808269.4,1.0841825008392334,94,0.0,0.2,0.01175537109375,0.0017,948,-8.968120002746582,1748691072.0,-173726.77289136,100,36.22,90000,-0.0013233545779257837
0.0043695066,3755385904.2,1.101320743560791,113,1.1920928955078125e-07,0.2,0.01923828125,0.0017,880,-9.07508314922452,1777879296.0,-180478.02321964,120,35.49,100000,-0.0022678984367303203
0.005165968,3734738678.8,1.1100655794143677,125,0.0,0.2,0.026708984375,0.0017,875,-9.117619001865387,1872240128.0,-195716.79498292002,130,40.11,110000,-0.0031364438167656773
0.005329272,3855805908.4,1.1179434061050415,137,-1.1920928955078125e-07,0.2,0.02935791015625,0.0017,872,-9.162217152863741,2107881216.0,-172264.03669990998,140,33.16,120000,-0.0032488927972735837
0.0038372995,3708360304.8,1.1265947818756104,146,1.1920928955078125e-07,0.2,0.0149658203125,0.0017,887,-9.206947285681963,1880819072.0,-189122.97099241,150,37.3,130000,-0.0018677807824133198
0.0042205714,3940002114.0,1.1465266942977905,159,0.0,0.2,0.0126708984375,0.0017,875,-9.304939368367195,1988791296.0,-182187.24118262995,170,37.73,140000,-0.0017149511975731002
0.0046807253,3573060574.6,1.1583962440490723,168,0.0,0.2,0.0210205078125,0.0017,887,-9.366228571534156,1772745088.0,-174163.5283898,180,37.3,150000,-0.0024657033793118897
0.0046155024,3679556653.4,1.169211506843567,177,1.7881393432617188e-07,0.2,0.02103271484375,0.0017,899,-9.42551399320364,1924989824.0,-160359.09275639,190,32.63,160000,-0.002613327406470489
0.0032727334,3541844266.0,1.1806706190109253,186,0.0,0.2,0.01033935546875,0.0017,909,-9.481720478832722,2090778880.0,-166060.79051713002,200,32.07,170000,-0.0011591864200454437
0.00123429,3799420143.8,1.1912609338760376,195,0.0,0.2,0.0008544921875,0.0017,918,-9.536120527982712,1695146496.0,-202169.60251686,210,38.19,180000,-0.00019466485809971346
0.003945341,3604588867.6,1.2100566625595093,209,-1.1920928955078125e-07,0.2,0.0137451171875,0.0017,906,-9.634958085417747,1835528704.0,-164718.88366351003,230,32.87,190000,-0.0015571171377814607
0.0049106404,3709642969.2,1.219516634941101,218,0.0,0.2,0.0259765625,0.0017,914,-9.68203590810299,1988099072.0,-167487.55337003001,240,33.77,200000,-0.0030803213556282573
0.0012041414,3686726888.0,1.2300786972045898,227,0.0,0.2,0.00069580078125,0.0017,922,-9.729178334027528,1744734336.0,-163934.18073247003,250,34.53,210000,-0.00023701097270532046
0.003556268,3682193250.0,1.2417528629302979,236,0.0,0.2,0.0111572265625,0.0017,929,-9.784697651863098,1896389120.0,-147627.38558719,260,30.39,220000,-0.0016762484920036513
0.0029333835,3380912161.2,1.2700241804122925,250,0.0,0.2,0.010205078125,0.0017,918,-9.909063137322665,1684491136.0,-131174.12290015,280,29.54,230000,-0.0015581123499941896
0.0036072535,3739900291.8,1.2825504541397095,259,0.0,0.2,0.01094970703125,0.0017,924,-9.977133681625128,1888234752.0,-142545.53548252,290,31.41,240000,-0.0014302002788099343
