train/policy_loss,train/explained_variance,train/std,train/entropy_loss,time/time_elapsed,train/learning_rate,time/fps,rollout/ep_rew_mean,train/value_loss,time/total_timesteps,rollout/ep_len_mean,train/n_updates
-195312.65625,-1.2874603271484375e-05,1.0003352165222168,-12.773460388183594,3,0.0001,2669,-501375.3442192632,391752512.0,10000,160.2280701754386,124
-249890.0,6.556510925292969e-07,1.0005872249603271,-12.775982856750488,7,0.0001,2675,-530319.29961196,750226048.0,20000,173.26,249
-78091.015625,-7.510185241699219e-06,1.0003234148025513,-12.773308753967285,11,0.0001,2680,-507285.6582446901,68362192.0,30000,167.55,374
-274145.0,-8.344650268554688e-07,1.000265121459961,-12.77254581451416,14,0.0001,2682,-473413.54929981,791129792.0,40000,161.54,499
-255341.671875,5.364418029785156e-07,1.0006543397903442,-12.775561332702637,18,0.0001,2669,-442275.12485917,979927552.0,50000,154.0,624
-134426.671875,3.5762786865234375e-07,1.0000863075256348,-12.771008491516113,22,0.0001,2670,-469659.34420168994,281949216.0,60000,173.07,749
-193218.1875,2.3245811462402344e-06,1.000028133392334,-12.770350456237793,26,0.0001,2670,-485402.89088476,409889344.0,70000,185.59,874
-189465.078125,-1.1920928955078125e-07,0.9995354413986206,-12.766388893127441,29,0.0001,2670,-444811.1452260201,654422336.0,80000,164.32,999
-255817.46875,3.5762786865234375e-07,0.9990935921669006,-12.762030601501465,33,0.0001,2669,-408021.72256041004,867004928.0,90000,154.52,1124
-127461.234375,-1.1920928955078125e-07,0.9989354014396667,-12.760766983032227,37,0.0001,2668,-397035.41109979,185015216.0,100000,160.43,1249
-89819.6796875,-1.1920928955078125e-07,0.9987945556640625,-12.759593963623047,41,0.0001,2668,-366122.77981155,77594928.0,110000,152.33,1374
-189123.265625,0.0,0.9985811710357666,-12.757441520690918,44,0.0001,2668,-315390.79952652,875240960.0,120000,124.22,1499
-229774.078125,-1.1920928955078125e-07,0.9983651638031006,-12.756059646606445,48,0.0001,2668,-275807.83423593,697802624.0,130000,105.71,1624
-218977.828125,0.0,0.9981104731559753,-12.75359058380127,52,0.0001,2667,-287726.54514796,551571648.0,140000,115.6,1749
