train/ent_coef_loss,train/ent_coef,train/critic_loss,time/time_elapsed,train/n_updates,train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,time/episodes
-2.60154390335083,73.93852996826172,3115.302978515625,63,2474,94747.7890625,10000,-2085811.1594714688,146.4375,157,0.0064,64
-1.7037878036499023,64.92879486083984,2913.73486328125,130,4974,51656.6875,20000,-157626.78727278,58.72,153,0.0064,198
-2.4214158058166504,41.517852783203125,2944.455810546875,198,7474,37906.1484375,30000,-112595.88823437999,66.26,151,0.0064,361
