train/n_updates,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/ent_coef,time/episodes,train/learning_rate,time/time_elapsed,train/critic_loss,train/actor_loss,train/ent_coef_loss
119974,3.65,480000,-160697.88592864,285,57.245906829833984,142858,0.0055,1682,138373376.0,158153.953125,-96.2549819946289
122474,3.0,490000,-136429.42882542,284,22.01620864868164,146068,0.0055,1719,26625416.0,134395.3125,-1.5370125770568848
124974,3.01,500000,-137279.65702319003,284,166.39874267578125,148918,0.0055,1757,121820160.0,137339.6875,44.1893310546875
127474,3.02,510000,-137710.45151474,284,51.71604537963867,152054,0.0055,1795,64085092.0,127589.1171875,4.1798577308654785
129974,3.0,520000,-136592.20080616002,283,46.65174102783203,155317,0.0055,1834,11350839.0,117209.3125,13.232751846313477
132474,3.0,530000,-136552.41278954997,282,31.81700897216797,158641,0.0055,1873,3074528.25,114823.953125,5.6739702224731445
134974,6.34,540000,-222160.89172087997,282,989.4961547851562,161198,0.0055,1911,2556237824.0,298308.96875,-33.835716247558594
137474,3.0,550000,-137200.27122838,282,89.32347106933594,164033,0.0055,1948,288675200.0,128574.828125,27.91767120361328
139974,3.0,560000,-136293.84490145,281,20.350086212158203,167368,0.0055,1986,51274544.0,121994.390625,-3.615943431854248
142474,3.0,570000,-136142.79874045,281,26.473709106445312,170697,0.0055,2023,49405440.0,121187.828125,6.519659042358398
144974,3.11,580000,-140847.4959502,281,84.27975463867188,173859,0.0055,2061,29877240.0,130007.9375,45.29745101928711
147474,3.06,590000,-139986.80629886,281,1461.6644287109375,176368,0.0055,2098,884485376.0,229916.578125,-26.572830200195312
149974,3.0,600000,-137621.68303919001,280,325.0575866699219,179085,0.0055,2136,127299920.0,136259.8125,34.50712966918945
152474,3.0,610000,-137311.76211885002,280,117.27690887451172,182415,0.0055,2173,73017120.0,130063.1953125,4.625690937042236
154974,3.0,620000,-136306.38720084997,280,17.9053897857666,185664,0.0055,2211,36276400.0,120155.9609375,11.945343017578125
157474,3.0,630000,-138403.14936409003,280,40.05441665649414,188706,0.0055,2248,14124659.0,119895.09375,-4.201834678649902
159974,4.03,640000,-174815.65276295,279,13.060077667236328,192001,0.0055,2287,23835980.0,129719.140625,-120.34559631347656
162474,3.01,650000,-137958.57586371002,279,268.4689636230469,194319,0.0055,2327,215835680.0,142495.90625,27.56505584716797
164974,3.11,660000,-140151.34518269,279,547.8051147460938,196468,0.0055,2365,951733760.0,184610.203125,43.507713317871094
167474,3.02,670000,-137657.17811634997,278,195.10308837890625,199490,0.0055,2402,374032384.0,163137.609375,25.32952308654785
169974,3.01,680000,-138517.09195555001,278,120.22612762451172,202810,0.0055,2439,549641984.0,169869.09375,-46.408016204833984
172474,3.0,690000,-137773.21720796003,278,91.81077575683594,206131,0.0055,2477,25690664.0,119515.03125,5.744503498077393
174974,3.01,700000,-136725.36570348003,278,40.40627670288086,209460,0.0055,2514,4847107.5,114278.015625,4.691410064697266
177474,3.89,710000,-157561.72983362002,278,199.34629821777344,212638,0.0055,2552,7884741632.0,179718.53125,-592.835693359375
