rollout/ep_rew_mean,time/fps,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,rollout/ep_len_mean,time/time_elapsed,train/std,time/total_timesteps,train/policy_loss,train/learning_rate
-102378.05715228,1685,5.960464477539063e-08,16999,-14.007535934448242,11036.544921875,58.54,201,1.1489168405532837,340000,-1327.043701171875,0.0007
-109809.01021974998,1686,0.0,17499,-13.905561447143555,11771.818359375,118.72,207,1.1363742351531982,350000,-1269.381103515625,0.0007
-115321.80555366,1686,2.384185791015625e-07,17999,-13.816987991333008,653679488.0,60.7,213,1.1249048709869385,360000,-124562.0390625,0.0007
-121042.99114602999,1687,1.1920928955078125e-07,18499,-13.904172897338867,8506.1708984375,73.56,219,1.1353223323822021,370000,-1174.85302734375,0.0007
-106308.99381691002,1688,0.0,18999,-13.907941818237305,245773.546875,59.04,225,1.136122703552246,380000,2490.456787109375,0.0007
-149779.42381913,1689,0.0,19499,-13.971456527709961,149791.5,141.85,230,1.1436381340026855,390000,894.2605590820312,0.0007
-161566.45764412,1691,0.0,19999,-14.025644302368164,14695.84375,243.52,236,1.1511011123657227,400000,-1518.311279296875,0.0007
-168531.54579462003,1692,1.1920928955078125e-07,20499,-13.988706588745117,20380576.0,314.27,242,1.1469682455062866,410000,-26308.650390625,0.0007
-237144.38380813002,1694,0.0,20999,-14.012605667114258,16567.728515625,349.54,247,1.1499353647232056,420000,-973.09375,0.0007
-92785.44895955002,1695,0.0,21499,-13.964994430541992,15418224.0,41.86,253,1.1431822776794434,430000,-19111.751953125,0.0007
-103675.02592085999,1696,0.0,21999,-14.039884567260742,76026.671875,101.12,259,1.1528260707855225,440000,-3243.79638671875,0.0007
-116791.04612189,1697,0.0,22499,-14.015535354614258,20111230.0,156.48,265,1.1498342752456665,450000,-31658.58203125,0.0007
-120442.19503377998,1699,0.0,22999,-14.012590408325195,25557426.0,124.12,270,1.149778962135315,460000,-37329.75390625,0.0007
-155781.03675446,1699,0.0,23499,-14.089426040649414,495404128.0,213.25,276,1.160117268562317,470000,-71702.671875,0.0007
-102858.79324102,1699,0.0,23999,-14.088212966918945,1495730816.0,34.73,282,1.1604689359664917,480000,-283033.65625,0.0007
-109748.41595933,1698,0.0,24499,-14.183725357055664,88930912.0,25.71,288,1.1736894845962524,490000,-68854.8359375,0.0007
-114948.88344475,1698,0.0,24999,-14.183603286743164,6106.17431640625,48.33,294,1.17320716381073,500000,-1028.5885009765625,0.0007
-99040.55280073,1698,-2.384185791015625e-07,25499,-14.213567733764648,5772553.0,74.81,300,1.1771405935287476,510000,22447.07421875,0.0007
-99926.90595949,1698,5.960464477539063e-08,25999,-14.217567443847656,2305508864.0,42.08,306,1.178439974784851,520000,-422622.3125,0.0007
-105457.58551861998,1698,0.0,26499,-14.289657592773438,2374538752.0,107.38,311,1.1883409023284912,530000,-347182.25,0.0007
-121154.14179580001,1699,-1.1920928955078125e-07,26999,-14.32280158996582,333240.15625,159.43,317,1.193313717842102,540000,2615.197265625,0.0007
-117420.66882071,1698,-1.1920928955078125e-07,27499,-14.342485427856445,4500041.5,33.3,323,1.1964906454086304,550000,-9322.41015625,0.0007
-114766.49862372002,1698,0.0,27999,-14.312870979309082,3560311.5,48.13,329,1.19296133518219,560000,16340.9951171875,0.0007
-123752.13380645998,1698,0.0,28499,-14.383573532104492,66843.015625,113.0,335,1.202437162399292,570000,-67.92338562011719,0.0007
-114213.69714109,1698,0.0,28999,-14.409744262695312,38051288.0,55.24,341,1.2068467140197754,580000,-21668.27734375,0.0007
-185210.68206720002,1697,0.0,29499,-14.42652702331543,27728348.0,61.17,347,1.2078299522399902,590000,-38830.9921875,0.0007
-113276.64538609,1697,0.0,29999,-14.370458602905273,35682880.0,58.81,353,1.2001919746398926,600000,-49497.05078125,0.0007
-98226.84905351001,1697,1.1920928955078125e-07,30499,-14.412015914916992,12726.2001953125,52.47,359,1.2068513631820679,610000,-1360.8944091796875,0.0007
-201091.88432671,1697,0.0,30999,-14.478540420532227,15480274.0,135.08,365,1.2163403034210205,620000,-20652.380859375,0.0007
-305933.69569690997,1697,0.0,31499,-14.505388259887695,5382.9287109375,206.96,371,1.2203725576400757,630000,-942.9352416992188,0.0007
-372026.03789519006,1697,5.960464477539063e-08,31999,-14.539575576782227,517230.40625,284.01,377,1.225419044494629,640000,3530.348388671875,0.0007
-102330.75351589,1697,0.0,32499,-14.592448234558105,10008.986328125,63.67,382,1.232978343963623,650000,-1165.730712890625,0.0007
-125974.62424381002,1697,0.0,32999,-14.537969589233398,1334987.25,140.52,388,1.2266758680343628,660000,6718.4169921875,0.0007
-146887.29648639,1697,-1.1920928955078125e-07,33499,-14.57484245300293,17280.82421875,182.7,394,1.232114553451538,670000,-1467.0484619140625,0.0007
-162022.7109565,1698,5.960464477539063e-08,33999,-14.691343307495117,1922479744.0,185.44,400,1.2490887641906738,680000,-303397.625,0.0007
-103716.78337221,1697,5.960464477539063e-08,34499,-14.691038131713867,2374232576.0,66.3,406,1.2496933937072754,690000,-305621.28125,0.0007
-106481.60041521004,1697,0.0,34999,-14.752790451049805,1732218.0,50.4,412,1.2585781812667847,700000,9801.658203125,0.0007
-133016.46072591,1697,0.0,35499,-14.780308723449707,491945120.0,74.42,418,1.2625269889831543,710000,-76056.28125,0.0007
-104217.64050879002,1697,0.0,35999,-14.71613883972168,2444250.0,110.57,424,1.2539896965026855,720000,13361.6455078125,0.0007
-114296.83737810001,1697,0.0,36499,-14.701105117797852,60671776.0,139.48,430,1.2531328201293945,730000,-61198.57421875,0.0007
-97348.67643989003,1697,0.0,36999,-14.768519401550293,22901.79296875,59.77,435,1.2625142335891724,740000,-1758.0218505859375,0.0007
-161658.17329034,1697,0.0,37499,-14.817094802856445,424274.40625,145.52,441,1.2694381475448608,750000,4835.1318359375,0.0007
-203294.58447391997,1697,0.0,37999,-14.782190322875977,10183.84765625,176.24,447,1.2641777992248535,760000,-1152.2830810546875,0.0007
