train/n_updates,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,train/loss,time/total_timesteps,train/value_loss,time/time_elapsed,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,time/fps,train/clip_range,train/std
10,24.13,0.0017,-225577.36095271996,3995634432.0,10000,7962775597.6,9,0.0074765864,1.1920928955078125e-07,-0.008062572846392868,-17.053262212872504,0.06900634765625,1011,0.2,1.004106879234314
20,21.91,0.0017,-192443.85439696,4076883968.0,20000,7656903657.6,19,0.00763987,0.0,-0.009889451234630541,-17.114435790479185,0.0724365234375,1013,0.2,1.0101951360702515
30,20.81,0.0017,-187341.75491884002,3413961472.0,30000,7035658592.8,29,0.006096616,0.0,-0.0062779898842563854,-17.183136506378652,0.04599609375,1015,0.2,1.015654444694519
40,20.06,0.0017,-184364.26102154996,3972070656.0,40000,7258699750.4,39,0.005371346,-1.1920928955078125e-07,-0.005198056477274804,-17.25095711350441,0.03424072265625,1015,0.2,1.0217766761779785
60,22.56,0.0017,-186469.44098749998,3540493312.0,50000,6694745649.6,53,0.0053142356,-1.1920928955078125e-07,-0.003806605275349284,-17.385833951830865,0.02520751953125,928,0.2,1.0334891080856323
70,18.71,0.0017,-166452.30575728999,3200452864.0,60000,7024525858.8,63,0.0038910098,-1.1920928955078125e-07,-0.0023649816403121804,-17.46292117536068,0.01239013671875,940,0.2,1.0402575731277466
80,17.87,0.0017,-162968.73168755,3643757568.0,70000,7020698371.6,73,0.005326919,0.0,-0.004335907614768075,-17.53719370961189,0.0239501953125,949,0.2,1.0463368892669678
90,21.72,0.0017,-183491.09639441,3183294720.0,80000,6641995042.4,83,0.0053346534,1.1920928955078125e-07,-0.004105600750335725,-17.60198905020952,0.02962646484375,955,0.2,1.0515612363815308
100,21.38,0.0017,-179532.02809686,3146555904.0,90000,6980068178.4,93,0.0049457857,0.0,-0.003374457120662555,-17.671656151115894,0.02119140625,960,0.2,1.0586234331130981
120,19.95,0.0017,-171359.27399401003,3212282880.0,100000,6647403988.8,108,0.004730369,0.0,-0.002345764417441387,-17.822257597744464,0.0161376953125,922,0.2,1.071236491203308
130,21.3,0.0017,-169654.59200925,3766298368.0,110000,6695901792.4,118,0.0050316956,0.0,-0.0034434343509929023,-17.89190376251936,0.0227294921875,927,0.2,1.07806396484375
140,17.32,0.0017,-159967.49016699,3191713792.0,120000,6532194388.8,128,0.00458531,0.0,-0.0028817152458941566,-17.97604768127203,0.0145751953125,932,0.2,1.0863666534423828
150,17.86,0.0017,-149216.8925205,3852783104.0,130000,7365936567.6,138,0.0042598397,0.0,-0.0025585914658222465,-18.058455063402654,0.0126220703125,936,0.2,1.09306001663208
170,19.28,0.0017,-164829.10790402998,3566922496.0,140000,6698145885.2,153,0.0045590387,-1.1920928955078125e-07,-0.0031239147156156832,-18.210548476874827,0.01710205078125,911,0.2,1.106774926185608
180,17.87,0.0017,-159771.78341724002,2764893440.0,150000,6014827790.4,163,0.00438518,0.0,-0.0029434062400468973,-18.281944318115713,0.01644287109375,914,0.2,1.113539218902588
190,17.25,0.0017,-149025.30488898003,2945053184.0,160000,6390985607.6,174,0.005640819,0.0,-0.0049126268320833335,-18.350154335796834,0.03128662109375,917,0.2,1.1194912195205688
200,17.46,0.0017,-146396.92939324002,3080859648.0,170000,6108976881.2,184,0.0045427517,1.7881393432617188e-07,-0.0028049599863152253,-18.430094707012177,0.0154541015625,920,0.2,1.1285498142242432
210,17.81,0.0017,-145475.96362839,3116033792.0,180000,5883932444.8,195,0.005104251,-1.1920928955078125e-07,-0.003015775350468175,-18.51585969775915,0.0197509765625,922,0.2,1.1355880498886108
230,19.14,0.0017,-161328.15793205998,2920324864.0,190000,6154049987.2,210,0.004426051,0.0,-0.002827155712293461,-18.659823754429816,0.0154541015625,904,0.2,1.148764967918396
240,19.17,0.0017,-154110.18107307,2647607552.0,200000,6104592167.6,220,0.0041671935,5.960464477539063e-08,-0.0027794100673418144,-18.73728296905756,0.01231689453125,907,0.2,1.1577123403549194
250,19.75,0.0017,-161404.14417773002,3245273856.0,210000,5963330596.4,230,0.0050413315,0.0,-0.00391163066487934,-18.829181015491486,0.0234619140625,910,0.2,1.1664414405822754
260,19.02,0.0017,-152204.4971789,2832661760.0,220000,6034558939.2,241,0.005186507,0.0,-0.0035319731023264467,-18.91209541261196,0.0226806640625,912,0.2,1.1740303039550781
280,19.5,0.0017,-159130.83738659002,2636243200.0,230000,5959961396.4,256,0.005165658,5.960464477539063e-08,-0.0034195724061646614,-19.065783962607384,0.021484375,898,0.2,1.1896084547042847
290,17.8,0.0017,-150510.21103873997,2610393856.0,240000,5540578884.4,266,0.0034336685,0.0,-0.0020319235607530574,-19.158983734250068,0.0091064453125,901,0.2,1.199633002281189
300,16.78,0.0017,-147116.47831689997,3183876864.0,250000,5887372884.8,276,0.005268638,0.0,-0.0039251775824595825,-19.24941441565752,0.02354736328125,904,0.2,1.2076679468154907
310,17.16,0.0017,-145266.22520045002,2890955776.0,260000,5965567462.4,286,0.004626869,0.0,-0.0025272784327171395,-19.327206860482693,0.0141845703125,906,0.2,1.215428113937378
320,16.71,0.0017,-142579.68682968002,2804446464.0,270000,5745147809.2,297,0.0053630816,0.0,-0.0045146041118641735,-19.405251434445383,0.02470703125,908,0.2,1.2235416173934937
340,14.69,0.0017,-131082.6630991,2807912704.0,280000,5556872600.4,312,0.0048667006,0.0,-0.0030752951177419165,-19.560841101408005,0.0185302734375,897,0.2,1.2395975589752197
350,16.88,0.0017,-134924.83276204002,2637387264.0,290000,5366039054.2,322,0.004366086,0.0,-0.002106458875186945,-19.639842592179775,0.0116455078125,899,0.2,1.247697353363037
360,17.32,0.0017,-142180.84186232,2946397952.0,300000,5493648713.6,332,0.0038294662,5.960464477539063e-08,-0.002014757723554794,-19.71840653270483,0.01121826171875,901,0.2,1.2560368776321411
370,16.62,0.0017,-135990.18488644,2877836800.0,310000,5533931620.6,342,0.0049847993,-1.1920928955078125e-07,-0.0026490147871299995,-19.788572877645493,0.01705322265625,903,0.2,1.2624894380569458
390,17.8,0.0017,-132658.69097242,2548675840.0,320000,5355946867.6,358,0.005627672,0.0,-0.00412538220280112,-19.923923072218894,0.0324951171875,893,0.2,1.2774416208267212
400,16.97,0.0017,-136987.47136564998,2761126400.0,330000,5576798338.2,368,0.004686974,1.1920928955078125e-07,-0.00269248526346928,-20.00097115635872,0.01510009765625,895,0.2,1.2859143018722534
