train/critic_loss,time/episodes,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/actor_loss,time/time_elapsed,time/fps,rollout/ep_len_mean,train/learning_rate,time/total_timesteps
62016640.0,9447,45.04973220825195,-548486.44219807,155.0734100341797,129974,42383.7421875,2865,181,74.7,0.0055,520000
50586100.0,9510,-5.095580101013184,22353.01866769,24.29270362854004,132474,3682.9541015625,2924,181,111.55,0.0055,530000
26682536.0,9786,0.7371560335159302,132292.42844886,55.6538200378418,134974,-5770.9931640625,2984,180,33.61,0.0055,540000
21822974.0,9839,2.6634016036987305,15113.768852939997,38.247161865234375,137474,-18404.81640625,3043,180,108.25,0.0055,550000
109715968.0,9890,5.4826579093933105,-552463.5147559099,644.3021240234375,139974,78443.78125,3103,180,189.21,0.0055,560000
147848032.0,9964,79.19552612304688,-1560558.58072417,520.0831909179688,142474,78111.15625,3162,180,162.18,0.0055,570000
7584527360.0,10123,-219.81155395507812,-676768.67348599,4401.50927734375,144974,500099.65625,3221,180,58.53,0.0055,580000
785612928.0,10265,100.96600341796875,-463552.12874129997,1436.800537109375,147474,261788.203125,3280,179,74.01,0.0055,590000
175434992.0,10493,19.73526382446289,-143847.11894268,99.33015441894531,149974,155558.34375,3339,179,48.96,0.0055,600000
49751976.0,10589,-19.048118591308594,-165298.29868483,81.207763671875,152474,82671.203125,3398,179,81.67,0.0055,610000
57344236.0,10654,2.1396126747131348,-284489.2780604999,92.50090026855469,154974,51779.375,3458,179,163.13,0.0055,620000
44485940.0,10723,37.782188415527344,-447245.16611142,703.550048828125,157474,77508.3671875,3518,179,169.41,0.0055,630000
62497608.0,10890,33.06035614013672,-132869.45793884,59.618587493896484,159974,25675.9140625,3578,178,51.23,0.0055,640000
25224356.0,10925,-5.689178466796875,-75242.24785551001,22.856063842773438,162474,5805.1943359375,3637,178,142.17,0.0055,650000
34536680.0,10933,-5.070041656494141,-99919.78623611001,19.212276458740234,164974,9221.9580078125,3697,178,210.89,0.0055,660000
5319444480.0,11005,-111.03103637695312,-669560.03691523,3527.307861328125,167474,257365.515625,3756,178,273.97,0.0055,670000
2187797760.0,11097,116.61137390136719,-1407970.1438129195,5820.6962890625,169974,409414.03125,3816,178,115.53,0.0055,680000
979256320.0,11145,50.800941467285156,-1558279.6376943202,2426.900390625,172474,400871.3125,3875,178,145.83,0.0055,690000
249031232.0,11286,56.28972625732422,-616077.34361103,897.9266967773438,174974,303388.09375,3935,177,68.1,0.0055,700000
116054288.0,11417,42.097835540771484,-372837.73938993,140.11819458007812,177474,178183.96875,3994,177,79.05,0.0055,710000
267246976.0,11480,-177.33676147460938,-284803.22758286993,25.00069808959961,179974,122181.265625,4053,177,107.1,0.0055,720000
216178278400.0,11530,-381.71282958984375,-2024974.2934137,23782.583984375,182474,1544474.75,4112,177,178.76,0.0055,730000
34213990400.0,11682,104.61306762695312,-484056.1085371,36411.25,184974,1084948.5,4171,177,58.71,0.0055,740000
9412308992.0,11849,68.42984771728516,-337761.37090683007,4417.36669921875,187474,699485.0,4229,177,56.26,0.0055,750000
1012518528.0,12075,35.993892669677734,-265696.43622955,584.5255126953125,189974,362183.375,4287,177,32.24,0.0055,760000
216988064.0,12306,9.281014442443848,-486333.50767156004,118.6016845703125,192474,188662.65625,4346,177,56.18,0.0055,770000
13097450496.0,12482,76.27450561523438,-1313050.55339873,7290.9365234375,194974,345253.65625,4404,177,70.54,0.0055,780000
885262720.0,12791,59.03619384765625,-121570.12418498001,249.46200561523438,197474,293893.71875,4463,177,10.72,0.0055,790000
14320146432.0,13592,-601.3157958984375,-101554.26892251002,656.8046875,199974,823186.9375,4521,176,3.11,0.0055,800000
236212453376.0,13855,-22.35388946533203,-721880.4621078701,49353.390625,202474,1181854.375,4580,176,45.54,0.0055,810000
60523208704.0,14093,85.64877319335938,-239708.46397708997,24810.384765625,204974,1456149.5,4638,176,29.5,0.0055,820000
10360776704.0,16280,73.12982940673828,-99821.4996503,2164.973388671875,207474,792090.0,4698,176,3.0,0.0055,830000
5960292352.0,18609,45.38921356201172,-99695.49768377001,772.6569213867188,209974,499988.59375,4758,176,3.0,0.0055,840000
3174705664.0,21910,-102.2615737915039,-99625.30237947,1196.7520751953125,212474,279401.34375,4818,176,3.0,0.0055,850000
2263552512.0,24397,-51.987789154052734,-100397.03363846001,2565.07958984375,214974,330706.09375,4878,176,3.0,0.0055,860000
211802095616.0,25503,-88.67057800292969,-463790.03124609997,24548.126953125,217474,912442.375,4938,176,24.05,0.0055,870000
21871681536.0,25676,28.577579498291016,-448342.89041454,7895.8642578125,219974,752592.5,4997,176,35.08,0.0055,880000
3224649984.0,28455,19.77667999267578,-99754.08417554,222.30406188964844,222474,420322.71875,5057,175,3.0,0.0055,890000
949635584.0,31788,13.842842102050781,-99627.94935395001,295.72833251953125,224974,267382.0,5117,175,3.0,0.0055,900000
380468768.0,35120,-14.438881874084473,-100001.32254200002,250.1736602783203,227474,145140.453125,5178,175,3.0,0.0055,910000
90049519616.0,37296,55.01255416870117,-557670.49203048,20370.490234375,229974,606584.6875,5237,175,24.76,0.0055,920000
3741749504.0,38357,38.78319549560547,-170452.95997292997,1373.1728515625,232474,355460.3125,5297,175,6.75,0.0055,930000
957942208.0,41691,12.285975456237793,-99744.04210319002,334.92535400390625,234974,209286.265625,5357,175,3.0,0.0055,940000
241368960.0,45024,5.467695713043213,-99745.91684929002,223.59242248535156,237474,176395.34375,5418,175,3.0,0.0055,950000
1830741376.0,48058,6.684348106384277,-100098.79917633001,355.87750244140625,239974,110985.671875,5478,175,3.09,0.0055,960000
39597289472.0,48927,-31.485309600830078,-1511779.07673607,12584.3759765625,242474,1205038.125,5537,175,73.07,0.0055,970000
197350653952.0,49245,-25.002349853515625,-1020798.9569948801,47960.37890625,244974,1904699.375,5598,175,46.76,0.0055,980000
21298812928.0,50099,6.942368030548096,-106718.93897105,1810.0247802734375,247474,879041.4375,5658,174,3.79,0.0055,990000
6424974336.0,51679,-19.41181182861328,-107210.06153481,3580.06787109375,249974,832319.0,5719,174,4.43,0.0055,1000000
