train/critic_loss,time/episodes,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/actor_loss,time/time_elapsed,time/fps,rollout/ep_len_mean,train/learning_rate,time/total_timesteps
43623944.0,187,-322.0971374511719,-118600.49947354998,111.65418243408203,2474,45548.73046875,55,181,25.82,0.0055,10000
66773536.0,281,59.15745544433594,-2013424.23614329,612.6084594726562,4974,201215.125,109,182,102.44,0.0055,20000
72697984.0,502,34.608604431152344,-94275.08245678998,258.9660339355469,7474,99665.328125,164,182,53.54,0.0055,30000
19934150.0,546,17.400611877441406,-127945.78907352999,111.69161987304688,9974,65763.875,219,182,128.12,0.0055,40000
38882356.0,577,13.046645164489746,-110956.39831862999,52.287109375,12474,19227.16796875,274,182,191.39,0.0055,50000
87152432.0,616,5.614193916320801,-146563.70255177,35.23542785644531,14974,2671.11474609375,328,182,264.79,0.0055,60000
46180992.0,662,3.7326457500457764,-153486.42025341,21.671791076660156,17474,-12284.5849609375,381,183,260.01,0.0055,70000
14583172.0,737,0.6027553081512451,-65109.83272559,22.95122528076172,19974,-8745.244140625,436,183,150.92,0.0055,80000
9803023.0,846,6.441708564758301,-82188.97884085,25.167572021484375,22474,-9376.4560546875,491,183,71.97,0.0055,90000
16313621.0,907,-0.7331056594848633,-14782.93032433,25.401203155517578,24974,-17013.875,545,183,131.44,0.0055,100000
107908936.0,980,-3.0336694717407227,-5745.40297607,26.76596450805664,27474,-24748.84375,600,183,154.19,0.0055,110000
7397784.5,1020,4.088089466094971,33049.44080815,28.292701721191406,29974,-15500.921875,654,183,178.85,0.0055,120000
12744004.0,1151,-2.1433913707733154,72493.44611569,25.10056495666504,32474,-9618.8525390625,709,183,56.87,0.0055,130000
10849114.0,1250,8.737571716308594,88580.01431617,32.98079299926758,34974,-12681.111328125,763,183,112.99,0.0055,140000
10981318.0,1426,0.18485701084136963,114254.7997289,33.98117446899414,37474,-20935.8828125,818,183,53.56,0.0055,150000
8582052.0,1506,-17.381532669067383,96388.94992413999,33.17816162109375,39974,-14673.521484375,871,183,91.11,0.0055,160000
11743601.0,1769,-9.196852684020996,130790.37801603001,23.93548583984375,42474,-19066.806640625,925,183,32.95,0.0055,170000
26471196.0,2022,12.017705917358398,36125.92215513001,65.2734603881836,44974,-25609.671875,979,183,38.19,0.0055,180000
14455607.0,2135,17.324806213378906,83573.56047453001,85.41035461425781,47474,-19761.48828125,1033,183,93.91,0.0055,190000
6906448.0,2420,-2.601621389389038,133335.46330205002,31.75092887878418,49974,-43892.546875,1087,183,21.58,0.0055,200000
42475292.0,2601,5.953237056732178,-364238.94785816997,86.45428466796875,52474,-18169.30859375,1141,184,72.84,0.0055,210000
8051969.0,2870,-1.1770007610321045,127025.06447607,41.973976135253906,54974,-42652.390625,1194,184,51.14,0.0055,220000
11966326.0,3248,-0.9798007011413574,128774.17609698001,43.18754959106445,57474,-47325.015625,1248,184,21.32,0.0055,230000
18738714.0,3618,-1.5161553621292114,132655.51689073,56.462623596191406,59974,-53165.63671875,1300,184,23.55,0.0055,240000
19190316.0,3773,2.1523327827453613,-75505.92780691998,56.00127410888672,62474,-27291.3984375,1353,184,50.63,0.0055,250000
8150810.5,4009,-1.3652162551879883,124623.87598886,23.72443199157715,64974,-53100.7578125,1405,184,60.49,0.0055,260000
25304596.0,4232,5.673994064331055,89275.39159926999,35.97743606567383,67474,-34890.11328125,1458,185,38.02,0.0055,270000
8024950.0,4474,3.2846951484680176,127064.23735163,30.8553409576416,69974,-31436.337890625,1510,185,26.51,0.0055,280000
35155604.0,4611,19.14667320251465,-257194.94233549,103.12348175048828,72474,-16886.87890625,1563,185,91.01,0.0055,290000
23943870.0,4878,3.355644702911377,101437.28358869,50.25695037841797,74974,-19096.697265625,1615,185,39.1,0.0055,300000
13568924.0,5229,1.144538164138794,133361.3,44.07297897338867,77474,-41517.76171875,1668,185,20.75,0.0055,310000
11724661.0,5599,0.8107815980911255,133365.15798257,38.929317474365234,79974,-58654.390625,1721,185,20.49,0.0055,320000
