train/ent_coef,train/critic_loss,train/actor_loss,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,time/fps,train/learning_rate,time/episodes
51.5885124206543,138676592.0,33519.8125,10000,18,-93.29046630859375,18.22,2474,-245374.41156238999,545,0.0055,572
96.44621276855469,103838640.0,44977.828125,20000,36,5.5886993408203125,38.02,4974,-98614.88399784999,542,0.0055,957
81.2612533569336,101742904.0,11559.044921875,30000,55,3.774111270904541,26.63,7474,65989.93709286,540,0.0055,1305
68.11312866210938,45623684.0,-25510.03515625,40000,74,4.593676567077637,19.65,9974,126510.05655621,539,0.0055,1776
56.49930191040039,167882928.0,-60070.0546875,50000,92,-1.6850297451019287,16.62,12474,118111.46719595,539,0.0055,2339
54.14765548706055,37483788.0,-65568.53125,60000,111,-2.491607904434204,14.74,14974,116026.53362121,538,0.0055,2970
74.59416198730469,58313728.0,-56838.52734375,70000,130,-30.650070190429688,13.65,17474,45960.51138678999,538,0.0055,3612
54.46248245239258,25208832.0,-67882.359375,80000,148,5.89068078994751,12.61,19974,132064.1,538,0.0055,4290
75.6059799194336,22051828.0,-61733.05078125,90000,167,8.947612762451172,15.34,22474,116829.78088143999,537,0.0055,4927
58.58668899536133,19089036.0,-72726.171875,100000,186,7.847611427307129,12.46,24974,133460.72278928,537,0.0055,5657
43.544166564941406,80919456.0,-72603.625,110000,204,4.388388633728027,12.13,27474,129077.42182402,537,0.0055,6443
46.89389419555664,14874895.0,-73170.84375,120000,223,0.24901986122131348,12.33,29974,131265.74134468997,537,0.0055,7223
38.98501205444336,9946443.0,-79117.421875,130000,242,-0.6125760674476624,11.35,32474,133499.99053548,537,0.0055,7984
43.09682083129883,19587262.0,-78893.2734375,140000,260,-1.9998143911361694,11.33,34974,133509.7030835,536,0.0055,8817
58.830352783203125,22366480.0,-60405.1875,150000,279,-3.0271663665771484,16.54,37474,22634.4911618,536,0.0055,9536
51.03468704223633,14199662.0,-78730.53125,160000,298,3.064521074295044,14.75,39974,128716.17744936999,536,0.0055,10332
85.90055847167969,23051846.0,-70107.71875,170000,316,7.3363142013549805,13.72,42474,122497.49955834002,536,0.0055,10977
96.27490997314453,17706674.0,-68171.1328125,180000,335,12.106548309326172,12.86,44974,131034.95018822,536,0.0055,11683
171.25466918945312,48222936.0,-57897.62890625,190000,354,24.649776458740234,16.01,47474,80818.33213355999,536,0.0055,12375
66.3944091796875,23189428.0,-78986.515625,200000,372,6.9004292488098145,11.13,49974,133528.61846925,536,0.0055,13191
62.677433013916016,18837700.0,-76852.328125,210000,391,11.962672233581543,10.83,52474,133442.41901947,536,0.0055,13904
154.16287231445312,43161600.0,-47547.8203125,220000,410,36.590003967285156,10.91,54974,130911.4,536,0.0055,14603
545.150146484375,98980432.0,-18393.427734375,230000,428,26.559904098510742,21.28,57474,-136517.13141492,536,0.0055,15182
58.12810134887695,97103232.0,-77012.953125,240000,447,7.391476631164551,10.08,59974,133572.37441858998,536,0.0055,16031
101.83831024169922,27731178.0,-63566.3125,250000,465,22.987560272216797,13.3,62474,133389.47455237003,536,0.0055,16662
