time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/delta_std,train/step_size,train/iterations,rollout/return_std
4415,-19884857.6352555,1000.0,2,10000,,,,,
4419,-19822098.146343,1000.0,4,20000,,,,,
4334,-19843044.817391146,1000.0,6,30000,,,,,
4356,-19828948.38671122,1000.0,9,40000,,,,,
4368,-19796875.86975783,1000.0,11,50000,,,,,
4399,-19767065.217566643,1000.0,13,60000,,,,,
4400,-19832754.147075,1000.0,15,70000,0.0018,0.05,1.4828204220052044e-09,0,151737.859375
4404,-19864132.243683,1000.0,18,80000,,,,,
4406,-19757463.292025667,1000.0,20,90000,,,,,
4409,-19788730.567191623,1000.0,22,100000,,,,,
4410,-19746665.36696782,1000.0,24,110000,,,,,
4406,-18357954.221662857,929.5714285714286,27,120000,,,,,
4407,-19939840.0,1000.0,29,130000,0.0018,0.05,4.574717687999552e-11,1,4918336.0
4408,-19895428.534964997,1000.0,31,140000,,,,,
4419,-19791531.3671255,1000.0,33,150000,,,,,
4429,-17595991.892053775,890.2222222222222,36,160000,,,,,
4430,-18154780.846631918,917.6666666666666,38,170000,,,,,
4431,-18405734.1825885,929.4285714285714,40,180000,,,,,
4416,-19605932.933529,1000.0,43,190000,0.0018,0.05,4.562264802054905e-11,2,4931761.0
4417,-19589194.311176334,1000.0,45,200000,,,,,
4399,-19730773.165543,1000.0,47,210000,,,,,
4407,-19733075.2145895,1000.0,49,220000,,,,,
4408,-19722632.135903545,1000.0,52,230000,,,,,
4410,-19731821.31282054,1000.0,54,240000,,,,,
4411,,,56,250000,0.0018,0.05,1.174798258674059e-09,3,191522.234375
4411,-13313742.406661334,672.0,58,260000,,,,,
4412,-16507759.5311115,836.0,61,270000,,,,,
4413,-17322972.230190247,877.0,63,280000,,,,,
4414,-17968029.386885453,910.5454545454545,65,290000,,,,,
4409,-16978932.286276426,860.5,68,300000,,,,,
4411,-19354636.369803,1000.0,70,310000,0.0018,0.05,3.3590605991173916e-11,4,6698301.5
4412,-19642733.291154664,1000.0,72,320000,,,,,
4412,-16952153.683940712,859.1428571428571,74,330000,,,,,
4413,-17560018.731210217,890.4444444444445,77,340000,,,,,
4413,-16721439.64544092,848.3846153846154,79,350000,,,,,
4414,-17144446.448078997,868.6,81,360000,,,,,
4414,-19782688.044161998,1000.0,83,370000,0.0018,0.05,3.346828369998889e-11,5,6722782.5
4418,-19767993.113075,1000.0,85,380000,,,,,
4419,-19780914.637103144,1000.0,88,390000,,,,,
4420,-17829671.4261224,902.1,90,400000,,,,,
4421,-18271697.82247846,924.6923076923077,92,410000,,,,,
4421,-18479045.446147997,934.7333333333333,94,420000,,,,,
4422,-19923732.4748425,1000.0,97,430000,0.0018,0.05,4.577398529659327e-11,6,4915455.5
4422,-19856286.407057248,1000.0,99,440000,,,,,
4423,-19820538.322936285,1000.0,101,450000,,,,,
4423,-19806116.671837553,1000.0,103,460000,,,,,
4426,-19788961.266957503,1000.0,106,470000,,,,,
4427,-19815120.225272786,1000.0,108,480000,,,,,
4427,-19751209.605124,1000.0,110,490000,0.0018,0.05,2.134485477256476e-09,7,105411.8125
4427,-19677070.288348,1000.0,112,500000,,,,,
4431,-19696290.58013617,1000.0,115,510000,,,,,
4431,-19692280.75287775,1000.0,117,520000,,,,,
4431,-19731443.844278637,1000.0,119,530000,,,,,
4431,-18312491.318754997,930.0714285714286,121,540000,,,,,
4432,-19880772.182018,1000.0,124,550000,0.0018,0.05,4.5837986184515955e-11,8,4908592.5
4432,-19875639.00628167,1000.0,126,560000,,,,,
4432,-19881533.53217017,1000.0,128,570000,,,,,
4432,-19849325.901637875,1000.0,130,580000,,,,,
4433,-19834140.047128636,1000.0,133,590000,,,,,
4434,-19818572.780338846,1000.0,135,600000,,,,,
4435,,,137,610000,0.0018,0.05,1.8304538995650432e-09,9,122920.3203125
4426,-19815617.930293,1000.0,140,620000,,,,,
4426,-16539865.613704167,835.8333333333334,142,630000,,,,,
4426,-17350045.859565876,876.875,144,640000,,,,,
4427,-18035807.487524636,910.4545454545455,146,650000,,,,,
