time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/iterations,train/step_size,train/delta_std,rollout/return_std
1815,840000,671.6,462,-33154373.042110797,,,,,
1815,850000,1000.0,468,-49525133.125933,0.0018,22,9.505357438654993e-12,0.05,23670862.0
1815,860000,670.5,473,-33110639.317012165,,,,,
1815,870000,752.875,479,-37210156.73638388,,,,,
1815,880000,696.3846153846154,484,-34386636.723665625,,,,,
1815,890000,,490,,0.0018,23,9.52487394512147e-12,0.05,23622358.0
1815,900000,506.3333333333333,495,-25035689.30914734,,,,,
1815,910000,510.2,501,-25169315.8700782,,,,,
1815,920000,28.5,506,-692134.8309515,0.0018,24,8.814152532843345e-12,0.05,25527128.0
1815,930000,301.14285714285717,512,-14543720.301291002,,,,,
1815,940000,428.25,517,-20927955.23713217,,,,,
1815,950000,509.92857142857144,523,-25049607.198074,,,,,
1815,960000,505.5,528,-24988654.9465335,0.0018,25,8.930963607545195e-12,0.05,25193248.0
1815,970000,752.75,534,-37249039.308778,,,,,
1815,980000,550.0909090909091,539,-27178112.465724636,,,,,
1815,990000,538.4666666666667,545,-26594598.65801053,,,,,
1815,1000000,216.6,550,-10377268.205505,0.0018,26,8.8653095281499e-12,0.05,25379824.0
1815,1010000,413.1,556,-20163215.5744446,,,,,
1815,1020000,510.9166666666667,561,-25090683.305324417,,,,,
