train/critic_loss,time/total_timesteps,train/actor_loss,time/episodes,train/learning_rate,time/fps,rollout/ep_rew_mean,train/ent_coef_loss,rollout/ep_len_mean,train/n_updates,time/time_elapsed,train/ent_coef
4328.7236328125,10000,85975.3671875,271,0.0064,136,-205888.72806893996,4.002169132232666,29.44,2474,73,62.277244567871094
3642.028076171875,20000,58658.78125,459,0.0064,134,-156472.42321734,-3.9798583984375,59.42,4974,148,46.826080322265625
2879.52392578125,30000,36319.73046875,510,0.0064,134,-199290.75438834005,-0.6346570253372192,123.53,7474,223,36.46031188964844
2435.661376953125,40000,20193.68359375,520,0.0064,134,-214937.66107464,-3.252683401107788,221.18,9974,298,19.92876434326172
1488.4599609375,50000,11979.12890625,535,0.0064,133,-214907.14331044,-1.6847107410430908,327.47,12474,374,14.823980331420898
1378.399658203125,60000,9189.9228515625,568,0.0064,133,-161962.42085802,-0.6847144365310669,367.76,14974,449,9.902311325073242
1313.5113525390625,70000,6082.4462890625,579,0.0064,133,-161043.20061824,1.4371252059936523,471.75,17474,525,5.830517292022705
727.5277709960938,80000,1495.257568359375,652,0.0064,132,-107862.00856371,-0.8641757965087891,247.08,19974,602,2.3616600036621094
567.1289672851562,90000,882.0191650390625,815,0.0064,132,-115732.55419097001,-1.302201271057129,57.31,22474,678,2.4547641277313232
1297.9925537109375,100000,818.9293212890625,893,0.0064,132,-153779.12248717,3.1997780799865723,104.18,24974,755,3.6475117206573486
658.8785400390625,110000,239.28968811035156,974,0.0064,132,-158155.42140845,0.3809419572353363,161.83,27474,831,2.5041310787200928
1009.8155517578125,120000,1104.6085205078125,1075,0.0064,132,-141373.09076403998,-1.9501365423202515,93.08,29974,906,3.6676015853881836
978.1058959960938,130000,1732.0447998046875,1160,0.0064,132,-132656.87099537,-0.02737000584602356,126.57,32474,982,4.284130573272705
926.8216552734375,140000,996.4130859375,1201,0.0064,132,-109117.40589888,-1.6635915040969849,143.26,34974,1058,4.6927714347839355
1275.3095703125,150000,1671.032958984375,1239,0.0064,132,-101028.33752967,-2.3106167316436768,217.03,37474,1133,3.7274301052093506
590.471435546875,160000,831.1458740234375,1257,0.0064,132,-101557.00279562999,0.06224663555622101,288.07,39974,1208,2.267821788787842
570.5255737304688,170000,796.0369262695312,1331,0.0064,132,-28422.150317919994,0.76817387342453,219.49,42474,1284,2.1155242919921875
