rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/n_updates,train/ent_coef,train/learning_rate,train/actor_loss,rollout/ep_len_mean,time/time_elapsed,train/ent_coef_loss,time/fps,train/critic_loss
-231471.73974436,10000,750,2474,36.22614288330078,0.0064,143062.359375,12.79,81,-7.1682448387146,123,4535.70361328125
-92159.17775364,20000,1183,4974,21.320850372314453,0.0064,250983.53125,4.83,163,-5.134438514709473,122,6092.8876953125
