train/n_updates,train/critic_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef_loss,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,train/actor_loss
2474,4069.4013671875,-3809115.5578485555,131,76,36,0.0003,-1.1206278800964355,10000,234.55555555555554,1.3349528312683105,155231.0625
4974,3828.259033203125,-4141356.492943217,126,158,74,0.0003,-7.868807792663574,20000,234.94594594594594,2.853783369064331,347217.15625
7474,4668.80615234375,-5266994.570446109,126,236,109,0.0003,-2.549940347671509,30000,285.21,4.879342555999756,529358.8125
9974,5827.1904296875,-6666276.735761259,125,318,118,0.0003,-2.5609257221221924,40000,362.75,7.688209056854248,683290.625
12474,6580.2099609375,-1107647.8451431398,125,397,287,0.0003,2.3655219078063965,50000,56.01,14.832624435424805,798039.6875
14974,9584.09765625,-2032329.3526371205,124,480,396,0.0003,-7.026190757751465,60000,102.86,19.46871566772461,912367.375
17474,13976.283203125,-1687457.7575314196,124,561,497,0.0003,-12.714838981628418,70000,85.34,36.08182144165039,1016950.5
19974,13755.111328125,-1697608.97274829,124,640,592,0.0003,-4.189645767211914,80000,85.29,69.37054443359375,1106734.25
22474,20575.849609375,-506175.4313368501,125,719,752,0.0003,-4.880231857299805,90000,25.9,87.40586853027344,1166304.0
24974,26541.453125,-316792.1137847,124,801,1118,0.0003,-5.8935322761535645,100000,16.54,164.7313995361328,1227743.5
27474,28682.828125,-1647828.8897890798,125,879,1185,0.0003,4.597635746002197,110000,83.49,126.29026794433594,1303477.5
29974,20401.6875,-1939416.34835529,124,960,1301,0.0003,-0.762421190738678,120000,97.64,81.89714813232422,1350649.0
32474,21761.65234375,-98278.72926326998,125,1038,2016,0.0003,0.9965519309043884,130000,5.19,121.0692138671875,1387776.125
34974,23140.552734375,-1287278.48038247,125,1116,2235,0.0003,3.823720932006836,140000,64.71,68.5467300415039,1447214.125
37474,17512.0234375,-3067475.4518768503,125,1198,2248,0.0003,-2.4955012798309326,150000,154.25,45.593605041503906,1555739.5
39974,21311.390625,-5046582.64033757,125,1277,2258,0.0003,-5.96495246887207,160000,253.75,42.83921432495117,1603128.375
42474,29510.564453125,-6816387.094752001,125,1354,2268,0.0003,0.47739553451538086,170000,343.3,41.758819580078125,1628485.125
44974,28955.6796875,-8767639.407397991,125,1436,2278,0.0003,-2.222010612487793,180000,442.8,35.6606559753418,1637376.75
47474,32975.03125,-10713477.628615981,125,1514,2288,0.0003,2.7267441749572754,190000,542.3,35.20695114135742,1753858.75
49974,28547.0859375,-12453447.12856978,125,1591,2302,0.0003,3.1077184677124023,200000,631.85,50.6231575012207,1874774.375
52474,35568.34375,-96998.15265405999,125,1674,3362,0.0003,-2.1184728145599365,210000,5.0,67.60691833496094,1783672.0
54974,35065.5625,-96553.76697342997,125,1752,5362,0.0003,-0.7697988152503967,220000,5.0,97.14347839355469,1735619.625
57474,47229.953125,-96535.41249401998,125,1831,7362,0.0003,-3.252364158630371,230000,5.0,95.91165161132812,1530638.75
59974,40078.2109375,-93781.70229415003,125,1912,9362,0.0003,-1.7335026264190674,240000,5.0,99.27816772460938,1559168.375
62474,40542.0703125,-94412.26699904999,125,1991,11360,0.0003,-1.9553046226501465,250000,5.01,108.19056701660156,1516881.625
64974,27960.30859375,-886423.07632348,125,2071,12212,0.0003,-0.6598344445228577,260000,44.94,132.95863342285156,1502355.875
67474,28851.3984375,-2712392.1154027795,125,2152,12238,0.0003,1.5283230543136597,270000,138.56,94.65914154052734,1435128.75
69974,26154.236328125,-4695210.97715436,125,2232,12248,0.0003,0.7776633501052856,280000,238.03,98.1958236694336,1461396.0
72474,22601.314453125,-6594806.06521248,125,2312,12290,0.0003,0.006696969270706177,290000,339.48,99.00071716308594,1342080.5
74974,24383.490234375,-6821618.234415439,125,2395,12323,0.0003,-1.0770049095153809,300000,353.97,86.43403625488281,1300396.0
77474,19144.640625,-7841920.34900463,125,2475,12337,0.0003,-0.9066298007965088,310000,420.21,116.29956817626953,1426678.5
79974,21729.779296875,-7419884.124922371,125,2555,12348,0.0003,-4.0973639488220215,320000,400.52,78.48554992675781,1397174.25
82474,21833.015625,-7807615.71225759,125,2639,12368,0.0003,2.5867085456848145,330000,417.2,69.74819946289062,1538590.0
84974,20520.671875,-9508002.92308537,125,2719,12385,0.0003,-1.3661251068115234,340000,501.72,71.55970764160156,1595461.625
87474,22236.921875,-10308699.469235428,125,2798,12402,0.0003,-0.06719851493835449,350000,541.5,62.18207931518555,1454732.25
89974,21031.669921875,-8890540.77141028,124,2882,12441,0.0003,-0.38122057914733887,360000,466.3,71.3279800415039,1579626.0
92474,19594.83984375,-3074350.0298658395,124,2961,12505,0.0003,-2.685469627380371,370000,186.22,65.07133483886719,1593491.875
94974,20893.8359375,-2080897.7711399102,124,3041,12570,0.0003,0.7925299406051636,380000,127.6,62.765480041503906,1662426.25
97474,21794.552734375,-2550118.5988041996,124,3126,12644,0.0003,-2.5017309188842773,390000,154.15,72.10238647460938,1672480.25
99974,24582.19921875,-116542.53092402,124,3206,13050,0.0003,0.7299153804779053,400000,6.91,94.79026794433594,1712963.5
102474,20424.166015625,-97107.38908360002,124,3286,14674,0.0003,0.7429966926574707,410000,5.0,103.3959732055664,1682749.0
104974,23782.03515625,-97073.34731096998,124,3371,16304,0.0003,-0.024364978075027466,420000,5.0,108.47359466552734,1648643.0
107474,22961.734375,-96910.32828343,124,3451,17878,0.0003,-1.736689567565918,430000,5.0,121.96025085449219,1579612.125
109974,22979.775390625,-97107.48787259003,124,3531,19546,0.0003,-0.3371426463127136,440000,5.09,142.480224609375,1592943.5
112474,19053.576171875,-487993.53347890003,124,3615,20100,0.0003,1.8596782684326172,450000,25.41,144.65682983398438,1538638.5
114974,25599.021484375,-2595452.1760959695,124,3695,20162,0.0003,1.6085176467895508,460000,135.04,148.42214965820312,1470417.125
117474,15879.7900390625,-2954585.37594282,124,3775,20224,0.0003,0.2992555797100067,470000,168.27,142.3921356201172,1428990.25
119974,16002.369140625,-2183209.52993428,124,3858,20285,0.0003,-0.7145234942436218,480000,147.02,131.30833435058594,1496318.75
122474,16784.23046875,-1631981.49753469,124,3939,20387,0.0003,-1.1001200675964355,490000,115.24,136.89781188964844,1535283.25
124974,14713.4853515625,-1905376.4972383701,124,4017,20429,0.0003,-0.41985538601875305,500000,126.48,131.7399444580078,1523755.5
127474,13990.1015625,-97209.13295465,124,4098,20889,0.0003,-2.596956491470337,510000,5.19,122.00422668457031,1431887.875
129974,14367.1201171875,-96506.18628424,124,4182,22767,0.0003,-0.8349220752716064,520000,5.0,122.76456451416016,1441777.0
