train/learning_rate,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/critic_loss,rollout/ep_rew_mean,train/actor_loss
0.0003,1.592311978340149,-2.5477473735809326,164,22,60,375.09090909090907,10000,2474,3796.315185546875,-6024623.251873819,154053.5625
0.0003,3.3237266540527344,-8.9827299118042,164,34,121,554.5,20000,4974,3550.02001953125,-9797808.170114413,359992.0
0.0003,6.091774940490723,-9.835918426513672,167,43,178,647.7441860465116,30000,7474,3641.830078125,-11472001.00719386,510910.375
0.0003,14.211114883422852,-19.09636878967285,167,54,238,704.5925925925926,40000,9974,5158.39990234375,-11675587.353619982,606218.1875
0.0003,22.045455932617188,-4.061432361602783,166,80,299,603.05,50000,12474,5325.88916015625,-9671890.361716438,686565.9375
0.0003,27.548065185546875,-2.0279746055603027,165,92,361,643.1086956521739,60000,14974,6803.158203125,-10201747.362737728,770033.0
0.0003,33.22393798828125,-3.209441661834717,165,101,423,670.39,70000,17474,7974.88671875,-10658012.05665831,855629.375
0.0003,52.68317413330078,-0.033418506383895874,165,136,484,579.34,80000,19974,9628.6259765625,-8904470.44258797,920593.875
0.0003,44.73805236816406,0.5609115362167358,164,153,545,514.86,90000,22474,12889.7578125,-8011608.95640051,1017814.8125
0.0003,51.244354248046875,-0.754539430141449,164,171,607,518.54,100000,24974,13969.548828125,-8147524.38867365,1084122.125
0.0003,78.9753189086914,0.5713649392127991,164,180,668,596.07,110000,27474,15585.0048828125,-9678543.023832262,1145097.125
0.0003,112.65181732177734,-1.045365571975708,164,191,730,606.85,120000,29974,19094.931640625,-10400163.29314774,1233842.0
0.0003,122.85749816894531,1.619929552078247,164,200,792,616.64,130000,32474,17932.53125,-10919052.06838376,1269742.5
0.0003,143.3338623046875,3.018676280975342,164,211,853,696.03,140000,34974,18734.068359375,-12652509.31125728,1381414.0
0.0003,172.3304901123047,-1.6582229137420654,164,220,914,765.06,150000,37474,22777.41015625,-14169041.200427748,1444612.25
0.0003,217.559326171875,0.33101117610931396,164,231,974,839.8,160000,39974,28612.1328125,-15755540.543416625,1470313.625
0.0003,238.01754760742188,2.4938600063323975,164,240,1034,874.68,170000,42474,27788.521484375,-16527270.27022097,1573483.5
0.0003,236.50730895996094,0.11371370404958725,164,252,1095,903.52,180000,44974,31077.1484375,-17420247.78520567,1589040.375
0.0003,241.3551483154297,2.069077968597412,164,282,1156,773.82,190000,47474,27677.39453125,-15420002.47182353,1672466.0
0.0003,222.0165557861328,2.843984603881836,164,295,1216,752.31,200000,49974,31910.212890625,-14980870.302161692,1734182.625
0.0003,229.31700134277344,0.24135324358940125,164,304,1276,752.31,210000,52474,25677.919921875,-14978578.52306316,1831009.0
0.0003,209.65139770507812,0.5853765606880188,164,324,1336,663.31,220000,54974,22140.716796875,-13198488.919468798,1864040.75
0.0003,215.01739501953125,2.2160658836364746,164,336,1397,633.62,230000,57474,24497.7734375,-12614937.449264279,1919860.0
0.0003,215.12887573242188,0.42920902371406555,164,347,1458,633.62,240000,59974,30436.16015625,-12437074.560239542,1886298.75
0.0003,207.0189666748047,0.02637997269630432,164,356,1519,643.53,250000,62474,23285.693359375,-12223860.50493227,1947709.875
0.0003,206.63522338867188,1.589094638824463,164,374,1579,710.65,260000,64974,23487.71875,-12832269.480053237,1934797.25
0.0003,260.691162109375,1.0316582918167114,164,405,1641,612.86,270000,67474,28124.96875,-9946454.51328378,1909024.0
0.0003,265.0884094238281,0.2495225965976715,164,419,1703,625.06,280000,69974,26811.234375,-9865527.71585623,1861497.5
0.0003,167.14706420898438,1.308428406715393,164,448,1765,484.05,290000,72474,24334.9609375,-6596493.81888081,1865120.375
0.0003,117.63697814941406,1.794128656387329,164,669,1826,17.31,300000,74974,20311.556640625,-225612.54966319996,1779431.375
0.0003,99.73019409179688,-2.749828815460205,164,783,1888,80.09,310000,77474,24154.1015625,-758614.12464865,1722875.75
0.0003,130.2840576171875,1.2144172191619873,164,823,1950,122.91,320000,79974,23444.658203125,-1473356.3884975999,1688610.0
