rollout/ep_rew_mean,train/entropy_loss,train/std,time/time_elapsed,train/learning_rate,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/value_loss,train/policy_loss,train/explained_variance,time/fps
-1602330.8098119232,-21.284740447998047,1.0000903606414795,6,0.0001,10000,106.73626373626374,124,5746941952.0,-1490348.125,-4.291534423828125e-06,1613
-1694058.23327131,-21.290395736694336,1.0004408359527588,12,0.0001,20000,111.73,249,7695977472.0,-1705433.0,-9.5367431640625e-06,1630
-1660302.5894851598,-21.289613723754883,1.00033700466156,18,0.0001,30000,110.57,374,7271658496.0,-1720965.25,1.9669532775878906e-06,1634
-1377188.9452598998,-21.28944969177246,1.0003468990325928,25,0.0001,40000,93.48,499,8584673792.0,-1840625.25,-3.814697265625e-06,1587
-1591694.4201706103,-21.289505004882812,1.0003587007522583,32,0.0001,50000,109.1,624,6409804288.0,-1616964.375,-5.960464477539062e-07,1531
-1315235.00548876,-21.286415100097656,1.0001524686813354,40,0.0001,60000,88.56,749,7211836928.0,-1698503.25,-2.1457672119140625e-06,1494
-1268861.89354783,-21.28947639465332,1.0003634691238403,47,0.0001,70000,85.8,874,5303940096.0,-1457113.625,-5.960464477539062e-07,1470
-1538604.3436137596,-21.29165267944336,1.000503420829773,55,0.0001,80000,106.36,999,6055952384.0,-1556768.75,-1.1920928955078125e-07,1453
-1510725.03472709,-21.293638229370117,1.0006520748138428,62,0.0001,90000,105.11,1124,6198755328.0,-1531428.875,0.0,1440
-1625908.1916833005,-21.29301643371582,1.0005682706832886,69,0.0001,100000,113.35,1249,6296411648.0,-1620906.875,1.7881393432617188e-07,1429
-1518325.5141187597,-21.288673400878906,1.000346302986145,77,0.0001,110000,106.88,1374,5536902144.0,-1447773.375,0.0,1420
-1389409.8362411999,-21.282907485961914,0.9999181032180786,84,0.0001,120000,97.57,1499,5579811840.0,-1477819.75,0.0,1414
-1484967.1743947002,-21.277782440185547,0.9995982050895691,92,0.0001,130000,104.19,1624,8564602368.0,-1836108.375,0.0,1408
-1477215.69551738,-21.26936149597168,0.9990655779838562,99,0.0001,140000,104.14,1749,5185843200.0,-1393071.375,0.0,1404
-1347669.71447646,-21.27079963684082,0.9990950226783752,106,0.0001,150000,95.13,1874,6226492928.0,-1599902.25,0.0,1404
-1634944.49319749,-21.26671028137207,0.9988282322883606,112,0.0001,160000,116.19,1999,6007585280.0,-1381429.75,0.0,1417
