rollout/ep_rew_mean,train/entropy_loss,train/std,time/time_elapsed,train/learning_rate,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/value_loss,train/policy_loss,train/explained_variance,time/fps
-1276170.80847663,-21.265077590942383,0.9987232089042664,118,0.0001,170000,89.96,2124,5923116032.0,-1545170.25,0.0,1429
-1425762.7683620797,-21.25924301147461,0.9983699917793274,125,0.0001,180000,100.66,2249,5695365120.0,-1482419.75,0.0,1439
-1592298.4081419199,-21.266786575317383,0.9988746643066406,131,0.0001,190000,114.86,2374,6722075648.0,-1639853.75,0.0,1449
-1215948.9156429202,-21.269899368286133,0.9990321397781372,137,0.0001,200000,86.49,2499,5800711680.0,-1571112.625,-1.1920928955078125e-07,1458
-1301380.02932457,-21.269210815429688,0.9990357160568237,143,0.0001,210000,92.18,2624,5267203072.0,-1409720.875,0.0,1465
-1450891.00277468,-21.27230453491211,0.9992437362670898,149,0.0001,220000,103.17,2749,5872556032.0,-1484697.0,0.0,1473
-1533171.73218695,-21.270139694213867,0.9990979433059692,155,0.0001,230000,109.85,2874,8124591104.0,-1782249.75,0.0,1480
-1421536.3686647299,-21.275283813476562,0.9994147419929504,161,0.0001,240000,102.19,2999,5682221568.0,-1511856.75,0.0,1486
-1378158.02559808,-21.268543243408203,0.9990052580833435,167,0.0001,250000,98.86,3124,6596891648.0,-1565813.25,0.0,1492
-1230358.82637005,-21.270641326904297,0.999087929725647,173,0.0001,260000,88.85,3249,5640799232.0,-1531956.5,-1.1920928955078125e-07,1497
-1192343.3720592002,-21.273303985595703,0.9993177056312561,179,0.0001,270000,86.01,3374,7085585408.0,-1645764.75,-1.1920928955078125e-07,1502
-1431714.0974978,-21.27309799194336,0.9992813467979431,185,0.0001,280000,103.58,3499,5312136704.0,-1432756.25,-1.1920928955078125e-07,1507
-1078509.73815693,-21.27016830444336,0.9990704655647278,191,0.0001,290000,76.79,3624,5409020416.0,-1490850.25,0.0,1511
-1449106.8806442001,-21.270811080932617,0.9991604685783386,197,0.0001,300000,104.45,3749,4945860608.0,-1362825.25,-1.1920928955078125e-07,1515
-1418536.84149345,-21.274900436401367,0.9993597865104675,204,0.0001,310000,101.26,3874,6248519680.0,-1604510.0,0.0,1519
-1369514.44447036,-21.27294921875,0.9992778301239014,210,0.0001,320000,97.03,3999,6011942400.0,-1499299.25,0.0,1522
-1212381.7260374501,-21.27206802368164,0.9992349743843079,216,0.0001,330000,86.53,4124,7920208896.0,-1744404.75,-1.1920928955078125e-07,1525
-1400554.70212826,-21.267845153808594,0.9989429116249084,222,0.0001,340000,101.11,4249,6389159424.0,-1572254.0,0.0,1529
-1156354.9948753102,-21.266307830810547,0.9988388419151306,228,0.0001,350000,83.76,4374,5650089472.0,-1448893.375,0.0,1532
-1019159.1833908499,-21.263734817504883,0.9986313581466675,234,0.0001,360000,73.33,4499,5284243968.0,-1484462.375,0.0,1535
-1169072.72790279,-21.262643814086914,0.998655378818512,240,0.0001,370000,85.09,4624,5237877248.0,-1389726.875,0.0,1537
-1333506.46993659,-21.258520126342773,0.9983240365982056,246,0.0001,380000,96.54,4749,5538407936.0,-1466287.875,0.0,1540
-1075769.1679424103,-21.25241470336914,0.9979237914085388,252,0.0001,390000,77.4,4874,5985055744.0,-1541061.0,0.0,1542
-1135285.4985596598,-21.24931526184082,0.9977200627326965,258,0.0001,400000,82.26,4999,5475483136.0,-1445312.0,0.0,1544
-1224557.05910158,-21.25362777709961,0.9980390071868896,265,0.0001,410000,90.45,5124,4940137984.0,-1365381.75,0.0,1546
-1316055.87269105,-21.261415481567383,0.9985412359237671,271,0.0001,420000,98.02,5249,5434060288.0,-1433561.75,-1.1920928955078125e-07,1548
-1300085.4601344601,-21.26108741760254,0.9984760880470276,277,0.0001,430000,96.8,5374,5661277184.0,-1513851.75,0.0,1550
-1359527.70824229,-21.256250381469727,0.9982330799102783,283,0.0001,440000,100.45,5499,5690171392.0,-1435939.875,0.0,1552
-1352648.73070883,-21.25295066833496,0.9979097843170166,289,0.0001,450000,99.73,5624,6001370624.0,-1558777.75,0.0,1554
-1345701.6904633099,-21.248252868652344,0.9976540803909302,295,0.0001,460000,100.01,5749,5849511424.0,-1517380.25,1.1920928955078125e-07,1556
-1145213.25432433,-21.243019104003906,0.9972482919692993,301,0.0001,470000,82.83,5874,6171603456.0,-1589464.25,5.960464477539063e-08,1557
-1373219.89095311,-21.248123168945312,0.9976306557655334,307,0.0001,480000,101.77,5999,5758679040.0,-1516064.0,1.7881393432617188e-07,1559
-1353035.9296951997,-21.255287170410156,0.9980573058128357,313,0.0001,490000,100.24,6124,6465136128.0,-1641058.75,0.0,1561
-1309293.57608572,-21.257619857788086,0.9982801675796509,319,0.0001,500000,95.26,6249,6057499648.0,-1541854.5,1.1920928955078125e-07,1562
-950177.5639726801,-21.255870819091797,0.9981577396392822,327,0.0001,510000,69.67,6374,5367252992.0,-1407224.875,5.960464477539063e-08,1558
-1076246.25118015,-21.266334533691406,0.9988491535186768,334,0.0001,520000,78.92,6499,5187702272.0,-1462220.625,1.1920928955078125e-07,1553
-1278872.7253946702,-21.26394271850586,0.9986473321914673,342,0.0001,530000,95.71,6624,4921269248.0,-1412740.25,-1.1920928955078125e-07,1548
-1189392.0689191602,-21.263254165649414,0.9986950159072876,349,0.0001,540000,87.5,6749,6133026816.0,-1489612.5,0.0,1544
-1419108.8705996603,-21.2689208984375,0.9990262389183044,357,0.0001,550000,104.9,6874,4178334208.0,-1267520.75,-2.384185791015625e-07,1540
-1321064.59863016,-21.26235008239746,0.9986521601676941,364,0.0001,560000,99.1,6999,5971155456.0,-1478776.625,0.0,1536
-1332371.7915537797,-21.271360397338867,0.999212920665741,371,0.0001,570000,97.23,7124,5751299584.0,-1498629.5,0.0,1532
-1235395.69986698,-21.27134895324707,0.9991943836212158,379,0.0001,580000,90.37,7249,5336342528.0,-1440443.625,-2.384185791015625e-07,1528
-1377185.74868401,-21.264734268188477,0.9987738728523254,386,0.0001,590000,101.81,7374,5828770816.0,-1495137.25,0.0,1525
-1278169.33037684,-21.259994506835938,0.9984054565429688,394,0.0001,600000,94.54,7499,6244322304.0,-1589685.875,0.0,1521
-1181868.42680719,-21.25229263305664,0.9979403018951416,401,0.0001,610000,86.83,7624,4996256768.0,-1374991.75,0.0,1518
-1042317.7848789298,-21.24984359741211,0.9977600574493408,409,0.0001,620000,76.84,7749,4517948416.0,-1355946.0,0.0,1515
-1028662.40873103,-21.251136779785156,0.9978616833686829,416,0.0001,630000,76.51,7874,4865469952.0,-1396169.75,0.0,1512
-1163468.78962903,-21.250173568725586,0.9978000521659851,424,0.0001,640000,87.05,7999,6134142464.0,-1520915.0,0.0,1509
-1025740.0645508701,-21.249916076660156,0.9977495670318604,431,0.0001,650000,76.73,8124,5794015232.0,-1521532.875,0.0,1506
-1179207.71098565,-21.25380516052246,0.9979969263076782,438,0.0001,660000,88.77,8249,6169881600.0,-1569621.625,1.1920928955078125e-07,1503
-1170954.7155416098,-21.25096321105957,0.9978552460670471,446,0.0001,670000,88.03,8374,4836213760.0,-1358457.25,1.1920928955078125e-07,1500
-1165148.2614215398,-21.255332946777344,0.9981157183647156,453,0.0001,680000,87.74,8499,4581127168.0,-1371032.75,0.0,1498
-1256776.9404304097,-21.252389907836914,0.9979755282402039,461,0.0001,690000,94.59,8624,5379820032.0,-1391207.625,0.0,1495
-1046923.0182058299,-21.253700256347656,0.9980171322822571,468,0.0001,700000,78.6,8749,5133044736.0,-1421525.0,0.0,1492
-1189519.2989957603,-21.24970817565918,0.9977562427520752,476,0.0001,710000,89.48,8874,5245097472.0,-1470232.0,0.0,1490
-1202203.15603457,-21.250076293945312,0.9977568984031677,483,0.0001,720000,90.74,8999,5662239232.0,-1510872.375,0.0,1488
-1275872.68179187,-21.25374984741211,0.9980573058128357,491,0.0001,730000,96.01,9124,4968588288.0,-1373427.75,1.1920928955078125e-07,1485
-1190839.76917764,-21.252822875976562,0.9979425072669983,498,0.0001,740000,89.91,9249,5517316096.0,-1508165.75,0.0,1483
-1258094.38137539,-21.249794006347656,0.9977391362190247,506,0.0001,750000,95.01,9374,5562896384.0,-1507926.75,1.1920928955078125e-07,1481
-1110267.31531971,-21.25394058227539,0.998048722743988,513,0.0001,760000,83.14,9499,5173880320.0,-1427659.25,1.1920928955078125e-07,1479
-1201192.8057301901,-21.25721549987793,0.9982563257217407,521,0.0001,770000,91.24,9624,4585321984.0,-1338263.5,1.7881393432617188e-07,1477
-1093092.87231357,-21.259756088256836,0.9984253644943237,528,0.0001,780000,82.21,9749,5238829056.0,-1419065.25,1.7881393432617188e-07,1475
-1071534.02112822,-21.265003204345703,0.9987600445747375,536,0.0001,790000,80.36,9874,5251561472.0,-1450020.25,-1.1920928955078125e-07,1473
-1067704.97668069,-21.258913040161133,0.9983752369880676,543,0.0001,800000,79.24,9999,5414472704.0,-1475032.25,-1.1920928955078125e-07,1471
-1241447.57481054,-21.26279067993164,0.9986604452133179,551,0.0001,810000,93.43,10124,4590059008.0,-1317602.25,0.0,1469
-1147741.3006814201,-21.268503189086914,0.9990301728248596,558,0.0001,820000,85.73,10249,5425316352.0,-1444579.625,0.0,1467
-1058753.4535976998,-21.27286148071289,0.9992836117744446,566,0.0001,830000,79.86,10374,5429093888.0,-1490395.0,0.0,1466
-1111909.36799891,-21.26755142211914,0.9989610910415649,573,0.0001,840000,83.33,10499,5499212800.0,-1455480.25,-1.1920928955078125e-07,1464
-964820.7502208,-21.269174575805664,0.9990575909614563,580,0.0001,850000,72.62,10624,5620158464.0,-1491290.375,0.0,1465
-1211369.9926041502,-21.267078399658203,0.9989230036735535,586,0.0001,860000,92.12,10749,4658152960.0,-1385488.25,-1.1920928955078125e-07,1467
-1022901.03123708,-21.271129608154297,0.999176561832428,591,0.0001,870000,76.87,10874,4405831680.0,-1342452.75,0.0,1469
-913240.3211568301,-21.27439308166504,0.9994235634803772,597,0.0001,880000,68.77,10999,5115241984.0,-1398189.375,0.0,1472
-1068195.29131937,-21.27001953125,0.9991397857666016,603,0.0001,890000,80.19,11124,4523076608.0,-1353101.0,0.0,1474
-1118128.60502046,-21.27768325805664,0.9996280670166016,609,0.0001,900000,85.19,11249,4692174336.0,-1393567.75,-1.1920928955078125e-07,1476
-940041.1833425799,-21.280691146850586,0.9998401999473572,615,0.0001,910000,70.32,11374,6526553088.0,-1568034.875,0.0,1479
-898008.24667986,-21.279064178466797,0.9997116923332214,621,0.0001,920000,67.33,11499,4849505280.0,-1431997.5,2.384185791015625e-07,1481
-1061774.3965404,-21.279911041259766,0.999795138835907,626,0.0001,930000,79.94,11624,5586859008.0,-1463057.25,-1.1920928955078125e-07,1483
-984189.45790936,-21.27692985534668,0.999578595161438,632,0.0001,940000,74.62,11749,7082324992.0,-1687458.375,0.0,1485
-962155.74261671,-21.278213500976562,0.9996546506881714,638,0.0001,950000,73.47,11874,5556611584.0,-1502378.25,0.0,1487
-1139247.7767410702,-21.281007766723633,0.9998711347579956,644,0.0001,960000,87.15,11999,5122614784.0,-1418623.25,1.1920928955078125e-07,1489
-1019324.4514089599,-21.292869567871094,1.0006413459777832,650,0.0001,970000,77.56,12124,4368980992.0,-1343569.0,5.960464477539063e-08,1491
-1128104.9627757503,-21.29207992553711,1.0006452798843384,655,0.0001,980000,87.06,12249,5617793024.0,-1465106.75,1.7881393432617188e-07,1493
-999719.0860357799,-21.300216674804688,1.0011554956436157,661,0.0001,990000,76.59,12374,4397204480.0,-1318359.25,0.0,1495
-1028506.10332324,-21.299049377441406,1.001046895980835,667,0.0001,1000000,78.3,12499,5456731136.0,-1483274.0,0.0,1497
