time/time_elapsed,train/clip_fraction,time/total_timesteps,train/clip_range,train/n_updates,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/loss,train/std,time/fps,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,train/approx_kl,train/policy_gradient_loss
6,7.32421875e-05,10000,0.2,10,-397458.27828939393,0.0003,2424930556.5,1080892032.0,1.0007625818252563,1499,141.6969696969697,4.76837158203125e-07,-8.515878889709711,0.0012374627,-0.00209577319019445
13,0.0,20000,0.2,20,-433514.76137007005,0.0003,2382198078.1,1146038400.0,1.0005333423614502,1521,154.52,-1.1920928955078125e-07,-8.517484378814697,0.0005859282,-0.0011260664192377589
19,0.0,30000,0.2,30,-475610.33667679,0.0003,2051234960.3,1173756928.0,0.9998598694801331,1530,182.09,0.0,-8.514817760139703,0.00079694076,-0.001329719872910573
25,0.0,40000,0.2,40,-459411.1463433201,0.0003,2116613745.7,929529856.0,0.9996674656867981,1546,185.42,0.0,-8.512282126396894,0.0008341941,-0.0012812570716050687
35,0.0,50000,0.2,60,-447534.21352217003,0.0003,1949218910.4,992980224.0,0.9991469383239746,1411,185.71,0.0,-8.50894148722291,0.00051229796,-0.0011183703658389278
41,0.0,60000,0.2,70,-410874.04405804,0.0003,1860860280.6,953318144.0,0.9986212849617004,1438,168.83,0.0,-8.506849063187838,0.0011318296,-0.0013727919103985187
48,0.0,70000,0.2,80,-441767.20845822996,0.0003,2150219241.7,914203136.0,0.998744010925293,1453,178.96,-1.1920928955078125e-07,-8.505645054578782,0.0009728676,-0.001698282524739625
54,7.32421875e-05,80000,0.2,90,-413194.76066581,0.0003,1981640283.7,1129733376.0,0.9989181160926819,1467,167.99,0.0,-8.506621694564819,0.0014854734,-0.0017893193433337728
60,0.0,90000,0.2,100,-388259.76531661,0.0003,1869085086.0,987355136.0,0.9990183711051941,1476,159.76,-1.1920928955078125e-07,-8.507401272654533,0.00067859015,-0.0012442586508768726
70,0.0,100000,0.2,120,-370865.89797346,0.0003,1908399980.3,736481280.0,0.9980064034461975,1410,156.14,0.0,-8.502958443015814,0.00058560213,-0.001042096987566765
77,0.0,110000,0.2,130,-401778.2059001201,0.0003,1827486831.2,837316736.0,0.9979827404022217,1423,174.75,0.0,-8.501533918082714,0.0006722261,-0.0010093560529639944
83,0.0,120000,0.2,140,-377880.12565334,0.0003,1728687151.9,861714816.0,0.9967462420463562,1432,165.19,0.0,-8.497854486107826,0.000901961,-0.001353185571042559
90,1.220703125e-05,130000,0.2,150,-366758.73606624996,0.0003,1923816143.1,778309952.0,0.9970809817314148,1440,155.93,0.0,-8.4950791567564,0.0010977432,-0.0014289002268924379
100,0.0,140000,0.2,170,-345219.46565804,0.0003,1852520340.1,977456576.0,0.9960945248603821,1392,147.64,-1.1920928955078125e-07,-8.490738323330879,0.000785051,-0.0010020025229096063
107,1.220703125e-05,150000,0.2,180,-318461.03957651,0.0003,1643556330.45,821442176.0,0.9953117370605469,1400,143.32,1.1920928955078125e-07,-8.487660834938287,0.0012904856,-0.0013100407263664238
113,0.0,160000,0.2,190,-335935.9258812,0.0003,1667774700.45,984801536.0,0.9949581027030945,1406,153.57,0.0,-8.484293504059314,0.0005595655,-0.0009339073752926197
120,2.44140625e-05,170000,0.2,200,-340373.50974117,0.0003,1599430290.05,827398272.0,0.994530200958252,1413,162.83,0.0,-8.481884654611349,0.0010557559,-0.0011315356901832273
126,0.0,180000,0.2,210,-316237.94000751,0.0003,1593188813.7,865012864.0,0.9942615032196045,1417,143.44,0.0,-8.479642134159803,0.00061624905,-0.0009479473324063292
137,4.8828125e-05,190000,0.2,230,-311887.29222663003,0.0003,1399120707.75,844477952.0,0.9926655888557434,1385,148.08,0.0,-8.472878986597062,0.0012269282,-0.0013313313623257272
143,0.0003173828125,200000,0.2,240,-322557.18440056,0.0003,1467774421.55,509708640.0,0.9918496012687683,1391,154.11,0.0,-8.466789726167917,0.0019133264,-0.001658609410878853
150,0.0,210000,0.2,250,-296624.37193231,0.0003,1655465303.25,681701120.0,0.9918696880340576,1395,138.59,-1.1920928955078125e-07,-8.464243350923061,0.0011040589,-0.0011856052213261136
157,0.0020263671875,220000,0.2,260,-269617.31399873,0.0003,1485201257.35,740236352.0,0.991169273853302,1400,135.73,0.0,-8.462237064540385,0.0031693461,-0.002427521069694194
167,0.00010986328125,230000,0.2,280,-254016.01158773003,0.0003,1634904463.9,875079552.0,0.9906354546546936,1373,114.72,0.0,-8.457524137198925,0.0015013844,-0.0013508152662325302
174,0.0,240000,0.2,290,-243841.53094584003,0.0003,1519234266.9,923671616.0,0.9903575778007507,1378,121.32,0.0,-8.455859036743641,0.0004225823,-0.0007654353648831602
181,0.0,250000,0.2,300,-271137.28513092,0.0003,1520504979.8,896308608.0,0.9904706478118896,1381,136.03,-1.1920928955078125e-07,-8.455437339097262,0.0006826107,-0.00101513291201627
187,0.0,260000,0.2,310,-286765.79803931,0.0003,1525901418.8,655725120.0,0.9898046851158142,1387,138.2,1.1920928955078125e-07,-8.453775493055582,0.00087766966,-0.0009466990684813936
194,0.0001220703125,270000,0.2,320,-262762.75322165,0.0003,1552957322.7,989779712.0,0.9894550442695618,1390,120.69,0.0,-8.450816791504622,0.0013638348,-0.001129200771356409
204,0.00013427734375,280000,0.2,340,-243261.05806679002,0.0003,1481824519.55,717052352.0,0.9878669381141663,1368,125.4,0.0,-8.44196085333824,0.0016222103,-0.0012732222196063959
211,1.220703125e-05,290000,0.2,350,-257005.13637654,0.0003,1323456714.45,762491584.0,0.9871042370796204,1370,132.14,-1.1920928955078125e-07,-8.437418374419213,0.001262073,-0.001363692162249208
218,0.0,300000,0.2,360,-239851.41717763,0.0003,1517518323.6,556377280.0,0.9870497584342957,1374,120.6,0.0,-8.434939213097095,0.0012927182,-0.0010016028343670768
225,0.0,310000,0.2,370,-248452.12791545002,0.0003,1538844434.25,893512320.0,0.9865819811820984,1377,125.79,0.0,-8.433313444256783,0.0008833634,-0.0009102627464017132
235,0.0,320000,0.2,390,-222118.81512463998,0.0003,1550937411.1,712271680.0,0.9852826595306396,1356,110.56,0.0,-8.426180761307478,0.00062356645,-0.0007874486541368242
242,1.220703125e-05,330000,0.2,400,-227411.03986989,0.0003,1418588290.7,873905024.0,0.9847264885902405,1359,116.34,0.0,-8.422009615600109,0.0010752836,-0.0010631640907377005
249,3.662109375e-05,340000,0.2,410,-223468.31271500004,0.0003,1432251706.85,722239168.0,0.9850707650184631,1362,118.73,0.0,-8.421365328878164,0.0010680484,-0.0008841834443956032
256,0.0,350000,0.2,420,-230266.05710953,0.0003,1485116312.75,876106688.0,0.9844477772712708,1366,116.09,0.0,-8.420553492754697,0.000807756,-0.0007639284764081822
263,0.00013427734375,360000,0.2,430,-256291.26893018998,0.0003,1440957150.6,595739712.0,0.9841800332069397,1368,132.59,0.0,-8.41786060333252,0.0014903002,-0.0009912698902553529
273,0.0015380859375,370000,0.2,450,-244417.24444648,0.0003,1399819857.05,815276608.0,0.9832777976989746,1352,139.38,1.1920928955078125e-07,-8.413559969514608,0.002613029,-0.001950781359209941
279,9.765625e-05,380000,0.2,460,-219559.12545189998,0.0003,1379304316.05,722942848.0,0.9828715324401855,1357,127.63,0.0,-8.409954715520144,0.0015766453,-0.0013947093772003426
286,0.0001220703125,390000,0.2,470,-197802.23922807002,0.0003,1349265701.1,608965120.0,0.9828760623931885,1360,105.76,0.0,-8.408627597987651,0.0013952433,-0.0009809688000132154
293,0.003271484375,400000,0.2,480,-202752.77678513003,0.0003,1484427399.1,769866624.0,0.9833992123603821,1364,120.85,0.0,-8.410376327484846,0.0033013695,-0.0024323354935404497
303,0.00687255859375,410000,0.2,500,-196100.83781223997,0.0003,1356838491.55,544024768.0,0.982120931148529,1350,109.11,1.1920928955078125e-07,-8.406586001068353,0.0040063327,-0.0027599561281022034
310,0.0036865234375,420000,0.2,510,-216677.26133405,0.0003,1320264165.4,634180416.0,0.9807412624359131,1354,121.12,0.0,-8.399879831820726,0.0033435985,-0.002305520092841107
316,0.0006591796875,430000,0.2,520,-226438.50368998,0.0003,1286912265.7,785321152.0,0.9801643490791321,1359,132.69,0.0,-8.393561128526926,0.0022325646,-0.0015543921390417381
322,0.01632080078125,440000,0.2,530,-203889.20327882998,0.0003,1246394741.3,831117888.0,0.980496346950531,1362,130.54,0.0,-8.393090402334929,0.0048194863,-0.004025019577420607
329,0.00177001953125,450000,0.2,540,-200038.90077985998,0.0003,1212140099.95,550903296.0,0.9799254536628723,1365,122.8,0.0,-8.391607504338026,0.0024637934,-0.0013219656604633201
339,0.00052490234375,460000,0.2,560,-180996.8330911,0.0003,1377205422.75,776359680.0,0.9778860211372375,1354,101.53,-1.1920928955078125e-07,-8.378833673894405,0.0018115257,-0.0010775913306133589
345,0.00328369140625,470000,0.2,570,-190868.6579764,0.0003,1401066691.7,596745920.0,0.9779675006866455,1358,109.45,0.0,-8.377899122238158,0.0032024942,-0.001955739629192976
352,0.0,480000,0.2,580,-198225.60963018,0.0003,1261031618.9,556633344.0,0.9786126017570496,1361,112.94,0.0,-8.379752261936664,0.0010985641,-0.0007675203891267301
358,0.002197265625,490000,0.2,590,-174144.31709040995,0.0003,1352767924.45,598452928.0,0.9776319861412048,1365,110.37,0.0,-8.379004848003387,0.0027724693,-0.0016968965626801946
368,2.44140625e-05,500000,0.2,610,-186091.44925335996,0.0003,1150835190.85,703475584.0,0.9771771430969238,1355,121.25,1.1920928955078125e-07,-8.370739974081516,0.0011418872,-0.0007869627248510369
375,0.003955078125,510000,0.2,620,-180894.80665831,0.0003,1356356245.15,685444160.0,0.9767165780067444,1359,105.79,0.0,-8.371651132404804,0.003409967,-0.002575353134307079
381,3.662109375e-05,520000,0.2,630,-172229.16398155998,0.0003,1305329579.0,684684608.0,0.9764761924743652,1362,119.03,0.0,-8.369312463700771,0.0013632891,-0.0009556356146276813
388,0.00052490234375,530000,0.2,640,-179792.35224514,0.0003,1148279988.825,601013760.0,0.9757439494132996,1365,113.95,0.0,-8.366211162507534,0.0022278046,-0.0014185909421939868
394,0.00185546875,540000,0.2,650,-208770.39704076998,0.0003,1231616434.25,728032640.0,0.9751687049865723,1368,129.47,0.0,-8.36248063966632,0.002547309,-0.0013928251117249601
404,0.0032470703125,550000,0.2,670,-166248.82716798002,0.0003,1064830625.225,370578272.0,0.9717417359352112,1359,121.05,0.0,-8.345948629826307,0.0032028204,-0.0020870647895208094
411,0.0006591796875,560000,0.2,680,-158988.01919276,0.0003,1122768820.65,213992032.0,0.9714159369468689,1362,113.29,1.1920928955078125e-07,-8.338145449757576,0.0020124693,-0.001068038846278796
417,0.0055419921875,570000,0.2,690,-160409.26307755001,0.0003,1174888974.35,534969760.0,0.9712669849395752,1365,117.36,0.0,-8.336852106451989,0.003641612,-0.002430474541415606
424,0.01072998046875,580000,0.2,700,-175315.2519905,0.0003,1103035287.125,543459392.0,0.97084641456604,1367,118.01,0.0,-8.335116129368544,0.0036190671,-0.0024180230966521776
435,0.01080322265625,590000,0.2,720,-173969.16121576997,0.0003,1202500278.5,472108576.0,0.96868896484375,1356,113.08,0.0,-8.3225891135633,0.0037752744,-0.002343694404225971
442,0.00421142578125,600000,0.2,730,-171470.0051424,0.0003,1124276334.825,604504576.0,0.9695385098457336,1356,123.81,0.0,-8.323027101159095,0.0028388714,-0.0014486197394035117
449,0.014208984375,610000,0.2,740,-158838.48129752002,0.0003,1126477627.125,510896000.0,0.9688417315483093,1357,121.26,0.0,-8.32342120707035,0.0042521693,-0.0025306363764684646
456,0.00482177734375,620000,0.2,750,-156728.18023477,0.0003,1135155273.45,613767936.0,0.9687415957450867,1358,108.17,0.0,-8.320951261371373,0.0029612235,-0.0016904980362596688
463,0.0131591796875,630000,0.2,760,-162185.53225502002,0.0003,1201517303.3,666097664.0,0.96797114610672,1358,113.79,0.0,-8.317871516942978,0.004202041,-0.0031421749505170737
475,0.002685546875,640000,0.2,780,-166361.97847939,0.0003,1205854620.5,740147136.0,0.9680518507957458,1347,114.78,5.960464477539063e-08,-8.315601180493832,0.002733228,-0.0017560466376380646
482,0.00653076171875,650000,0.2,790,-173746.94545814,0.0003,1170818377.125,427909504.0,0.9670493602752686,1347,117.55,1.1920928955078125e-07,-8.312459754943848,0.0033351956,-0.0018673123318876605
489,0.0035400390625,660000,0.2,800,-182399.40697195998,0.0003,1207091816.05,604993728.0,0.9662827849388123,1348,123.15,0.0,-8.30709566771984,0.0031151976,-0.0017955269688172848
