time/time_elapsed,train/clip_fraction,time/total_timesteps,train/clip_range,train/n_updates,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/loss,train/std,time/fps,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,train/approx_kl,train/policy_gradient_loss
496,0.01185302734375,670000,0.2,810,-147602.21388204998,0.0003,1097834280.825,683716928.0,0.9656221270561218,1348,113.34,0.0,-8.302604094147682,0.0038870564,-0.00242067588314967
508,0.004296875,680000,0.2,830,-162227.54925006,0.0003,1012711160.425,464912320.0,0.9638387560844421,1338,126.51,0.0,-8.293196900188923,0.003336355,-0.0020852748441939186
515,0.0237060546875,690000,0.2,840,-138628.27838719002,0.0003,1094033508.9,558385344.0,0.9622564315795898,1338,120.5,0.0,-8.28469663336873,0.004376224,-0.0036939459108907614
522,0.01361083984375,700000,0.2,850,-119363.94540052999,0.0003,1140105744.275,512472736.0,0.960599422454834,1339,107.11,5.960464477539063e-08,-8.274241014569998,0.004208643,-0.002596051049658854
529,0.00184326171875,710000,0.2,860,-138717.97970987,0.0003,1144786585.925,640220352.0,0.9606758952140808,1341,109.52,0.0,-8.269200411438941,0.002434635,-0.0012638145406526746
536,0.0166748046875,720000,0.2,870,-138132.58483285,0.0003,1142183393.9,625832704.0,0.9595463275909424,1343,113.02,5.960464477539063e-08,-8.265734765678644,0.0046430836,-0.0031170778831437927
546,0.00997314453125,730000,0.2,890,-134700.32462164998,0.0003,1165859022.85,587129984.0,0.9580493569374084,1335,108.99,0.0,-8.25702007636428,0.0036899326,-0.0018087311364070047
553,0.01529541015625,740000,0.2,900,-123464.85573796001,0.0003,1093246021.85,393519328.0,0.9568910002708435,1336,110.85,0.0,-8.249242343753576,0.0041425875,-0.002840862556331558
560,0.00538330078125,750000,0.2,910,-123712.18831673,0.0003,1166486125.05,613303936.0,0.9552145600318909,1337,96.48,5.960464477539063e-08,-8.240348498523236,0.0029732285,-0.0015337465508309834
567,0.010546875,760000,0.2,920,-122837.42465819001,0.0003,1247747929.85,677260288.0,0.9551704525947571,1338,108.13,5.960464477539063e-08,-8.235112273693085,0.0032000884,-0.0016879097838682355
574,0.005859375,770000,0.2,930,-124446.48859388001,0.0003,1099237471.175,584890816.0,0.9533085823059082,1340,107.54,0.0,-8.228741517663002,0.0032301904,-0.0019638003741420107
584,0.02598876953125,780000,0.2,950,-100197.47435849,0.0003,983286843.825,350632256.0,0.9521316885948181,1335,112.88,0.0,-8.214994003623724,0.0047689537,-0.004066478660024586
590,0.006298828125,790000,0.2,960,-136572.86849592003,0.0003,1146636778.225,778372992.0,0.9514398574829102,1338,110.95,0.0,-8.212795528769494,0.0031696549,-0.002370507597879623
596,0.02657470703125,800000,0.2,970,-121561.90514817,0.0003,1050142833.525,616017664.0,0.9520494341850281,1341,111.09,0.0,-8.212744526565075,0.0046202242,-0.0036326060183455413
602,0.00960693359375,810000,0.2,980,-115686.97040283,0.0003,1090125555.1,589438720.0,0.9515236020088196,1344,107.07,0.0,-8.21258922740817,0.0035154356,-0.0024891701668821042
612,0.0172119140625,820000,0.2,1000,-131822.68715516,0.0003,1084623764.575,382799040.0,0.9492765069007874,1339,114.47,0.0,-8.196956453472376,0.0039523095,-0.00262590439106134
618,0.01309814453125,830000,0.2,1010,-99963.39458685002,0.0003,1027917796.325,610049600.0,0.9478356242179871,1341,108.49,5.960464477539063e-08,-8.19197645112872,0.003642499,-0.0024945776649474283
624,0.01859130859375,840000,0.2,1020,-126485.61785067,0.0003,952929004.675,511213248.0,0.9470778107643127,1344,136.12,0.0,-8.18467832505703,0.0038862498,-0.002855055202053336
631,0.01497802734375,850000,0.2,1030,-102841.53711981,0.0003,988692925.9,455583712.0,0.9445865750312805,1346,125.22,0.0,-8.1734185308218,0.0039704945,-0.002460642555888626
637,0.0293701171875,860000,0.2,1040,-113268.42083139998,0.0003,912259229.85,398827712.0,0.9437945485115051,1349,107.46,0.0,-8.163529109954833,0.0052194055,-0.0032315451111571748
647,0.009228515625,870000,0.2,1060,-103991.19053564999,0.0003,991425276.475,291016256.0,0.9432274699211121,1344,107.72,-1.1920928955078125e-07,-8.158847158402205,0.003457038,-0.0016561158172407886
653,0.0216552734375,880000,0.2,1070,-110499.58130122999,0.0003,1052750393.375,526885312.0,0.9413569569587708,1346,115.36,0.0,-8.150072160363198,0.0043865587,-0.003868150146172411
659,0.01507568359375,890000,0.2,1080,-97941.52514320998,0.0003,984829265.125,613688384.0,0.9396276473999023,1349,115.26,-1.1920928955078125e-07,-8.137955022603274,0.0040077204,-0.0033880219190905335
665,0.0723388671875,900000,0.2,1090,-86358.60427903,0.0003,1018193238.6,578775424.0,0.9384617805480957,1351,100.2,5.960464477539063e-08,-8.130147233605385,0.008103878,-0.0016341202723197056
675,0.0188720703125,910000,0.2,1110,-96430.73882731,0.0003,1030586621.25,391069312.0,0.9364449977874756,1346,104.14,0.0,-8.11463367268443,0.004052299,-0.0030824453863715464
681,0.0131103515625,920000,0.2,1120,-104462.94291612001,0.0003,1055236344.925,593316160.0,0.9350123405456543,1349,112.91,0.0,-8.106485132128,0.003515111,-0.0028437720124202316
688,0.0467041015625,930000,0.2,1130,-94185.09229908,0.0003,924413191.175,555381952.0,0.9357199668884277,1351,122.3,0.0,-8.104809879511595,0.0045125955,-0.00386872888502694
694,0.02423095703125,940000,0.2,1140,-95820.55485389,0.0003,1043699867.6,621506432.0,0.9351575374603271,1353,112.83,0.0,-8.104291889816523,0.004880558,-0.0038780081487857386
700,0.0302490234375,950000,0.2,1150,-97323.16248312999,0.0003,965708408.9,470403424.0,0.9358609318733215,1355,112.58,0.0,-8.105316293984652,0.0046472573,-0.0034324843356444033
710,0.04490966796875,960000,0.2,1170,-86952.09122459,0.0003,927875750.425,435170528.0,0.9338807463645935,1351,114.66,0.0,-8.095687413215638,0.0036709455,-0.0020834243112403785
716,0.009130859375,970000,0.2,1180,-101408.58755461,0.0003,951258802.4,471686496.0,0.932370662689209,1353,114.18,0.0,-8.088313807547092,0.00336369,-0.0020559688777211705
722,0.3897705078125,980000,0.2,1190,-207819.87894827005,0.0003,987338798.475,479246432.0,0.9311186671257019,1356,149.13,0.0,-8.078599238395691,0.72992086,0.09269150482105033
728,0.00013427734375,990000,0.2,1200,-398550.63924233,0.0003,2830846218.7,1025013312.0,0.93107670545578,1358,212.75,0.0,-8.074729303270578,0.0014927962,-0.0035860495589986386
738,0.02723388671875,1000000,0.2,1220,-613177.65483556,0.0003,1566309867.85,653045056.0,0.9311623573303223,1354,302.38,0.0,-8.074855313450097,0.006955846,-0.007388513257683371
