train/learning_rate,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,time/total_timesteps,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/std,train/clip_range,time/fps,train/clip_fraction
0.0017,10,9,63.0,-0.005051050603105978,-1.5497207641601562e-06,-920116.6271180898,10000,28214160555.2,14305989632.0,-17.05173378586769,0.004868471,1.0039418935775757,0.2,1000,0.01546630859375
0.0017,20,19,66.18,-0.003505531332848477,1.1920928955078125e-07,-959525.45940332,20000,27291648105.6,13724654592.0,-17.097802130877973,0.0039383466,1.0077484846115112,0.2,1003,0.00709228515625
0.0017,30,29,53.01,-0.0029016179060818103,0.0,-775617.5296692296,30000,27274738396.8,14280157184.0,-17.139640513062478,0.0036937115,1.0109943151474,0.2,1005,0.00733642578125
0.0017,40,39,51.56,-0.0026389554819616023,0.0,-756795.1736002399,40000,27212084502.4,12662295552.0,-17.176479518413544,0.00316566,1.0139639377593994,0.2,1005,0.00350341796875
0.0017,60,54,49.45,-0.0030423903808696195,-1.1920928955078125e-07,-716005.4048488099,50000,26031319532.8,13418186752.0,-17.25589176416397,0.0036224767,1.020945429801941,0.2,918,0.00478515625
0.0017,70,64,58.58,-0.0035647085497657826,-1.1920928955078125e-07,-845257.5634576699,60000,26974367481.6,12938079232.0,-17.296543192863464,0.0040652454,1.0243401527404785,0.2,931,0.00726318359375
0.0017,80,74,57.96,-0.002796938557366957,1.1920928955078125e-07,-835031.6753879199,70000,25651872548.8,12485286912.0,-17.337977866828442,0.0034294294,1.0280808210372925,0.2,941,0.0045166015625
0.0017,90,84,55.06,-0.0030086106100498,0.0,-800408.81354675,80000,26097699286.4,12924516352.0,-17.379280351102352,0.0036954838,1.0314024686813354,0.2,948,0.00550537109375
0.0017,100,94,56.74,-0.0034719293054877197,-1.1920928955078125e-07,-815779.22992278,90000,26357179606.4,13194577920.0,-17.418726378679274,0.0040672133,1.0348647832870483,0.2,954,0.008154296875
0.0017,120,109,54.66,-0.0031233821773639647,1.1920928955078125e-07,-782209.0950533599,100000,25068067787.2,13388809216.0,-17.502000699937344,0.004020571,1.042065978050232,0.2,916,0.0071044921875
0.0017,130,119,61.42,-0.0019140094043905264,0.0,-859368.44311449,110000,25072252702.4,12699839488.0,-17.54366230517626,0.0021980803,1.0458875894546509,0.2,923,0.00093994140625
0.0017,140,129,55.22,-0.0027041787724556344,-1.1920928955078125e-07,-792548.27428286,120000,23917868428.8,12735668224.0,-17.5877357468009,0.003334525,1.0496909618377686,0.2,929,0.00474853515625
0.0017,150,139,50.99,-0.0017772764551409637,0.0,-725982.1691327399,130000,25715900108.8,12217628672.0,-17.629205422103404,0.0016699536,1.0531811714172363,0.2,934,0.0005859375
0.0017,170,153,58.51,-0.002957128674370324,-2.384185791015625e-07,-826887.5430348298,140000,24631453547.2,13363039232.0,-17.712494669854642,0.0036070258,1.0604509115219116,0.2,909,0.00494384765625
0.0017,180,164,44.46,-0.0037472550015081652,1.1920928955078125e-07,-643715.0046089699,150000,23295888388.8,12157223936.0,-17.751345095038413,0.0046625026,1.0638482570648193,0.2,914,0.01199951171875
0.0017,190,174,53.01,-0.0018360329471761362,0.0,-749975.7154764201,160000,23659368185.6,12379867136.0,-17.791976185142993,0.00181195,1.0677095651626587,0.2,919,0.0009033203125
0.0017,200,184,45.41,-0.0016978991508949548,-1.1920928955078125e-07,-657289.74318321,170000,24191795145.6,12873612288.0,-17.834798274934293,0.0018817438,1.0715135335922241,0.2,923,0.00074462890625
0.0017,210,194,50.77,-0.0018239526501929505,0.0,-719425.9281215098,180000,24045796475.2,12636592128.0,-17.871596191823482,0.002472221,1.0742990970611572,0.2,926,0.00103759765625
0.0017,230,208,60.67,-0.0012750258526466496,1.1920928955078125e-07,-850309.9125487899,190000,24663344972.8,12408711168.0,-17.946941883862017,0.0013411707,1.0813761949539185,0.2,909,0.00030517578125
0.0017,240,219,43.8,-0.0032864175418581,0.0,-631660.72032558,200000,23876980750.4,13230360576.0,-17.98830296099186,0.0038671743,1.0853270292282104,0.2,913,0.00594482421875
0.0017,250,229,51.28,-0.0020697080575700967,-2.384185791015625e-07,-714947.8861499899,210000,23044464625.6,12121228288.0,-18.025957940518857,0.002388898,1.0882598161697388,0.2,916,0.00130615234375
0.0017,260,239,47.14,-0.0025311559806141305,1.1920928955078125e-07,-669517.77467669,220000,22467675166.4,12109814784.0,-18.064068897068502,0.0028224385,1.0922412872314453,0.2,919,0.00218505859375
0.0017,280,254,50.84,-0.0018861911206840888,-1.1920928955078125e-07,-712278.54342098,230000,23410015016.0,11534100480.0,-18.156426122784616,0.0018022537,1.1007906198501587,0.2,904,0.0005859375
0.0017,290,264,43.52,-0.002274284086888656,0.0,-621788.4439191701,240000,22749872022.4,11898814464.0,-18.201188699901103,0.001640995,1.1047991514205933,0.2,907,0.000537109375
