train/critic_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/ent_coef,train/n_updates,train/actor_loss,time/fps,time/episodes,time/time_elapsed,train/ent_coef_loss,rollout/ep_rew_mean
5076.763671875,10000,26.35,0.0064,57.91879653930664,2474,89179.1015625,141,296,70,-1.494981050491333,-211678.19794963003
4463.73876953125,20000,87.38,0.0064,50.17345428466797,4974,46374.8828125,139,431,143,-1.8510892391204834,-125909.99698304999
2686.29345703125,30000,166.59,0.0064,30.954267501831055,7474,28852.234375,139,445,215,-4.16210412979126,-126897.65843390998
1933.9969482421875,40000,261.37,0.0064,14.322089195251465,9974,13536.0,139,455,287,1.4234727621078491,-117562.51694844998
1453.1156005859375,50000,356.14,0.0064,8.990784645080566,12474,11523.75390625,138,471,359,-1.4774689674377441,-112913.67847254002
1409.759765625,60000,399.23,0.0064,6.407258033752441,14974,9609.1953125,138,530,432,-4.584133148193359,-108541.86545515
1249.240478515625,70000,106.9,0.0064,4.997574806213379,17474,7501.71484375,138,596,504,0.43326571583747864,-42488.17243171
601.9376831054688,80000,108.54,0.0064,3.107023239135742,19974,748.861083984375,138,696,576,1.2356297969818115,113044.63789136
679.0156860351562,90000,77.31,0.0064,4.108403205871582,22474,-1167.541015625,138,839,649,-0.18769919872283936,73856.84688749
947.22412109375,100000,41.4,0.0064,5.859111785888672,24974,-3595.1689453125,138,1086,721,-0.4560371935367584,113345.09877493001
831.833251953125,110000,50.4,0.0064,8.344206809997559,27474,-5191.46923828125,138,1270,794,1.8789503574371338,82190.7477283
2404.14111328125,120000,98.29,0.0064,13.011068344116211,29974,-5889.23681640625,138,1374,867,-0.16516950726509094,-150033.68634237
3979.494873046875,130000,55.33,0.0064,31.36083984375,32474,-16486.83984375,138,1538,940,1.4194270372390747,-64802.33619606
4024.052978515625,140000,52.23,0.0064,48.176910400390625,34974,-25748.40234375,138,1665,1013,-1.7498245239257812,46217.65588473
3824.613037109375,150000,33.96,0.0064,44.608802795410156,37474,-32162.10546875,138,1911,1086,-3.634655714035034,59492.66300003
3630.21484375,160000,63.96,0.0064,43.60169219970703,39974,-35657.171875,138,2129,1159,-2.081686496734619,77648.82918521
2900.602783203125,170000,31.3,0.0064,43.995784759521484,42474,-35507.5390625,137,2401,1232,0.9052437543869019,107112.73278425001
2891.1240234375,180000,25.74,0.0064,44.47709274291992,44974,-36985.0546875,137,2743,1306,0.3705781102180481,124262.4085581
2506.372314453125,190000,21.72,0.0064,45.46601486206055,47474,-47147.640625,137,3103,1380,1.1488620042800903,132610.5
1944.860595703125,200000,20.52,0.0064,38.91215133666992,49974,-48657.5859375,137,3607,1454,-3.647813081741333,130833.52424533
1311.937255859375,210000,18.73,0.0064,37.68783187866211,52474,-58840.71484375,137,4134,1529,2.445803642272949,133138.2
1045.3406982421875,220000,18.13,0.0064,31.877120971679688,54974,-64842.98046875,137,4678,1604,3.057648181915283,132559.31146406
792.77001953125,230000,17.81,0.0064,30.435546875,57474,-66519.6171875,136,5234,1680,0.22597439587116241,133073.05095737
647.5528564453125,240000,17.36,0.0064,25.26275062561035,59974,-68324.65625,136,5806,1757,0.13934335112571716,133094.8
514.1600952148438,250000,17.34,0.0064,21.914033889770508,62474,-71910.3125,136,6376,1834,0.8865094780921936,131089.19684397
415.7676086425781,260000,16.59,0.0064,19.636892318725586,64974,-75934.5625,135,6970,1911,1.073337435722351,133123.8
413.30810546875,270000,17.15,0.0064,20.805418014526367,67474,-75424.4140625,135,7568,1990,-0.5467478036880493,129673.29629807001
469.8222961425781,280000,16.19,0.0064,18.61284637451172,69974,-75027.140625,135,8176,2069,2.875669479370117,133345.2
451.2709655761719,290000,16.24,0.0064,18.018726348876953,72474,-75085.890625,134,8786,2148,-1.4522494077682495,133339.55388671
452.007080078125,300000,16.45,0.0064,17.12129783630371,74974,-75906.3046875,134,9388,2229,-2.0042564868927,132616.8
534.4252319335938,310000,16.6,0.0064,19.317489624023438,77474,-76491.125,134,9984,2310,1.6466983556747437,131311.14166824
619.9954223632812,320000,23.09,0.0064,20.483051300048828,79974,-76157.625,133,10534,2392,4.05128812789917,122075.71231434
641.6356811523438,330000,18.96,0.0064,23.81789207458496,82474,-75155.40625,133,11103,2475,-2.469172954559326,130806.29677486
1115.7552490234375,340000,16.61,0.0064,21.8016300201416,84974,-73370.4609375,132,11674,2559,1.85843825340271,133315.68640987
827.6031494140625,350000,16.44,0.0064,22.75469207763672,87474,-76379.8515625,132,12288,2643,-2.572655200958252,132709.1
617.01611328125,360000,16.01,0.0064,20.627023696899414,89974,-73850.0703125,131,12912,2727,-3.1860203742980957,133338.9
612.0180053710938,370000,16.02,0.0064,19.229846954345703,92474,-75533.0703125,131,13533,2811,1.2697739601135254,133334.9
461.0285949707031,380000,15.94,0.0064,17.575613021850586,94974,-76011.625,131,14155,2895,1.5725696086883545,133343.5
781.4349975585938,390000,16.02,0.0064,14.937517166137695,97474,-76344.8828125,130,14781,2979,0.49574387073516846,133234.88874413
349.1902160644531,400000,15.87,0.0064,12.787829399108887,99974,-77097.859375,130,15408,3063,-1.467794418334961,129279.58990491
293.32354736328125,410000,15.74,0.0064,11.758756637573242,102474,-78493.375,130,16035,3148,2.884451150894165,131327.29826239002
466.3738708496094,420000,20.18,0.0064,13.06495475769043,104974,-77205.140625,129,16614,3232,-2.2686164379119873,100396.83516857999
489.31988525390625,430000,18.38,0.0064,15.254030227661133,107474,-76623.9375,129,17200,3317,-1.0762388706207275,119132.69064331999
626.3438720703125,440000,24.66,0.0064,19.935123443603516,109974,-74072.6875,129,17671,3403,1.2966630458831787,123531.62739305999
916.3247680664062,450000,18.9,0.0064,22.559158325195312,112474,-73879.109375,128,18224,3488,1.874013900756836,126429.88762745
1075.740478515625,460000,16.47,0.0064,21.09644317626953,114974,-71976.8046875,128,18834,3573,0.8784844875335693,133016.9
1081.597412109375,470000,16.52,0.0064,24.843992233276367,117474,-72681.4140625,128,19434,3658,4.60715913772583,133319.34521308
1326.35107421875,480000,16.81,0.0064,23.06712532043457,119974,-74218.6484375,128,20022,3743,1.4636082649230957,131789.42551562
1510.7801513671875,490000,25.9,0.0064,25.641164779663086,122474,-71359.4921875,127,20531,3828,-3.121121883392334,112243.15066350998
762.5245361328125,500000,15.93,0.0064,23.22397232055664,124974,-74077.3828125,127,21141,3913,1.040875792503357,133340.3
618.8272094726562,510000,16.44,0.0064,19.7897891998291,127474,-75169.984375,127,21761,3998,1.7141075134277344,132696.42911329
743.45556640625,520000,16.09,0.0064,20.843515396118164,129974,-75231.046875,127,22369,4083,-1.0281457901000977,126222.27580054998
764.4611206054688,530000,15.53,0.0064,18.80144500732422,132474,-76710.2265625,127,23005,4168,2.848487377166748,130244.21376957
765.4806518554688,540000,15.82,0.0064,18.588468551635742,134974,-75025.625,126,23640,4253,0.22916598618030548,132434.64256405
981.498046875,550000,16.25,0.0064,17.713701248168945,137474,-76292.765625,126,24267,4338,1.0988621711730957,131404.03682021
727.2412109375,560000,15.85,0.0064,17.024887084960938,139974,-77940.625,126,24902,4424,2.042858362197876,132828.87985562
768.7849731445312,570000,15.45,0.0064,17.800230026245117,142474,-76695.5234375,126,25545,4510,0.814865231513977,130794.54958172001
591.2337646484375,580000,15.82,0.0064,15.739137649536133,144974,-78062.0546875,126,26183,4595,1.29608154296875,132737.49001944
512.7368774414062,590000,15.64,0.0064,16.212133407592773,147474,-78156.984375,126,26822,4681,-3.793210029602051,129949.03668833
454.555419921875,600000,15.38,0.0064,15.820548057556152,149974,-78510.0703125,125,27461,4767,0.3540024757385254,133350.55696561
478.4000549316406,610000,15.48,0.0064,16.762012481689453,152474,-76893.65625,125,28093,4852,2.3396995067596436,132948.87731135
496.12298583984375,620000,15.5,0.0064,15.037211418151855,154974,-79343.859375,125,28737,4937,1.4617397785186768,131039.96993759001
458.324462890625,630000,15.35,0.0064,12.997011184692383,157474,-79556.390625,125,29383,5023,-0.6231532096862793,132754.74204734003
439.7203369140625,640000,15.33,0.0064,13.744904518127441,159974,-79139.078125,125,30036,5109,-2.0751988887786865,133050.4639584
396.2664794921875,650000,15.24,0.0064,12.70469856262207,162474,-79328.40625,125,30691,5195,1.285836935043335,132750.8
428.2833557128906,660000,16.41,0.0064,14.518038749694824,164974,-79015.8125,124,31341,5281,0.5073190927505493,121801.85064784
453.28924560546875,670000,15.57,0.0064,11.662771224975586,167474,-78873.3984375,124,31993,5368,-1.7103281021118164,131319.28329729
390.9166259765625,680000,15.21,0.0064,12.911410331726074,169974,-77866.625,124,32638,5454,0.3423539996147156,133357.24449945998
