time/time_elapsed,train/value_loss,time/fps,train/is_line_search_success,train/n_updates,train/kl_divergence_loss,rollout/ep_rew_mean,train/explained_variance,rollout/ep_len_mean,train/std,time/total_timesteps,train/policy_objective,train/learning_rate
6,27057698345.6,1555,1.0,1,0.009015976451337337,-242460.63615259997,-1.1920928955078125e-07,12.62,0.9981161952018738,10000,0.0698055848479271,0.0013
13,22913881964.8,1516,1.0,2,0.00817414466291666,-190716.04175298006,0.0,9.29,0.9942618012428284,20000,0.04346802830696106,0.0013
20,20797928180.8,1483,1.0,3,0.006335864309221506,-192930.38306879002,0.0,10.04,0.9897558689117432,30000,0.04030320420861244,0.0013
26,19112522492.8,1490,1.0,4,0.0067595443688333035,-186021.04350453,0.0,9.32,0.9717442393302917,40000,0.03716959059238434,0.0013
34,15281041662.4,1447,1.0,6,0.007319295313209295,-137826.37659101997,0.0,6.22,0.9615445137023926,50000,0.052076756954193115,0.0013
41,16174698332.8,1462,1.0,7,0.005197098944336176,-133333.62508114,0.0,6.19,0.9522705078125,60000,0.030090149492025375,0.0013
47,15139661107.2,1471,1.0,8,0.008723816834390163,-135912.71215334,0.0,6.63,0.9460931420326233,70000,0.050374049693346024,0.0013
54,13495613856.0,1477,1.0,9,0.005804517772048712,-119934.95606862,0.0,5.73,0.9423399567604065,80000,0.031177885830402374,0.0013
60,13275063190.4,1480,1.0,10,0.007654618471860886,-136307.52081498,0.0,6.41,0.9283902645111084,90000,0.025485597550868988,0.0013
68,12108456156.8,1458,1.0,12,0.008508548140525818,-120404.87373256,0.0,4.93,0.9150134921073914,100000,0.03182748705148697,0.0013
75,14763365116.8,1461,1.0,13,0.007559628691524267,-118633.00286419998,1.1920928955078125e-07,4.61,0.9068590998649597,110000,0.04659459739923477,0.0013
81,11084839411.2,1464,1.0,14,0.0056991116143763065,-118384.72432936,5.960464477539063e-08,4.79,0.9046018123626709,120000,0.04349342733621597,0.0013
88,13041053652.8,1466,1.0,15,0.008966214023530483,-121394.82445313002,-1.1920928955078125e-07,5.49,0.8953508734703064,130000,0.05399426817893982,0.0013
96,10008801042.4,1449,1.0,17,0.006684677675366402,-116503.36856522001,0.0,4.84,0.8820033073425293,140000,0.04992630332708359,0.0013
103,11910518983.2,1451,1.0,18,0.00651516392827034,-117702.50820435998,0.0,5.29,0.8732545971870422,150000,0.056120626628398895,0.0013
110,9633648096.0,1452,1.0,19,0.005753102246671915,-109379.45652131998,0.0,4.63,0.8724514842033386,160000,0.038318000733852386,0.0013
117,9029113600.0,1452,1.0,20,0.006054878234863281,-114963.30135137001,0.0,5.19,0.8602352142333984,170000,0.042562808841466904,0.0013
123,9120474520.0,1452,1.0,21,0.006312103942036629,-126402.18073592999,0.0,5.53,0.8573705554008484,180000,0.04452662169933319,0.0013
131,8849239273.6,1440,1.0,23,0.005849629174917936,-102078.03003757999,-1.1920928955078125e-07,5.23,0.8323729038238525,190000,0.04924754053354263,0.0013
138,8313656867.2,1442,1.0,24,0.007241500541567802,-93585.97494972,0.0,7.0,0.8262853026390076,200000,0.04786336421966553,0.0013
145,7475544650.4,1444,1.0,25,0.007041516248136759,-88386.76043459999,0.0,7.85,0.8208877444267273,210000,0.04933333769440651,0.0013
152,7259058671.2,1446,1.0,26,0.006864694878458977,-88541.64280107999,0.0,8.34,0.8206419944763184,220000,0.04040581360459328,0.0013
159,5460587587.2,1437,1.0,28,0.008079130202531815,-56189.55007429001,0.0,9.04,0.8016512393951416,230000,0.04841442406177521,0.0013
166,4779980405.6,1439,1.0,29,0.007816909812390804,-47522.16247823,1.1920928955078125e-07,9.7,0.7920844554901123,240000,0.05219209939241409,0.0013
173,3676290336.0,1441,1.0,30,0.007073268294334412,-36664.44575613,0.0,9.41,0.7757650017738342,250000,0.04496658220887184,0.0013
180,7732022230.4,1440,1.0,31,0.006688770372420549,-9979.82027021,0.0,8.91,0.7718601822853088,260000,0.04341720789670944,0.0013
187,4140929840.8,1442,1.0,32,0.007860058918595314,-1678.8354740100006,-1.1920928955078125e-07,8.47,0.7612857222557068,270000,0.043929677456617355,0.0013
195,2572434189.6,1434,1.0,34,0.007693774998188019,15601.83292985,0.0,7.68,0.7517459392547607,280000,0.05063501372933388,0.0013
202,2892200131.6,1435,1.0,35,0.008436695672571659,27473.75544093,0.0,7.28,0.7384137511253357,290000,0.06426925212144852,0.0013
208,2989254633.2,1436,1.0,36,0.00786792766302824,36608.99748693,5.960464477539063e-08,6.59,0.7275152206420898,300000,0.054494984447956085,0.0013
215,3204539974.4,1436,1.0,37,0.008554592728614807,37093.57319321,0.0,6.57,0.7192893028259277,310000,0.05221974104642868,0.0013
223,3364539821.2,1428,1.0,39,0.009601281024515629,46576.80836173,0.0,6.2,0.7006189823150635,320000,0.055547308176755905,0.0013
230,3482754818.0,1429,1.0,40,0.00760469539090991,51303.400743319995,5.960464477539063e-08,6.19,0.6894252896308899,330000,0.03704175353050232,0.0013
237,3509130583.2,1429,1.0,41,0.009512371383607388,54739.72573724,0.0,6.09,0.6870241165161133,340000,0.04318744316697121,0.0013
