rollout/ep_len_mean,train/critic_loss,time/episodes,time/fps,train/actor_loss,train/ent_coef,train/ent_coef_loss,time/time_elapsed,train/n_updates,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean
6.98,12520.1806640625,1198,144,201983.796875,2.087533712387085,-44.37146759033203,69,2474,0.0003,10000,-216681.52579040002
7.0,5912.43310546875,2628,141,208267.9375,4.580793857574463,-89.03874969482422,141,4974,0.0003,20000,-217287.77672294003
7.0,3645.907470703125,4058,141,181262.53125,9.299905776977539,-107.88526916503906,212,7474,0.0003,30000,-217285.64001715
6.46,1308.1697998046875,5535,140,177770.328125,18.298974990844727,-107.80595397949219,284,9974,0.0003,40000,-201114.32081537004
6.73,1940.81005859375,7078,140,179686.734375,34.99715805053711,-91.18900299072266,356,12474,0.0003,50000,-209110.84664408
8.23,2722.681640625,8336,140,169709.3125,66.74625396728516,-76.4756851196289,427,14974,0.0003,60000,-208097.52392936003
9.01,3742.23388671875,9505,139,170952.75,120.25725555419922,-42.60865020751953,500,17474,0.0003,70000,-228645.81227208997
22.98,7411.21044921875,10235,139,200183.71875,181.44801330566406,-15.699398040771484,573,19974,0.0003,80000,-945265.5491721501
30.38,13920.583984375,10480,139,283984.3125,374.7451477050781,-29.712251663208008,646,22474,0.0003,90000,-1389984.5132402098
47.75,29434.21875,10830,138,420317.0,540.8313598632812,-0.5307029485702515,720,24974,0.0003,100000,-2272041.01618237
78.8,42999.31640625,10960,138,570367.5,510.75592041015625,2.0581493377685547,792,27474,0.0003,110000,-3845718.747009299
15.67,35830.40234375,11124,138,628833.3125,420.49993896484375,5.998355388641357,866,29974,0.0003,120000,-679998.5910626901
77.12,25483.54296875,11360,138,1179580.25,305.8329772949219,-8.42699909210205,940,32474,0.0003,130000,-3719514.3330594404
154.24,14215.48828125,11387,137,1069926.375,286.2651672363281,3.393592119216919,1014,34974,0.0003,140000,-7528361.09266643
237.79,14850.4169921875,11428,137,1344545.125,269.9186706542969,0.5580577254295349,1088,37474,0.0003,150000,-11693217.218841482
