train/actor_loss,time/total_timesteps,train/learning_rate,train/n_updates,time/time_elapsed,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean
130316.484375,410000,0.0064,102474,3986,588.500732421875,12.353758811950684,-3.13155198097229,102,73784,4.0,-158305.53937624002
125254.765625,420000,0.0064,104974,4082,384.3280944824219,7.038558483123779,0.8775664567947388,102,76214,4.01,-158481.22310732998
124245.3359375,430000,0.0064,107474,4171,737.4054565429688,5.4917893409729,-0.44371968507766724,103,78707,4.0,-158269.02237346
124625.25,440000,0.0064,109974,4259,333.3846740722656,7.2247419357299805,1.9682193994522095,103,81081,4.0,-158271.45952377
125412.703125,450000,0.0064,112474,4348,493.5657653808594,8.172857284545898,4.682347297668457,103,83456,8.44,-315062.37419973
122585.203125,460000,0.0064,114974,4447,310.58074951171875,5.776690483093262,5.052492141723633,103,85932,4.01,-158472.22999423998
125830.140625,470000,0.0064,117474,4550,752.8113403320312,7.119327545166016,0.9702842235565186,103,88136,6.25,-210985.89509381997
125188.234375,480000,0.0064,119974,4652,815.2225341796875,9.671889305114746,0.38113290071487427,103,90460,4.59,-173837.49261583
130702.359375,490000,0.0064,122474,4755,720.5243530273438,13.193805694580078,-0.7553521394729614,103,92738,6.37,-231920.87602217004
154584.875,500000,0.0064,124974,4857,2874.12890625,31.345739364624023,-17.312721252441406,102,94303,9.11,-296724.06387615995
149687.109375,510000,0.0064,127474,4959,2305.03369140625,32.8961296081543,2.44220232963562,102,96191,5.18,-184871.33466577
140075.421875,520000,0.0064,129974,5060,2474.731201171875,19.86488914489746,4.86496114730835,102,98572,4.0,-158323.27541954
148714.46875,530000,0.0064,132474,5162,2715.71484375,24.853595733642578,1.3210413455963135,102,100972,4.0,-158323.47866618002
144006.03125,540000,0.0064,134974,5264,2107.311279296875,22.490428924560547,-2.6971206665039062,102,103254,4.18,-161892.50614396998
147893.046875,550000,0.0064,137474,5366,3250.81005859375,22.347623825073242,-3.7504959106445312,102,105545,4.0,-158311.33939250003
137733.984375,560000,0.0064,139974,5469,2383.24365234375,21.03231430053711,3.7083661556243896,102,107761,4.0,-158307.95791991
132282.9375,570000,0.0064,142474,5559,1501.0125732421875,16.99010467529297,1.428350806236267,102,110114,4.0,-158295.51498928003
130807.953125,580000,0.0064,144974,5648,709.469970703125,11.032453536987305,1.0831189155578613,102,112420,5.3,-204763.59060787997
138446.0,590000,0.0064,147474,5737,925.8341064453125,13.094164848327637,-4.6491241455078125,102,114595,4.19,-163443.89843635
136572.421875,600000,0.0064,149974,5826,1445.76171875,12.841623306274414,0.9571126103401184,102,117017,4.26,-163502.90233059
131756.328125,610000,0.0064,152474,5915,501.2081604003906,12.104508399963379,3.5306386947631836,103,119391,4.01,-158504.58841364
144279.859375,620000,0.0064,154974,6004,928.2019653320312,14.664897918701172,-7.578080177307129,103,121591,5.47,-204899.3562942
