train/actor_loss,time/episodes,time/fps,train/critic_loss,rollout/ep_len_mean,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef_loss
-49789.4140625,45868,263,8598972.0,11.4,156.79747009277344,2503,133647.35156821003,660000,0.0055,164974,10.83475112915039
-61985.65234375,46708,263,11196416.0,13.13,103.05525207519531,2544,133679.8,670000,0.0055,167474,2.041555404663086
-43412.375,47468,263,13839309.0,15.88,474.8326416015625,2584,113930.39994421002,680000,0.0055,169974,0.0798410177230835
-79688.5,48134,262,9118946.0,12.09,102.682373046875,2625,133640.15288527,690000,0.0055,172474,6.841714859008789
-38733.40625,48642,262,27820594.0,14.49,382.53741455078125,2664,128349.81212811999,700000,0.0055,174974,24.185955047607422
-44907.0625,49344,262,8178022.0,11.9,104.46772003173828,2705,131835.74907186,710000,0.0055,177474,-3.3545522689819336
-1856.268310546875,49704,262,38997432.0,65.99,431.47406005859375,2744,-268764.3937708,720000,0.0055,179974,29.43173599243164
-16519.30078125,49898,262,8707145.0,51.1,52.35905456542969,2783,123045.39121228,730000,0.0055,182474,3.822628974914551
-27262.171875,50337,262,18719608.0,40.73,30.271568298339844,2823,125906.85029580999,740000,0.0055,184974,0.4853613078594208
-43694.1171875,51207,261,6887168.0,11.78,39.72321319580078,2863,132842.79996238998,750000,0.0055,187474,0.020091891288757324
505162.4375,51365,261,8031756800.0,90.02,13747.40625,2902,-1364820.1442548502,760000,0.0055,189974,32.66048812866211
341782.125,51647,261,749446720.0,23.55,3428.48095703125,2942,-154713.74311854,770000,0.0055,192474,61.7706413269043
250223.125,52300,261,576170048.0,12.11,316.87481689453125,2983,114436.60989856001,780000,0.0055,194974,8.262934684753418
340471.78125,52831,261,5132521984.0,34.61,2470.181884765625,3023,-385380.0527745699,790000,0.0055,197474,-168.01507568359375
744734.25,53413,261,19750754304.0,10.15,23699.8515625,3063,-92249.15523333999,800000,0.0055,199974,25.866073608398438
368535.71875,54760,260,2281789696.0,7.12,4883.6328125,3104,-101638.46309733001,810000,0.0055,202474,-7.071077823638916
138085.65625,56394,260,643220864.0,6.28,667.1930541992188,3144,-93207.98920219998,820000,0.0055,204974,10.479198455810547
134978.71875,57514,260,102459408.0,7.38,1207.3214111328125,3184,-89984.73270268002,830000,0.0055,207474,21.19507598876953
88513.0625,58461,260,25305342.0,13.53,229.84181213378906,3225,-84614.96387743,840000,0.0055,209974,4.488910675048828
64221.3984375,58666,260,45964992.0,74.33,303.421142578125,3264,-172021.43144885,850000,0.0055,212474,-1.7458045482635498
113681.1015625,58889,260,1395340032.0,38.95,222.51341247558594,3303,-68265.17992760001,860000,0.0055,214974,-193.89862060546875
400886.0,59500,260,6791116800.0,8.75,16109.666015625,3342,-88854.13077704002,870000,0.0055,217474,33.46595001220703
277704.4375,60624,260,1343878912.0,20.52,5831.59228515625,3382,-238853.94983390998,880000,0.0055,219974,2.16507625579834
145906.96875,61921,260,148466176.0,7.81,866.2268676757812,3421,-88751.05665002001,890000,0.0055,222474,16.799518585205078
100842.875,63093,260,45762600.0,10.78,500.8227844238281,3460,-90907.31261912001,900000,0.0055,224974,10.336359024047852
86341.5703125,63930,260,26118088.0,17.08,246.871337890625,3499,-95319.70961303002,910000,0.0055,227474,4.114892959594727
66257.59375,64347,259,60878152.0,25.01,330.91162109375,3538,-76869.14779185,920000,0.0055,229974,-25.028474807739258
42601.203125,64573,260,50841316.0,64.17,374.2843933105469,3576,53044.37427807,930000,0.0055,232474,-10.519171714782715
24260.66015625,64932,259,157195168.0,30.95,1138.88623046875,3615,106356.16823153,940000,0.0055,234974,8.04067611694336
-33901.60546875,65507,259,114212776.0,12.6,126.81315612792969,3654,133729.1,950000,0.0055,237474,-53.63979721069336
164755.484375,65846,259,783077504.0,21.53,4113.6318359375,3692,35973.057327489994,960000,0.0055,239974,26.813722610473633
60017.7734375,66326,259,370100320.0,31.52,2989.453125,3731,-107573.55165195998,970000,0.0055,242474,19.336931228637695
84261.7421875,66839,259,334476160.0,24.85,2321.72412109375,3770,-12536.111120449998,980000,0.0055,244974,-5.571513652801514
-44134.41015625,67315,259,67196128.0,19.34,497.59234619140625,3809,114864.78534918999,990000,0.0055,247474,33.641380310058594
-64943.84375,68082,259,19274172.0,11.96,94.64740753173828,3848,133743.63085717,1000000,0.0055,249974,-1.0153963565826416
