train/actor_loss,rollout/ep_rew_mean,train/learning_rate,time/fps,train/n_updates,time/total_timesteps,train/critic_loss,train/ent_coef_loss,train/ent_coef,time/episodes,rollout/ep_len_mean,time/time_elapsed
4032.049560546875,-451882.60461334005,0.001,155,2474,10000,123260632.0,-22.33053970336914,2.249802589416504,152,55.25,64
9175.63671875,-197922.67208971997,0.001,159,4974,20000,29214614.0,-36.40443420410156,4.918213367462158,313,58.13,125
12446.7841796875,-150333.3612583,0.001,162,7474,30000,56158124.0,-36.315574645996094,9.3388090133667,512,51.76,184
12063.92578125,-159033.09656753,0.001,160,9974,40000,72386832.0,-29.507911682128906,15.803922653198242,699,49.19,249
14928.74609375,-89151.17174562003,0.001,160,12474,50000,136068112.0,-19.947223663330078,24.782962799072266,901,52.99,311
15815.2138671875,-102326.40161645,0.001,160,14974,60000,49109936.0,-16.067974090576172,35.6773567199707,1093,59.52,374
15105.9384765625,-91545.90890446998,0.001,161,17474,70000,44990552.0,-7.58624267578125,48.30503845214844,1267,51.58,433
17183.158203125,-126032.88828754002,0.001,162,19974,80000,105870568.0,-2.0646049976348877,56.060935974121094,1423,72.53,491
15709.546875,-85547.94850982,0.001,164,22474,90000,91939024.0,-1.254961371421814,57.188392639160156,1600,49.49,547
17325.662109375,-98774.51450289,0.001,163,24974,100000,65495760.0,-1.8399219512939453,56.702693939208984,1768,61.43,610
15253.390625,-89152.74162759,0.001,163,27474,110000,61422320.0,-0.007118090987205505,53.0370979309082,1922,58.58,672
17973.25,-91799.42841161,0.001,164,29974,120000,58312048.0,1.0207114219665527,46.726802825927734,2043,86.07,730
15981.841796875,-87838.68129138996,0.001,164,32474,130000,44553356.0,0.042666688561439514,44.06937789916992,2203,60.8,788
13460.5595703125,-100195.87889997999,0.001,164,34974,140000,65756968.0,0.8806762099266052,43.83952713012695,2367,52.49,848
12498.681640625,-120858.31161831002,0.001,165,37474,150000,43890816.0,-0.931678056716919,45.76782989501953,2487,84.56,907
8585.501953125,-93303.43708817,0.001,165,39974,160000,74760480.0,-1.1676498651504517,45.60295486450195,2602,87.57,966
13269.7021484375,-189410.42482058,0.001,165,42474,170000,107512608.0,2.4318995475769043,43.61402893066406,2697,100.39,1026
12439.412109375,-129641.38717226998,0.001,165,44974,180000,31597592.0,2.080216407775879,43.16118240356445,2786,111.27,1085
11444.853515625,-85264.28566972,0.001,165,47474,190000,54217592.0,1.0631499290466309,41.8913688659668,2879,104.5,1148
11678.5078125,-82474.63209784,0.001,164,49974,200000,68743048.0,2.6400814056396484,42.02128601074219,2959,113.47,1213
12695.73828125,-94510.62949706001,0.001,164,52474,210000,18948504.0,-2.297919273376465,39.63566207885742,3054,114.94,1276
11133.2880859375,-100967.25108434999,0.001,164,54974,220000,90664536.0,-0.33241450786590576,39.93482971191406,3131,125.3,1341
14304.525390625,-86199.28576865,0.001,163,57474,230000,23853512.0,-1.5152430534362793,42.629764556884766,3193,153.94,1405
8673.212890625,-73116.98664801,0.001,163,59974,240000,25581254.0,-1.4378188848495483,37.362266540527344,3266,127.52,1464
10021.51171875,-77399.39908481,0.001,163,62474,250000,94068264.0,-1.5053023099899292,37.908233642578125,3304,174.55,1524
11620.259765625,-93445.14600087,0.001,163,64974,260000,99353872.0,-0.24271681904792786,39.241580963134766,3350,223.48,1586
11509.03125,-110593.25291685002,0.001,164,67474,270000,92720288.0,-1.3862769603729248,35.58994674682617,3402,207.42,1645
10097.2041015625,-110098.2230438,0.001,163,69974,280000,11971673.0,2.2230563163757324,36.2596549987793,3434,244.64,1710
10812.75,-88340.28111912002,0.001,163,72474,290000,55227368.0,-1.720872163772583,38.98505783081055,3486,245.29,1776
8112.27490234375,-88166.37896412,0.001,163,74974,300000,69431456.0,1.3654996156692505,38.18829345703125,3509,276.09,1834
6655.9296875,-76769.40988452,0.001,163,77474,310000,61419080.0,-2.8773651123046875,37.564414978027344,3556,220.16,1899
