rollout/ep_rew_mean,train/actor_loss,train/ent_coef_loss,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/n_updates,time/episodes,time/fps,time/time_elapsed,train/critic_loss
-137701.25359187002,9890.748046875,-0.4297793507575989,0.001,573.46,380000,23.103395462036133,94974,1333,317,1198,16384862.0
-124960.52226108998,4246.57763671875,0.7259170413017273,0.001,587.79,390000,21.67536163330078,97474,1345,317,1229,60691356.0
-127698.35076576001,6472.923828125,1.5217657089233398,0.001,637.51,400000,22.642419815063477,99974,1356,317,1260,15884587.0
-143277.42835392003,5700.525390625,-1.6925010681152344,0.001,652.21,410000,22.072446823120117,102474,1367,316,1295,2411452.75
-152887.32671845,5366.41845703125,-0.8679897785186768,0.001,666.08,420000,19.983585357666016,104974,1379,315,1329,2524203.0
-185871.91637774,4340.91943359375,0.3104865550994873,0.001,684.18,430000,18.26250457763672,107474,1393,315,1364,3028571.0
-199925.06138257,2514.2099609375,-0.25999608635902405,0.001,763.81,440000,18.08426284790039,109974,1405,314,1399,4511133.5
-189779.36425221,2302.700927734375,0.2882757782936096,0.001,775.84,450000,21.52876853942871,112474,1418,313,1433,6966827.0
-205000.66857681994,1469.814697265625,-0.41217055916786194,0.001,811.82,460000,19.70477867126465,114974,1432,313,1467,35423480.0
-242379.00753216003,-277.03857421875,2.687743902206421,0.001,788.39,470000,22.8486270904541,117474,1447,312,1502,5181529.0
-294554.71183776995,145.1251220703125,0.43352586030960083,0.001,790.6,480000,20.391786575317383,119974,1458,312,1536,3374331.75
-311618.38688694,-2179.90283203125,0.4585871994495392,0.001,792.78,490000,19.47511863708496,122474,1467,311,1570,16086113.0
-302556.31685815,-535.6549072265625,-0.73663330078125,0.001,798.3,500000,18.038347244262695,124974,1480,311,1605,2651393.0
-286857.15409556,-1838.657958984375,-1.291583776473999,0.001,806.89,510000,17.99033546447754,127474,1491,311,1639,6776521.0
-287712.34734415,-2846.4619140625,0.7893060445785522,0.001,833.33,520000,16.304447174072266,129974,1501,310,1674,53534828.0
-317162.54303752,-2297.74658203125,0.5691633224487305,0.001,843.58,530000,18.021638870239258,132474,1513,310,1709,4413551.5
-301513.03985257,-3789.197998046875,0.4308584928512573,0.001,856.49,540000,18.50702667236328,134974,1524,309,1743,3476389.0
-309639.23369074,-2702.30078125,-0.8061795234680176,0.001,857.71,550000,16.94106101989746,137474,1536,309,1777,44795044.0
-380558.79112433,-5103.578125,-0.04698672890663147,0.001,901.72,560000,15.284734725952148,139974,1547,308,1812,2324594.75
-349354.3237589201,-3098.67578125,0.1778193563222885,0.001,903.09,570000,17.568803787231445,142474,1557,308,1849,3079638.5
-323212.47223507,-5261.1220703125,0.8382796049118042,0.001,890.33,580000,16.21010398864746,144974,1568,307,1885,39319348.0
-319496.05572338996,-5335.16748046875,1.1513663530349731,0.001,890.38,590000,14.714343070983887,147474,1579,306,1922,9993747.0
-319354.03250831,-4325.3662109375,-0.6798847317695618,0.001,899.9,600000,15.576038360595703,149974,1591,306,1956,2009137.0
-326578.16678176,-5819.82177734375,-0.12372028827667236,0.001,890.47,610000,13.620569229125977,152474,1602,306,1991,8507228.0
-322127.53326069,-7342.38232421875,1.049112319946289,0.001,897.55,620000,17.373075485229492,154974,1612,306,2025,6464773.5
-302440.3264779,-7314.82421875,-1.6912004947662354,0.001,876.1,630000,14.902361869812012,157474,1628,305,2060,30948888.0
-332546.39423138,-4591.28564453125,1.5111124515533447,0.001,869.02,640000,16.24566078186035,159974,1641,305,2094,1796745.25
-245247.02554931998,-6146.673828125,-0.103648841381073,0.001,847.75,650000,14.194478034973145,162474,1652,305,2129,6824385.0
-255547.02907111,-4599.65966796875,-0.6319632530212402,0.001,851.65,660000,15.25314998626709,164974,1663,305,2163,4150460.0
-367337.96132247,-5260.59716796875,1.192387342453003,0.001,851.35,670000,15.879508018493652,167474,1674,304,2198,8053307.5
-380884.05204489006,-8138.87060546875,0.7811251878738403,0.001,836.67,680000,16.45427703857422,169974,1686,304,2232,44667072.0
-381185.7477510101,-6740.29931640625,1.0303987264633179,0.001,846.98,690000,12.625860214233398,172474,1698,304,2267,20253596.0
-350316.13058452005,-6706.00439453125,0.8250455856323242,0.001,846.98,700000,15.225790977478027,174974,1707,304,2302,29245516.0
-352774.17720287,-9179.146484375,0.3484869599342346,0.001,856.24,710000,15.631708145141602,177474,1718,303,2336,4143910.0
-397866.85115556,-11105.4072265625,1.9482371807098389,0.001,895.37,720000,12.943649291992188,179974,1729,303,2371,1434768.25
-384428.15578995,-10362.845703125,0.9709123373031616,0.001,918.13,730000,12.5857515335083,182474,1738,303,2407,47854088.0
-393672.69146624,-11193.169921875,-0.3406519293785095,0.001,926.82,740000,17.013174057006836,184974,1750,302,2443,4015214.0
-416947.4865582201,-9914.64453125,-0.4301620125770569,0.001,938.35,750000,11.727723121643066,187474,1759,302,2479,42320388.0
-365849.1471329699,-12259.859375,-0.07074417173862457,0.001,935.17,760000,15.62013053894043,189974,1770,302,2514,12057841.0
-319933.60934518004,-12082.6953125,3.1825265884399414,0.001,948.16,770000,17.751548767089844,192474,1780,302,2548,2513473.5
-304784.62266868004,-10009.1435546875,1.0043176412582397,0.001,965.23,780000,16.250436782836914,194974,1790,301,2583,2687460.75
-311003.08658691007,-12894.419921875,-0.6947286128997803,0.001,975.95,790000,14.962244033813477,197474,1800,301,2617,13530703.0
-334184.67424960004,-11532.73046875,-0.05402287840843201,0.001,970.74,800000,15.176963806152344,199974,1810,301,2651,3121492.25
-369970.49842415005,-10403.3203125,0.100974440574646,0.001,961.17,810000,16.018901824951172,202474,1822,301,2685,2300755.0
-343444.25260981004,-10170.638671875,2.4898717403411865,0.001,950.61,820000,14.72315502166748,204974,1833,301,2720,49714464.0
-403913.6551333599,-10764.64453125,-0.6851823329925537,0.001,950.78,830000,11.715619087219238,207474,1843,301,2755,3692230.0
-367736.2756875099,-10671.525390625,-0.043768420815467834,0.001,961.05,840000,12.73420238494873,209974,1853,301,2789,1982111.875
-351983.9710366,-9662.21875,-0.1153305321931839,0.001,953.64,850000,13.458043098449707,212474,1863,300,2824,7731679.5
-374007.0722006201,-10575.78125,-1.520135521888733,0.001,953.55,860000,14.505067825317383,214974,1874,300,2859,2404284.0
-392443.80704877997,-13172.728515625,0.16344012320041656,0.001,953.55,870000,12.97125244140625,217474,1884,300,2893,17233556.0
-415988.3677375399,-10725.505859375,-1.3118866682052612,0.001,954.18,880000,13.932818412780762,219974,1894,300,2928,32334270.0
-418533.20481883007,-12998.478515625,0.6583269238471985,0.001,922.37,890000,13.527581214904785,222474,1907,300,2962,2784859.5
-385358.94286598,-12826.65625,-0.8568854928016663,0.001,927.69,900000,11.189242362976074,224974,1921,300,2996,1567520.5
-453746.1168887,-11167.0029296875,-0.593807578086853,0.001,922.25,910000,10.301482200622559,227474,1930,300,3031,2133914.75
-384079.05103424,-15045.111328125,-0.32284632325172424,0.001,928.09,920000,10.643698692321777,229974,1942,300,3065,2341579.25
-355307.20967963996,-11423.3720703125,-0.30049461126327515,0.001,928.09,930000,11.592650413513184,232474,1950,299,3100,5085613.5
-429085.6846046,-13284.5546875,0.6751775741577148,0.001,931.0,940000,12.385698318481445,234974,1962,299,3134,2728679.0
-441819.58850078,-13732.806640625,0.3051750659942627,0.001,934.27,950000,13.574004173278809,237474,1971,299,3169,2689901.5
-505237.92241103994,-12544.7265625,-0.5606361627578735,0.001,934.27,960000,11.168279647827148,239974,1982,299,3204,41996620.0
-485039.39783176,-10729.41015625,-0.4588819444179535,0.001,934.27,970000,10.932211875915527,242474,1991,299,3238,12517868.0
-519541.8156532999,-13549.90234375,0.9893398284912109,0.001,966.12,980000,10.766778945922852,244974,2002,299,3272,2919698.5
-537755.50914991,-12967.150390625,-0.38718047738075256,0.001,967.29,990000,11.90884780883789,247474,2011,299,3307,3995486.75
-528621.0677792,-13547.4287109375,-2.3880465030670166,0.001,991.79,1000000,10.64926815032959,249974,2022,299,3342,1417777.25
