rollout/ep_rew_mean,train/actor_loss,train/ent_coef_loss,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/n_updates,time/episodes,time/fps,time/time_elapsed,train/critic_loss
-1381906.4985132692,2976.82373046875,-19.44007110595703,0.001,123.64102564102564,10000,2.165926694869995,2474,78,288,34,31440120.0
-245515.54359763005,7426.28857421875,-27.90975570678711,0.001,106.52,20000,4.790527820587158,4974,166,300,66,18732988.0
-128500.78214339999,10365.51171875,-27.504344940185547,0.001,112.46,30000,8.992294311523438,7474,249,304,98,21114752.0
-119961.57694418001,9713.2138671875,-24.10938835144043,0.001,137.83,40000,15.247358322143555,9974,322,306,130,18830684.0
-108291.89737790002,11330.3525390625,-18.51025390625,0.001,130.94,50000,24.235275268554688,12474,399,307,162,59038000.0
-121219.35786126001,14924.2890625,-9.484354019165039,0.001,138.97,60000,35.837684631347656,14974,474,308,194,42363052.0
-138751.53621699,14243.322265625,-4.532009124755859,0.001,133.48,70000,46.40869140625,17474,543,309,225,6393284.0
-134165.23317183997,18693.943359375,-2.551787853240967,0.001,161.93,80000,52.10383224487305,19974,606,310,257,50033344.0
-113731.45694838998,21228.43359375,1.7922744750976562,0.001,193.92,90000,52.85302734375,22474,654,310,289,89572608.0
-110887.48296515,22487.89453125,0.3515239953994751,0.001,146.68,100000,51.57213592529297,24974,731,311,321,54065940.0
-129712.16347242,21483.76171875,-1.1906083822250366,0.001,155.16,110000,48.42734909057617,27474,774,312,352,62538064.0
-122351.24958368,19660.19140625,-1.8586515188217163,0.001,217.35,120000,47.68989944458008,29974,813,312,384,38226348.0
-109854.49035282,18617.802734375,1.4424965381622314,0.001,189.98,130000,43.44911575317383,32474,879,312,415,9000250.0
-121430.40098595001,19369.001953125,0.19850310683250427,0.001,213.53,140000,44.403358459472656,34974,905,313,447,8431004.0
-124736.84910136,20132.896484375,0.9546256065368652,0.001,250.5,150000,39.32268524169922,37474,939,313,478,6571074.0
-124636.09889966002,19212.86328125,0.10380241274833679,0.001,310.44,160000,37.713191986083984,39974,975,313,510,21234796.0
-117811.97209626,17838.15625,-0.42970898747444153,0.001,307.23,170000,39.633995056152344,42474,1001,314,541,21482028.0
-117962.47774170997,17804.798828125,0.1637251377105713,0.001,353.14,180000,35.78436279296875,44974,1020,314,572,18175770.0
-115040.61554673001,18544.96484375,-0.23562997579574585,0.001,396.37,190000,33.33506774902344,47474,1037,314,604,6937578.0
-105400.38781813999,17781.4453125,-0.7725334167480469,0.001,423.65,200000,33.91926193237305,49974,1057,314,635,16060572.0
-107227.86631773999,15966.2119140625,-2.9178199768066406,0.001,484.82,210000,32.02402877807617,52474,1074,314,666,10562818.0
-122351.08994532003,15498.2255859375,-1.3635481595993042,0.001,557.15,220000,30.793682098388672,54974,1086,315,698,5557225.5
-113744.65652252002,13592.7041015625,0.6709368228912354,0.001,575.99,230000,30.901771545410156,57474,1105,315,729,18896078.0
-112386.2885796,14971.7451171875,-1.070016622543335,0.001,588.57,240000,30.44693374633789,59974,1123,315,760,28746744.0
-117882.66882518001,12984.408203125,-1.4754701852798462,0.001,632.87,250000,28.791425704956055,62474,1132,315,791,20676040.0
-129167.23735307003,12772.2578125,0.6998412013053894,0.001,651.21,260000,30.615177154541016,64974,1147,316,822,18457804.0
-183047.31621031,13092.251953125,0.5080724358558655,0.001,663.72,270000,28.951597213745117,67474,1162,316,853,71316776.0
-174250.91560893002,13745.041015625,-0.31117117404937744,0.001,677.51,280000,28.84358787536621,69974,1177,316,885,39099032.0
-154714.72281994,11383.33203125,1.8310434818267822,0.001,687.15,290000,32.640708923339844,72474,1191,316,916,5341274.0
-166198.36508621002,9660.9970703125,-1.2151806354522705,0.001,709.44,300000,28.415433883666992,74974,1205,316,947,6663795.0
-160537.33901448,8176.16796875,0.5624797940254211,0.001,733.39,310000,28.294221878051758,77474,1217,316,978,53943288.0
-168680.89580698003,9039.412109375,2.5660667419433594,0.001,724.67,320000,27.10194206237793,79974,1230,317,1009,12425511.0
-162408.44141299,9897.5205078125,-0.4613950848579407,0.001,708.69,330000,24.78951072692871,82474,1243,317,1040,27770202.0
-120242.26607653,7441.1962890625,0.5149526000022888,0.001,705.67,340000,24.918888092041016,84974,1261,317,1072,23954632.0
-127432.30117166003,6202.6533203125,-1.4065930843353271,0.001,711.34,350000,25.306041717529297,87474,1275,317,1103,7542282.5
-129715.49725289003,8049.044921875,2.1379592418670654,0.001,712.83,360000,26.67719841003418,89974,1290,317,1135,35085080.0
-148984.36572713,7619.43603515625,1.0350193977355957,0.001,616.44,370000,25.6001033782959,92474,1314,317,1166,33175260.0
