train/learning_rate,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/ent_coef_loss,time/episodes,time/fps,time/time_elapsed,train/ent_coef,train/actor_loss
0.0055,-1523049.61061239,8553471488.0,110.31,710000,177474,108.72277069091797,4535,210,3374,1626.63623046875,1171608.0
0.0055,-2506683.22198967,32129568768.0,132.0,720000,179974,24.81734848022461,4610,210,3424,143.5615692138672,1163211.5
0.0055,-4299117.3213686,819018944.0,159.57,730000,182474,39.372276306152344,4657,210,3474,311.0023498535156,748791.625
0.0055,-5302574.22391506,1591526912.0,188.35,740000,184974,-102.42720794677734,4718,209,3524,1259.1368408203125,679298.8125
0.0055,-4606763.88479315,145988911104.0,180.86,750000,187474,-316.01837158203125,4770,209,3574,9697.0302734375,1541373.5
0.0055,-3072468.59534711,31071461376.0,156.95,760000,189974,80.88935852050781,4852,209,3624,14372.259765625,1449049.5
0.0055,-647910.9865759402,3616170496.0,87.18,770000,192474,-41.66624450683594,4970,209,3673,2578.8212890625,1143114.25
0.0055,-477247.9978098401,2896302848.0,89.27,780000,194974,24.844806671142578,5091,209,3723,1222.3564453125,738145.375
0.0055,-408698.36433799996,712524160.0,64.87,790000,197474,24.378074645996094,5238,209,3773,199.9923858642578,349917.84375
0.0055,-1342936.5121214797,55066222592.0,91.03,800000,199974,-396.87823486328125,5346,209,3823,11117.763671875,1007349.875
0.0055,-1781463.58598033,4591589523456.0,107.33,810000,202474,176.33847045898438,5434,209,3872,388221.15625,2513146.0
0.0055,-759024.0082096702,153009881088.0,93.92,820000,204974,170.60073852539062,5538,209,3922,18203.4296875,1977340.375
0.0055,-1569995.9235710695,57607684096.0,109.3,830000,207474,72.75271606445312,5615,208,3972,731.9255981445312,2265385.0
0.0055,-1811392.2298169297,84712906752.0,93.19,840000,209974,32.673858642578125,5731,208,4022,51.58244705200195,1870274.125
0.0055,-2069021.2267415503,2658961408.0,88.64,850000,212474,53.93345642089844,5844,208,4072,2255.824951171875,1643511.0
0.0055,-3701596.6897963993,705054507008.0,132.93,860000,214974,-520.9932861328125,5910,208,4122,41946.2421875,3063352.5
0.0055,-3109962.1780664395,137327132672.0,143.86,870000,217474,150.39627075195312,5991,208,4172,62019.25390625,2634656.25
0.0055,-740392.4554303602,40156471296.0,79.27,880000,219974,70.66720581054688,6104,208,4221,8262.7763671875,2403657.0
0.0055,-708754.8681961702,351309824000.0,53.78,890000,222474,-38.11286544799805,6263,208,4271,2171.61865234375,1773583.5
0.0055,-1952751.6079343497,8169096478720.0,85.93,900000,224974,-366.4930114746094,6357,208,4321,163466.453125,8096081.0
0.0055,-627219.8096376699,1170664062976.0,72.75,910000,227474,158.75096130371094,6500,208,4371,130108.6171875,3866208.25
0.0055,-1708954.4594665403,174483505152.0,122.16,920000,229974,138.3410186767578,6582,208,4421,5802.63330078125,3420805.25
0.0055,-3624419.27282272,84342439936.0,157.91,930000,232474,58.652496337890625,6634,208,4470,414.3480224609375,2850078.75
0.0055,-4101626.5300583793,5127952924672.0,145.43,940000,234974,-421.69671630859375,6700,207,4520,171926.609375,10398738.0
0.0055,-2401654.7485078303,5384512208896.0,127.22,950000,237474,73.03303527832031,6783,207,4570,335814.65625,-19874.828125
0.0055,-866767.18049004,393405464576.0,98.2,960000,239974,136.763671875,6885,207,4620,23287.736328125,5053893.0
0.0055,-1679291.10669853,231012941824.0,105.67,970000,242474,146.35610961914062,6973,207,4670,11525.3525390625,4639047.0
0.0055,-2802962.0960912197,516559978102784.0,143.19,980000,244974,-532.915283203125,7052,207,4719,790671.5625,39215804.0
0.0055,-780046.0700065301,1493332748402688.0,92.67,990000,247474,153.89089965820312,7163,207,4769,6984759.0,26043004.0
0.0055,-340610.32215311006,69488653369344.0,88.1,1000000,249974,135.3456573486328,7273,207,4819,1384177.125,15597108.0
