time/total_timesteps,train/ent_coef,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,time/episodes,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,time/fps
10000,57.66411590576172,77,49.83,3928.967041015625,155,-317999.09626801003,82497.484375,0.0064,2474,-1.1728147268295288,128
20000,40.898277282714844,156,81.26,3556.627685546875,262,-92418.15208709,39593.28515625,0.0064,4974,2.0906739234924316,127
30000,20.933786392211914,235,154.08,2327.92431640625,345,-106265.97523086998,23742.28515625,0.0064,7474,-5.732386112213135,127
40000,16.02957534790039,314,100.6,2005.545654296875,428,-76653.46439441999,15200.5068359375,0.0064,9974,-4.487498760223389,127
50000,12.322897911071777,392,166.73,1225.616455078125,453,-78296.38086707,9446.8310546875,0.0064,12474,-1.637032389640808,127
60000,8.95640754699707,471,34.88,1557.942626953125,583,-82535.32743703,9542.46875,0.0064,14974,-0.9327812194824219,127
70000,5.620675563812256,549,126.92,1187.1495361328125,609,-78112.89144082,7312.1826171875,0.0064,17474,-1.6617989540100098,127
80000,2.2837390899658203,627,218.22,502.2575988769531,632,-81445.30959768001,-72.9857177734375,0.0064,19974,1.2211875915527344,127
90000,3.1064987182617188,705,303.94,697.8871459960938,672,-88692.42669374999,-645.219970703125,0.0064,22474,0.7441293597221375,127
100000,2.319247245788574,784,235.25,795.921630859375,724,-114914.59602502,-272.918212890625,0.0064,24974,1.4796351194381714,127
110000,2.116805076599121,863,95.47,1036.957275390625,831,-102784.16350959,-507.1855163574219,0.0064,27474,-0.3806232511997223,127
120000,2.356715679168701,941,144.86,252.70179748535156,884,-127690.81146474999,-1193.1104736328125,0.0064,29974,-0.5334329605102539,127
130000,2.6412177085876465,1018,182.65,614.5640869140625,943,-100131.44039343,-1123.6876220703125,0.0064,32474,-0.997798502445221,127
140000,2.104344606399536,1096,258.37,1077.7864990234375,957,-91378.46341052999,-1215.46484375,0.0064,34974,-2.4714581966400146,127
150000,2.048879623413086,1175,220.77,394.39605712890625,1024,-64060.03420074,-529.2152709960938,0.0064,37474,0.3809713125228882,127
160000,1.6331843137741089,1253,251.91,174.00506591796875,1051,-97233.91461422999,-938.6991577148438,0.0064,39974,0.5860122442245483,127
170000,1.504455804824829,1332,228.32,186.3040008544922,1116,-99132.59078805,-758.0044555664062,0.0064,42474,-0.011317752301692963,127
180000,0.9056527614593506,1410,244.49,138.39109802246094,1141,-68622.29820509,-302.77752685546875,0.0064,44974,0.1746257245540619,127
190000,1.0947649478912354,1489,180.96,509.5815124511719,1220,29837.277800400007,-118.32603454589844,0.0064,47474,-0.09560354799032211,127
200000,1.3006718158721924,1568,108.97,687.2413940429688,1308,38790.011981999996,-376.5412292480469,0.0064,49974,0.6178839206695557,127
210000,1.159609079360962,1648,123.62,308.5105285644531,1393,30031.556907259997,-628.642578125,0.0064,52474,-0.07334541529417038,127
220000,1.5926532745361328,1728,60.07,928.7448120117188,1560,48405.15472322,-875.6426391601562,0.0064,54974,-0.4651274085044861,127
230000,2.2146639823913574,1809,105.63,577.6151123046875,1647,69174.99989037,-672.6019897460938,0.0064,57474,1.1435917615890503,127
240000,1.7914811372756958,1890,61.21,761.8626708984375,1793,36444.18282108999,-1100.505859375,0.0064,59974,0.18810826539993286,126
250000,2.180696725845337,1972,56.84,308.2243347167969,1944,109497.34274611999,-1552.8636474609375,0.0064,62474,0.3200223743915558,126
260000,2.68294095993042,2054,54.76,793.903564453125,2124,41116.493632130005,-2051.74951171875,0.0064,64974,-0.0046690404415130615,126
270000,3.448798418045044,2137,58.81,1092.8392333984375,2289,104035.19453500998,-2243.77392578125,0.0064,67474,-1.0456641912460327,126
280000,5.522011756896973,2221,68.9,1988.8447265625,2441,98398.93976873999,-1522.965087890625,0.0064,69974,-1.9766325950622559,126
290000,8.263026237487793,2307,98.22,2955.460205078125,2541,68524.88073714,-767.814208984375,0.0064,72474,-3.197812557220459,125
300000,7.802296161651611,2392,168.8,2413.86279296875,2559,58241.54347940999,-3850.599609375,0.0064,74974,-3.1982154846191406,125
310000,14.558721542358398,2479,215.36,3297.165771484375,2610,9676.573315709998,-6509.43896484375,0.0064,77474,-1.7795979976654053,125
320000,18.310832977294922,2566,229.72,4028.335693359375,2654,-12987.271031199998,-7537.85205078125,0.0064,79974,2.5109267234802246,124
330000,17.787609100341797,2654,230.19,3084.4990234375,2698,-2953.91380508,-7674.1728515625,0.0064,82474,-2.0567119121551514,124
340000,14.016596794128418,2742,180.18,1836.38671875,2757,38219.08317898001,-8789.1806640625,0.0064,84974,4.336026668548584,123
350000,11.223841667175293,2831,247.82,1596.4742431640625,2779,50566.83297021999,-8257.3271484375,0.0064,87474,-0.658116340637207,123
360000,9.106234550476074,2920,62.85,1148.937255859375,2926,77241.59914469,-5892.89501953125,0.0064,89974,3.2362048625946045,123
370000,8.018815040588379,3010,123.19,1283.7235107421875,3018,-29335.04803867,-5618.50927734375,0.0064,92474,-1.6387062072753906,122
380000,8.606112480163574,3099,40.08,1662.0037841796875,3171,59950.528021399994,-5717.5146484375,0.0064,94974,-3.035705089569092,122
390000,9.276143074035645,3189,61.74,1954.3897705078125,3342,112144.49112757001,-6119.26806640625,0.0064,97474,1.3385529518127441,122
400000,8.83942699432373,3279,92.91,1942.985595703125,3441,115186.69379611,-5753.7373046875,0.0064,99974,4.943259239196777,121
410000,8.507235527038574,3369,137.0,1600.3095703125,3507,98516.68323747002,-6132.55712890625,0.0064,102474,4.230550765991211,121
420000,12.740015029907227,3459,57.14,1954.759521484375,3649,105947.80286588,-6920.5126953125,0.0064,104974,0.7341881990432739,121
430000,14.287843704223633,3549,43.62,2453.953125,3854,102564.60403463998,-8090.11376953125,0.0064,107474,2.263789176940918,121
440000,18.367998123168945,3639,65.81,3059.884765625,3991,111603.44161956,-15072.3935546875,0.0064,109974,-4.610275745391846,120
450000,19.904664993286133,3730,31.85,2548.149169921875,4214,126542.84114389001,-17519.814453125,0.0064,112474,4.040018558502197,120
460000,18.923696517944336,3821,27.04,2455.697265625,4555,131572.95785593,-22940.61328125,0.0064,114974,-1.4673731327056885,120
