time/total_timesteps,train/ent_coef,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,time/episodes,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,time/fps
470000,25.167465209960938,3911,25.71,2539.590087890625,4927,128355.14972297,-28299.466796875,0.0064,117474,2.159656286239624,120
480000,26.526649475097656,4001,27.01,2297.2177734375,5310,125946.96370517001,-39343.5390625,0.0064,119974,-3.038926601409912,119
490000,28.313547134399414,4092,26.07,2084.486572265625,5691,131706.67946361002,-43474.68359375,0.0064,122474,3.077477216720581,119
500000,30.70668601989746,4182,31.64,2022.58154296875,6042,128664.88326281,-45655.43359375,0.0064,124974,4.358864784240723,119
510000,27.47153663635254,4272,34.1,2141.155517578125,6302,114818.6429948,-50098.6171875,0.0064,127474,1.6268200874328613,119
520000,30.956924438476562,4362,28.77,2155.193359375,6630,128898.6727089,-50334.171875,0.0064,129974,2.8356361389160156,119
530000,30.916805267333984,4452,23.27,2042.0362548828125,7048,132340.26013869,-51794.140625,0.0064,132474,-3.7905592918395996,119
540000,29.262365341186523,4543,25.41,2040.9771728515625,7439,132248.44415559,-51247.08203125,0.0064,134974,-3.940004348754883,118
550000,33.85794448852539,4634,23.8,2019.809814453125,7848,124030.38182528,-50326.21484375,0.0064,137474,0.19888702034950256,118
560000,36.11574935913086,4725,16.17,2890.283203125,8382,74877.80737719001,-52616.71875,0.0064,139974,-2.2405686378479004,118
570000,36.838958740234375,4816,21.88,1940.31103515625,8869,133005.80816376998,-52294.25,0.0064,142474,0.586289644241333,118
580000,36.12193298339844,4907,19.79,2202.105224609375,9358,133197.6,-56747.3125,0.0064,144974,-3.684830665588379,118
590000,36.512855529785156,4997,19.27,1958.26416015625,9857,133008.91747113998,-56809.203125,0.0064,147474,-1.346144437789917,118
600000,37.1483154296875,5088,19.19,1667.6875,10365,132405.93795887998,-59888.01171875,0.0064,149974,3.4602227210998535,117
610000,37.2884407043457,5178,22.47,1700.899658203125,10833,127245.58198761,-61214.42578125,0.0064,152474,-0.263874351978302,117
620000,31.907011032104492,5268,23.11,1533.7459716796875,11270,123994.14142884001,-63200.453125,0.0064,154974,-0.1591303050518036,117
630000,32.19285583496094,5359,19.69,1497.2655029296875,11759,132590.8,-61907.109375,0.0064,157474,-0.3299575448036194,117
640000,34.62640380859375,5450,19.08,1400.9468994140625,12272,132719.36853373,-63021.36328125,0.0064,159974,1.0396078824996948,117
650000,33.85414123535156,5541,18.61,1823.1611328125,12815,132740.12043059,-62350.5078125,0.0064,162474,-0.7861137390136719,117
660000,37.61171340942383,5632,20.59,1694.6007080078125,13281,132861.94283671,-59836.87890625,0.0064,164974,1.5451984405517578,117
670000,37.981746673583984,5722,18.35,1811.2529296875,13754,125302.99538803,-60946.55078125,0.0064,167474,-0.7476869821548462,117
680000,38.92698287963867,5812,17.43,1864.328857421875,14321,117463.16183643999,-61033.9921875,0.0064,169974,-3.0814766883850098,116
690000,36.56647491455078,5900,17.05,1672.3643798828125,14896,123605.32648962,-63144.1953125,0.0064,172474,-5.116776466369629,116
700000,35.921260833740234,5988,28.13,1381.603271484375,15393,130632.72377064999,-62410.4453125,0.0064,174974,-0.43980199098587036,116
710000,34.195350646972656,6075,19.74,1594.0184326171875,15910,130741.76098092001,-63726.1796875,0.0064,177474,-0.16044199466705322,116
720000,34.74223327636719,6164,18.43,1542.6458740234375,16451,130945.06134341,-61666.25390625,0.0064,179974,1.351222038269043,116
730000,32.93050765991211,6252,17.34,1619.785888671875,16993,126764.09284622001,-64564.77734375,0.0064,182474,1.147130012512207,116
740000,33.630191802978516,6340,19.51,1538.89306640625,17547,119987.20382104,-64446.65625,0.0064,184974,3.2503254413604736,116
750000,32.530372619628906,6428,17.77,1375.2156982421875,18116,131565.50656822,-65729.0703125,0.0064,187474,0.6590888500213623,116
760000,31.20736312866211,6516,19.67,1367.951904296875,18650,120817.83812449001,-64348.26953125,0.0064,189974,-0.11688181757926941,116
770000,32.66338348388672,6604,19.29,1674.3450927734375,19195,124588.59783682998,-64882.0234375,0.0064,192474,2.140789031982422,116
780000,32.557823181152344,6693,17.46,1991.2467041015625,19758,129170.63496745,-63225.265625,0.0064,194974,0.8590763807296753,116
790000,35.72346496582031,6784,18.0,1807.1810302734375,20283,130764.76533426,-66933.6015625,0.0064,197474,3.0367517471313477,116
800000,36.208457946777344,6875,17.98,2212.081787109375,20818,132965.16033783,-62103.04296875,0.0064,199974,-1.0830323696136475,116
810000,36.37309646606445,6966,18.01,1921.1199951171875,21368,133067.26854045,-65024.3203125,0.0064,202474,0.04063637554645538,116
820000,38.70671081542969,7058,19.58,2309.356201171875,21910,123631.20749304998,-62326.9921875,0.0064,204974,-3.863157033920288,116
830000,37.84198760986328,7150,17.72,2071.95068359375,22409,133074.1,-63333.05078125,0.0064,207474,-0.0804375410079956,116
840000,35.65513229370117,7241,19.89,2246.770751953125,22939,122093.27147894,-62217.75,0.0064,209974,-2.101802349090576,115
850000,34.612709045410156,7332,22.12,2181.93359375,23447,129578.7033023,-61820.953125,0.0064,212474,-3.040559768676758,115
860000,33.402435302734375,7424,17.16,2367.263671875,24017,125561.92460505001,-62278.47265625,0.0064,214974,-1.118635654449463,115
870000,36.25212478637695,7515,17.65,2220.648681640625,24571,123912.89136003,-62644.9609375,0.0064,217474,-3.3174660205841064,115
880000,40.35295867919922,7606,19.13,2042.2869873046875,25134,123602.2737557,-63271.4453125,0.0064,219974,3.177791118621826,115
890000,36.98019790649414,7697,18.53,2330.78076171875,25641,122090.83527585998,-63499.6875,0.0064,222474,7.093605995178223,115
900000,37.67031478881836,7789,20.23,2118.918212890625,26150,124952.05851632002,-62618.9296875,0.0064,224974,3.3597912788391113,115
910000,39.7188606262207,7879,18.89,2378.141845703125,26676,133019.58568187,-61551.1328125,0.0064,227474,-0.016304761171340942,115
920000,37.08112716674805,7970,26.45,2491.006591796875,27141,117906.7879989,-62563.046875,0.0064,229974,-2.0095858573913574,115
930000,35.0738410949707,8061,17.8,2758.12939453125,27662,130543.83236495,-56353.8359375,0.0064,232474,-1.8504931926727295,115
940000,35.969398498535156,8146,18.37,2511.34228515625,28190,125577.89996759,-60482.1796875,0.0064,234974,2.128629207611084,115
950000,39.88065719604492,8231,19.8,2735.474853515625,28715,129766.5257809,-60402.46484375,0.0064,237474,-2.0521628856658936,115
960000,41.44181442260742,8315,17.56,2518.91259765625,29275,130562.7830467,-55732.45703125,0.0064,239974,5.204370498657227,115
970000,35.84679412841797,8399,22.59,2392.353515625,29786,123976.01003197,-59958.2734375,0.0064,242474,-4.954768657684326,115
980000,35.5208854675293,8483,24.04,2637.1220703125,30269,126269.9019353,-58059.1640625,0.0064,244974,-3.426422119140625,115
990000,38.007789611816406,8566,19.24,2317.1875,30767,127040.30169233,-58653.8671875,0.0064,247474,3.923032522201538,115
1000000,34.79620361328125,8650,18.11,1940.5008544921875,31227,125705.03930753999,-57339.54296875,0.0064,249974,-4.997432231903076,115
