rollout/ep_len_mean,time/time_elapsed,train/std,train/policy_loss,train/explained_variance,time/fps,train/value_loss,train/learning_rate,train/entropy_loss,time/total_timesteps,rollout/ep_rew_mean,train/n_updates
28.31,506,1.7042598724365234,-125074.25,0.0,1242,521219904.0,0.0007,-23.340007781982422,630000,-136236.53811973997,31499
25.29,515,1.7330031394958496,16521.537109375,0.0,1242,31911642.0,0.0007,-23.545804977416992,640000,-113607.45109502,31999
29.28,523,1.7324131727218628,36881.1171875,0.0,1242,5387673.0,0.0007,-23.53813362121582,650000,-139607.45531037002,32499
24.59,531,1.754571795463562,-2725.111083984375,5.960464477539063e-08,1241,11508518.0,0.0007,-23.70119857788086,660000,-139023.39343971998,32999
32.39,539,1.7621402740478516,-73348.171875,0.0,1241,490547200.0,0.0007,-23.76420783996582,670000,-120549.9443965,33499
23.27,547,1.7794461250305176,-456100.84375,1.1920928955078125e-07,1240,874518656.0,0.0007,-23.889368057250977,680000,-132818.95140857997,33999
31.26,555,1.7930909395217896,-517640.9375,0.0,1241,1485191936.0,0.0007,-23.974369049072266,690000,-161645.94921900998,34499
22.46,564,1.8089700937271118,-2734.56103515625,-1.1920928955078125e-07,1241,25355814.0,0.0007,-24.05912971496582,700000,-133543.45755056,34999
20.95,572,1.8085161447525024,25939.03125,0.0,1241,10619312.0,0.0007,-24.056180953979492,710000,-109271.27931614999,35499
25.2,580,1.8241766691207886,-665033.875,1.1920928955078125e-07,1240,2814426624.0,0.0007,-24.166120529174805,720000,-118302.95278719999,35999
25.03,588,1.8418837785720825,-118694.1640625,0.0,1240,44130472.0,0.0007,-24.26521110534668,730000,-126315.44078332001,36499
25.03,596,1.8656080961227417,-616113.625,-1.1920928955078125e-07,1240,2382675456.0,0.0007,-24.41873550415039,740000,-122426.15109907002,36999
33.29,604,1.8844985961914062,-100822.3203125,0.0,1240,44521768.0,0.0007,-24.531171798706055,750000,-148176.08594656,37499
30.48,612,1.9153714179992676,-359874.125,1.1920928955078125e-07,1240,359349088.0,0.0007,-24.723445892333984,760000,-158307.52697715,37999
30.04,620,1.9294201135635376,-67939.6875,-1.1920928955078125e-07,1241,46362648.0,0.0007,-24.812658309936523,770000,-151227.93225003,38499
27.29,628,1.944732666015625,-161656.859375,0.0,1240,270850688.0,0.0007,-24.902080535888672,780000,-132149.13079226,38999
24.53,636,1.9599285125732422,-132389.96875,0.0,1240,509636448.0,0.0007,-25.000089645385742,790000,-126579.91351745998,39499
24.84,644,1.9709892272949219,-101393.578125,0.0,1240,115584856.0,0.0007,-25.070266723632812,800000,-127361.08210661999,39999
28.72,653,1.9936455488204956,-181589.890625,-2.384185791015625e-07,1240,175613216.0,0.0007,-25.210527420043945,810000,-147218.517627,40499
21.74,661,2.019076347351074,-115830.1875,0.0,1239,503235840.0,0.0007,-25.354841232299805,820000,-117962.18993214001,40999
15.55,669,2.0346341133117676,-440874.09375,0.0,1240,1644974080.0,0.0007,-25.451126098632812,830000,-108019.99556094,41499
22.6,676,2.045715570449829,-469683.9375,0.0,1240,1680306944.0,0.0007,-25.525793075561523,840000,-150583.07507687,41999
35.94,684,2.074488639831543,-777052.3125,1.1920928955078125e-07,1241,2597307904.0,0.0007,-25.696029663085938,850000,-182442.54818018002,42499
25.58,692,2.1031718254089355,-165630.96875,-1.1920928955078125e-07,1241,108342696.0,0.0007,-25.839107513427734,860000,-144119.47904556,42999
25.16,700,2.1376607418060303,-217695.46875,0.0,1241,958934848.0,0.0007,-26.016651153564453,870000,-141213.21955148998,43499
25.77,708,2.162785768508911,-519176.5625,5.960464477539063e-08,1241,2017211392.0,0.0007,-26.154369354248047,880000,-146794.77331693,43999
22.52,716,2.2065727710723877,-102332.140625,5.960464477539063e-08,1242,38983728.0,0.0007,-26.382034301757812,890000,-126048.67771512002,44499
23.71,724,2.2145655155181885,-696480.0,0.0,1242,2467563520.0,0.0007,-26.437976837158203,900000,-124002.00417483001,44999
22.63,732,2.229156255722046,16941.912109375,0.0,1242,28864118.0,0.0007,-26.52370834350586,910000,-131706.25054815004,45499
29.53,740,2.2532427310943604,-542699.8125,0.0,1241,782971520.0,0.0007,-26.640689849853516,920000,-212606.37589724,45999
27.25,749,2.2549188137054443,-273110.21875,0.0,1241,579286400.0,0.0007,-26.637035369873047,930000,-144819.03089076,46499
20.87,757,2.2720625400543213,-1148559.875,0.0,1241,3710283264.0,0.0007,-26.716968536376953,940000,-126568.2975085,46999
27.42,765,2.2824742794036865,-557647.0,0.0,1241,951951488.0,0.0007,-26.76650619506836,950000,-161096.52154197,47499
29.38,774,2.3088572025299072,-697526.25,0.0,1239,2385705216.0,0.0007,-26.88925552368164,960000,-165596.53613073,47999
28.71,782,2.3142483234405518,-441082.25,0.0,1239,2523176192.0,0.0007,-26.921993255615234,970000,-148782.08603497,48499
25.07,790,2.338192939758301,-634834.4375,-1.1920928955078125e-07,1239,2184288256.0,0.0007,-27.03872299194336,980000,-121605.59257048002,48999
20.38,799,2.3450753688812256,-767501.125,0.0,1239,1842214144.0,0.0007,-27.082515716552734,990000,-132209.21456132,49499
24.07,807,2.3687212467193604,-615110.9375,0.0,1238,1732185472.0,0.0007,-27.206790924072266,1000000,-124844.50760183997,49999
